,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
669,gpt-3.5-turbo,Game of Thrones,5,37," morning had dawned clear and cold, with a crispness that hinted at the end of 
summer. They set forth at daybreak to see a man beheaded, twenty in all","[' morning', ' had', ' dawn', 'ed', ' clear', ' and']","['bright', ',', ' and', ' the', ' sun', ' was', ' shining', '.']","[' cold', ',', ' with', ' a', ' crisp', 'ness', ' that', ' hinted']",0.875,"bright, and the sun was shining."," cold, with a crispness that hinted at the end of 
summer. They set forth at daybreak to see a man beheaded, twenty in all",tensor([[0.8232]]),6,"[tensor([[0.7701]]), tensor([[0.7983]]), tensor([[0.7911]]), tensor([[0.7912]]), tensor([[0.7994]]), tensor([[0.8232]]), tensor([[0.8056]])]",4,17
708,gpt-3.5-turbo,Game of Thrones,5,20," morning had dawned clear and cold, with a crispness that hinted at the end of 
summer","[' morning', ' had', ' dawn', 'ed', ' clear', ' and']","['bright', ',', ' and', ' the', ' sun', ' was', ' shining', '.']","[' cold', ',', ' with', ' a', ' crisp', 'ness', ' that', ' hinted']",0.875,"bright, and the sun was shining."," cold, with a crispness that hinted at the end of 
summer",tensor([[0.8556]]),6,"[tensor([[0.7751]]), tensor([[0.8372]]), tensor([[0.8364]]), tensor([[0.8346]]), tensor([[0.8487]]), tensor([[0.8556]]), tensor([[0.8407]])]",4,17
199,gpt-3.5-turbo,Harry Potter ,6,36,". and Mrs. Dursley, of number four, Privet Drive, were
proud to say that they were perfectly normal, thank
you very much. ","['.', ' and', ' Mrs', '.', ' D', 'urs', 'ley', ',', ' of', ' number', ' four', ',', ' Priv']","['et', ' Drive', ',', ' were', ' proud', ' to', ' say', ' that', ' they', ' were', ' perfectly', ' normal', ',', ' thank', ' you', ' very', ' much', '.']","['et', ' Drive', ',', ' were', '\n', 'p', 'roud', ' to', ' say', ' that', ' they', ' were', ' perfectly', ' normal', ',', ' thank', '\n', 'you']",0.3888888888888889,"et Drive, were proud to say that they were perfectly normal, thank you very much.","et Drive, were
proud to say that they were perfectly normal, thank
you very much. ",tensor([[1.0000]]),16,"[tensor([[0.7894]]), tensor([[0.8193]]), tensor([[0.8494]]), tensor([[0.8644]]), tensor([[0.9130]]), tensor([[0.9165]]), tensor([[0.9254]]), tensor([[0.9244]]), tensor([[0.9198]]), tensor([[0.9249]]), tensor([[0.9507]]), tensor([[0.9786]]), tensor([[0.9872]]), tensor([[0.9899]]), tensor([[0.9921]]), tensor([[1.0000]])]",5,35
1297,gpt-3.5-turbo,Six of Crows,7,30," supposed to be making his rounds at the Hoede house, but for the
last fifteen minutes, he’d been hovering around the south-east wall of","[' supposed', ' to', ' be', ' making', ' his', ' rounds', ' at', ' the', ' Ho', 'ede', ' house']","[',', ' but', ' for', ' some', ' reason', ',', ' he', ' was', ' not', '.']","[',', ' but', ' for', ' the', '\n', 'last', ' fifteen', ' minutes', ',', ' he']",0.7,", but for some reason, he was not.",", but for the
last fifteen minutes, he’d been hovering around the south-east wall of",tensor([[0.8499]]),8,"[tensor([[0.7636]]), tensor([[0.8011]]), tensor([[0.8053]]), tensor([[0.7930]]), tensor([[0.7847]]), tensor([[0.8041]]), tensor([[0.8283]]), tensor([[0.8499]]), tensor([[0.8404]])]",6,26
295,gpt-3.5-turbo,Circe,10,39,"ORN, the name for what I was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the lesser goddesses,","['ORN', ',', ' the', ' name', ' for', ' what', ' I']","['s', 'aw', ' was', ' not', ' on', ' the', ' earth', '.']","[' was', ' did', ' not', ' exist', '.', ' They', ' called', ' me']",1.0,saw was not on the earth.," was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the lesser goddesses,",tensor([[0.8062]]),4,"[tensor([[0.8040]]), tensor([[0.7770]]), tensor([[0.7964]]), tensor([[0.8062]]), tensor([[0.8016]]), tensor([[0.8029]]), tensor([[0.8006]])]",9,23
318,gpt-3.5-turbo,Circe,10,27,"ORN, the name for what I was did not exist. They called me nymph, assuming I
would be like my mother and a","['ORN', ',', ' the', ' name', ' for', ' what', ' I', ' was', ' did', ' not']","['exist', ' until', ' mankind', ' set', ' me', ' free', '.']","[' exist', '.', ' They', ' called', ' me', ' nymph', ',']",0.8571428571428571,exist until mankind set me free.," exist. They called me nymph, assuming I
would be like my mother and a",tensor([[0.8773]]),7,"[tensor([[0.8045]]), tensor([[0.8601]]), tensor([[0.8412]]), tensor([[0.8341]]), tensor([[0.8220]]), tensor([[0.8545]]), tensor([[0.8773]])]",9,25
335,gpt-3.5-turbo,Circe,11,36,", the name for what I was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the lesser goddess","[',', ' the', ' name', ' for', ' what', ' I', ' was', ' did', ' not', ' exist', '.', ' They']","['called', ' me', ' the', ' Wander', 'er', ',', ' the', ' Shadow', ',', ' the', ' W', 'raith', ',', ' the', ' Phantom', ',', ' the', ' Ghost', ',', ' the', ' Spect', 'er', ',', ' the']","[' called', ' me', ' nymph', ',', ' assuming', ' I', '\n', 'would', ' be', ' like', ' my', ' mother', ' and', ' a', 'unts', ' and', ' thousand', ' cousins', '.', ' Least', ' of', ' the', ' lesser', ' goddess']",0.9583333333333334,"called me the Wanderer, the Shadow, the Wraith, the Phantom, the Ghost, the Specter, the Spirit, the Demon, the Devil, the Reaper, the Death, the Nightmare, the Darkness, the Monster, the Beast, the Fiend, the Abomination, the Horror, the Evil, the Sin, the Guilt, the Shame, the Regret, the Sorrow, the Despair, the Anguish, the Torment, the Agony, the Misery, the Pain, the Suffering, the Hatred, the Wrath, the Vengeance, the Revenge, the Destruction, the Chaos, the Annihilation, the Obliteration, the Ruin, the End, the Abyss, the Void, the Nothingness, the Nonexistence, the Forgotten, the Lost, the Forsaken, the Damned, the Cursed, the Accursed, the Unholy, the Unforgiven, the Unredeemed, the Unsaved, the Unblessed, the Unsanctified, the Unhallowed, the Unwashed, the Unworthy, the Unloved, the Unwanted, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard, the Unknown, the Unspoken, the Unwritten, the Unread, the Unseen, the Unheard"," called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the lesser goddess",tensor([[0.8543]]),23,"[tensor([[0.7962]]), tensor([[0.7898]]), tensor([[0.8035]]), tensor([[0.8298]]), tensor([[0.8170]]), tensor([[0.8145]]), tensor([[0.8099]]), tensor([[0.8184]]), tensor([[0.8332]]), tensor([[0.8283]]), tensor([[0.8384]]), tensor([[0.8307]]), tensor([[0.8420]]), tensor([[0.8350]]), tensor([[0.8447]]), tensor([[0.8369]]), tensor([[0.8479]]), tensor([[0.8399]]), tensor([[0.8498]]), tensor([[0.8413]]), tensor([[0.8507]]), tensor([[0.8435]]), tensor([[0.8543]]), tensor([[0.8467]]), tensor([[0.8539]]), tensor([[0.8466]]), tensor([[0.8534]]), tensor([[0.8461]]), tensor([[0.8528]]), tensor([[0.8464]]), tensor([[0.8524]]), tensor([[0.8468]]), tensor([[0.8534]]), tensor([[0.8487]]), tensor([[0.8512]]), tensor([[0.8470]]), tensor([[0.8499]]), tensor([[0.8457]]), tensor([[0.8488]]), tensor([[0.8457]]), tensor([[0.8495]]), tensor([[0.8456]]), tensor([[0.8497]]), tensor([[0.8459]]), tensor([[0.8510]]), tensor([[0.8469]]), tensor([[0.8526]]), tensor([[0.8493]]), tensor([[0.8534]]), tensor([[0.8491]]), tensor([[0.8530]]), tensor([[0.8496]]), tensor([[0.8534]]), tensor([[0.8498]]), tensor([[0.8533]]), tensor([[0.8508]]), tensor([[0.8524]]), tensor([[0.8504]]), tensor([[0.8533]]), tensor([[0.8511]]), tensor([[0.8531]]), tensor([[0.8510]]), tensor([[0.8531]]), tensor([[0.8508]]), tensor([[0.8533]]), tensor([[0.8521]]), tensor([[0.8541]]), tensor([[0.8529]]), tensor([[0.8541]]), tensor([[0.8532]]), tensor([[0.8533]]), tensor([[0.8520]]), tensor([[0.8532]]), tensor([[0.8519]]), tensor([[0.8525]]), tensor([[0.8515]]), tensor([[0.8527]]), tensor([[0.8515]]), tensor([[0.8514]]), tensor([[0.8499]]), tensor([[0.8511]]), tensor([[0.8492]]), tensor([[0.8505]]), tensor([[0.8487]]), tensor([[0.8491]]), tensor([[0.8468]]), tensor([[0.8504]]), tensor([[0.8488]]), tensor([[0.8506]]), tensor([[0.8486]]), tensor([[0.8522]]), tensor([[0.8508]]), tensor([[0.8530]]), tensor([[0.8513]]), tensor([[0.8537]]), tensor([[0.8520]]), tensor([[0.8535]]), tensor([[0.8521]]), tensor([[0.8539]]), tensor([[0.8522]]), tensor([[0.8541]]), tensor([[0.8518]]), tensor([[0.8540]]), tensor([[0.8521]]), tensor([[0.8537]]), tensor([[0.8529]]), tensor([[0.8538]]), tensor([[0.8530]]), tensor([[0.8542]]), tensor([[0.8531]]), tensor([[0.8536]]), tensor([[0.8528]]), tensor([[0.8534]]), tensor([[0.8526]]), tensor([[0.8536]]), tensor([[0.8526]]), tensor([[0.8535]]), tensor([[0.8524]]), tensor([[0.8533]]), tensor([[0.8526]]), tensor([[0.8534]]), tensor([[0.8530]]), tensor([[0.8537]]), tensor([[0.8531]]), tensor([[0.8532]]), tensor([[0.8527]]), tensor([[0.8532]]), tensor([[0.8527]]), tensor([[0.8530]]), tensor([[0.8524]]), tensor([[0.8530]]), tensor([[0.8519]]), tensor([[0.8532]]), tensor([[0.8522]]), tensor([[0.8528]]), tensor([[0.8519]]), tensor([[0.8523]]), tensor([[0.8514]]), tensor([[0.8518]]), tensor([[0.8510]]), tensor([[0.8511]]), tensor([[0.8506]]), tensor([[0.8512]]), tensor([[0.8508]]), tensor([[0.8513]]), tensor([[0.8508]]), tensor([[0.8513]]), tensor([[0.8510]]), tensor([[0.8507]]), tensor([[0.8503]]), tensor([[0.8502]]), tensor([[0.8499]]), tensor([[0.8503]]), tensor([[0.8501]]), tensor([[0.8500]]), tensor([[0.8493]]), tensor([[0.8501]]), tensor([[0.8497]]), tensor([[0.8496]]), tensor([[0.8489]]), tensor([[0.8492]]), tensor([[0.8487]]), tensor([[0.8492]]), tensor([[0.8490]]), tensor([[0.8492]]), tensor([[0.8491]]), tensor([[0.8490]]), tensor([[0.8489]]), tensor([[0.8487]]), tensor([[0.8485]]), tensor([[0.8468]]), tensor([[0.8471]]), tensor([[0.8474]]), tensor([[0.8478]]), tensor([[0.8473]]), tensor([[0.8478]]), tensor([[0.8475]]), tensor([[0.8477]]), tensor([[0.8473]]), tensor([[0.8474]]), tensor([[0.8475]]), tensor([[0.8475]]), tensor([[0.8467]]), tensor([[0.8472]]), tensor([[0.8473]]), tensor([[0.8477]]), tensor([[0.8477]]), tensor([[0.8480]]), tensor([[0.8479]]), tensor([[0.8479]]), tensor([[0.8476]]), tensor([[0.8477]]), tensor([[0.8477]]), tensor([[0.8477]]), tensor([[0.8457]]), tensor([[0.8466]]), tensor([[0.8461]]), tensor([[0.8465]]), tensor([[0.8466]]), tensor([[0.8467]]), tensor([[0.8464]]), tensor([[0.8466]]), tensor([[0.8464]]), tensor([[0.8464]]), tensor([[0.8465]]), tensor([[0.8465]]), tensor([[0.8456]]), tensor([[0.8457]]), tensor([[0.8459]]), tensor([[0.8459]]), tensor([[0.8458]]), tensor([[0.8458]]), tensor([[0.8458]]), tensor([[0.8457]]), tensor([[0.8456]]), tensor([[0.8456]]), tensor([[0.8459]]), tensor([[0.8458]]), tensor([[0.8455]]), tensor([[0.8455]]), tensor([[0.8453]]), tensor([[0.8449]]), tensor([[0.8449]]), tensor([[0.8448]]), tensor([[0.8449]]), tensor([[0.8449]]), tensor([[0.8449]]), tensor([[0.8448]]), tensor([[0.8450]]), tensor([[0.8449]]), tensor([[0.8449]]), tensor([[0.8448]]), tensor([[0.8454]]), tensor([[0.8451]]), tensor([[0.8453]]), tensor([[0.8451]]), tensor([[0.8453]]), tensor([[0.8450]]), tensor([[0.8452]]), tensor([[0.8450]]), tensor([[0.8453]]), tensor([[0.8451]]), tensor([[0.8450]]), tensor([[0.8448]]), tensor([[0.8466]]), tensor([[0.8461]]), tensor([[0.8460]]), tensor([[0.8460]]), tensor([[0.8460]]), tensor([[0.8460]]), tensor([[0.8460]]), tensor([[0.8454]]), tensor([[0.8461]]), tensor([[0.8461]]), tensor([[0.8462]]), tensor([[0.8464]]), tensor([[0.8481]]), tensor([[0.8481]]), tensor([[0.8478]]), tensor([[0.8477]]), tensor([[0.8472]]), tensor([[0.8473]]), tensor([[0.8475]]), tensor([[0.8476]]), tensor([[0.8482]]), tensor([[0.8483]]), tensor([[0.8490]]), tensor([[0.8492]]), tensor([[0.8495]]), tensor([[0.8494]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8497]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8496]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]]), tensor([[0.8493]])]",10,45
583,gpt-3.5-turbo,The Night Circus,13,26,"o the Enchanter receives a fair amount of correspondence via the theater office, but this is the first envelope addressedto him that","['o', ' the', ' En', 'chan', 'ter', ' receives', ' a', ' fair', ' amount', ' of', ' correspondence', ' via']","['owl', ',', ' but', ' he', ' finds', ' that', ' email', ' is', ' more', ' efficient', ' for', ' keeping', ' track', ' of']","[' the', ' theater', ' office', ',', ' but', ' this', ' is', ' the', ' first', ' envelope', ' addressed', 'to', ' him', ' that']",1.0,"owl, but he finds that email is more efficient for keeping track of all his magical tasks and appointments."," the theater office, but this is the first envelope addressedto him that",tensor([[0.8078]]),7,"[tensor([[0.7399]]), tensor([[0.7429]]), tensor([[0.7445]]), tensor([[0.7656]]), tensor([[0.7737]]), tensor([[0.7791]]), tensor([[0.8078]]), tensor([[0.8061]]), tensor([[0.8063]]), tensor([[0.7945]]), tensor([[0.7918]]), tensor([[0.7972]]), tensor([[0.7868]]), tensor([[0.7893]]), tensor([[0.7856]]), tensor([[0.7878]]), tensor([[0.7986]]), tensor([[0.7885]]), tensor([[0.7903]]), tensor([[0.7977]])]",12,37
263,gpt-3.5-turbo,Circe,14,25," for what I was did not exist. They called me nymph, assuming I
would be like my mother and aunts and","[' for', ' what', ' I', ' was', ' did', ' not', ' exist', '.']","['The', ' only', ' way', ' to', ' do', ' great', ' work', ' is', ' to', ' love', ' what', ' you', ' do', '.']","[' They', ' called', ' me', ' nymph', ',', ' assuming', ' I', '\n', 'would', ' be', ' like', ' my', ' mother', ' and']",1.0,The only way to do great work is to love what you do.," They called me nymph, assuming I
would be like my mother and aunts and",tensor([[0.7933]]),2,"[tensor([[0.7705]]), tensor([[0.7933]]), tensor([[0.7564]]), tensor([[0.7404]]), tensor([[0.7519]]), tensor([[0.7576]]), tensor([[0.7641]]), tensor([[0.7587]]), tensor([[0.7456]]), tensor([[0.7474]]), tensor([[0.7514]]), tensor([[0.7633]]), tensor([[0.7634]]), tensor([[0.7455]])]",13,34
1312,gpt-3.5-turbo,Six of Crows,14,40," the Hoede house, but for the
last fifteen minutes, he’d been hovering around the south-east wall of the
gardens, trying to think of something clever and romantic to say to Any","[' the', ' Ho', 'ede', ' house', ',', ' but', ' for', ' the', '\n', 'last', ' fifteen', ' minutes', ',', ' he', '’d', ' been']","['standing', ' alone', ' under', ' the', ' clock', ' at', ' Victoria', ' Station', '.']","[' hovering', ' around', ' the', ' south', '-east', ' wall', ' of', ' the', '\n']",1.0,standing alone under the clock at Victoria Station.," hovering around the south-east wall of the
gardens, trying to think of something clever and romantic to say to Any",tensor([[0.7739]]),1,"[tensor([[0.7739]]), tensor([[0.7561]]), tensor([[0.7354]]), tensor([[0.7517]]), tensor([[0.7693]]), tensor([[0.7418]]), tensor([[0.7514]]), tensor([[0.7581]]), tensor([[0.7416]])]",13,37
