,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1911,gpt-3.5-turbo,CXXIV,1,30,"If my dear love were but the child of state,
It might for Fortune’s bastard be unfather’d,
As subject to Time’s love or to","['If', 'my', 'dear', 'love', 'were', 'but', 'the', 'child', 'of', 'state', ',', '\n', 'It', 'might']","['be', 'for', 'Fortune', ""'s"", 'bastard', ',', 'and', 'not', 'mine', '.']","['for', 'Fortune', '’s', 'bastard', 'be', 'unfather’d', ',', '\n', 'As', 'subject']",0.8,"['be', 'for', ""Fortune's"", 'bastard,', 'and', 'not', 'mine.']","for Fortune’s bastard be unfather’d,
As subject to Time’s love or to",tensor([[0.9167]]),5,"[tensor([[0.7858]]), tensor([[0.7936]]), tensor([[0.8013]]), tensor([[0.8751]]), tensor([[0.9167]]), tensor([[0.9153]]), tensor([[0.9143]]), tensor([[0.8989]])]",0,23
2039,gpt-3.5-turbo,LXVI,1,24,"Tired with all these, for restful death I cry:
As to behold desert a beggar born,
And needy nothing","['Tired', 'with', 'all', 'these', ',', 'for', 'restful', 'death']","['I', 'cry', '.']","['I', 'cry', ':']",0.3333333333333333,"['I', 'cry.']","I cry:
As to behold desert a beggar born,
And needy nothing",tensor([[0.8511]]),3,"[tensor([[0.7577]]), tensor([[0.7960]]), tensor([[0.8511]])]",0,10
334,gpt-3.5-turbo,XXXIV,1,27,"Why didst thou promise such a beauteous day,
And make me travel forth without my cloak,
To let base clouds o’ertake me in","['Why', 'didst', 'thou', 'promise', 'such', 'a', 'beauteous']","['day', 'and', 'make', 'me', 'travel', 'forth', 'without', 'my', 'cloak', '?']","['day', ',', '\n', 'And', 'make', 'me', 'travel', 'forth', 'without', 'my']",0.5,"['day', 'and', 'make', 'me', 'travel', 'forth', 'without', 'my', 'cloak?']","day,
And make me travel forth without my cloak,
To let base clouds o’ertake me in",tensor([[0.9440]]),10,"[tensor([[0.7842]]), tensor([[0.8013]]), tensor([[0.8354]]), tensor([[0.8173]]), tensor([[0.8278]]), tensor([[0.8681]]), tensor([[0.9008]]), tensor([[0.9280]]), tensor([[0.9330]]), tensor([[0.9440]])]",0,16
1326,gpt-3.5-turbo,VII,1,25,"Lo! in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new","['Lo', '!', 'in', 'the', 'orient', 'when', 'the', 'gracious']","['light', 'Lifts', 'up', 'his', 'burning', 'head', ',', 'each', 'under', 'eye', 'Doth', 'homage', 'to', 'his', 'new', '-', 'appearing']","['light', '\n', 'Lifts', 'up', 'his', 'burning', 'head', ',', 'each', 'under', 'eye', '\n', 'Doth', 'homage', 'to', 'his', 'new']",0.2352941176470588,"['light', 'Lifts', 'up', 'his', 'burning', 'head,', 'each', 'under', 'eye', 'Doth', 'homage', 'to', 'his', 'new-appearing', 'sight,', 'Serving', 'with', 'looks', 'his', 'sacred', 'majesty.']","light
Lifts up his burning head, each under eye
Doth homage to his new",tensor([[0.9939]]),15,"[tensor([[0.7701]]), tensor([[0.7996]]), tensor([[0.8082]]), tensor([[0.8394]]), tensor([[0.8822]]), tensor([[0.9277]]), tensor([[0.9578]]), tensor([[0.9620]]), tensor([[0.9651]]), tensor([[0.9696]]), tensor([[0.9705]]), tensor([[0.9874]]), tensor([[0.9884]]), tensor([[0.9895]]), tensor([[0.9939]]), tensor([[0.9874]]), tensor([[0.9851]]), tensor([[0.9859]]), tensor([[0.9821]]), tensor([[0.9837]]), tensor([[0.9752]]), tensor([[0.9651]])]",0,24
79,gpt-3.5-turbo,CLIV,1,26,"The little Love-god lying once asleep,
Laid by his side his heart-inflaming brand,
Whilst many nymphs that vow’d","['The', 'little', 'Love', '-', 'god', 'lying', 'once', 'asleep', ',', '\n', 'Laid', 'by']","['his', 'side', 'his', 'heart', '-', 'inflaming', 'brand', ',', '\n', 'Whilst', 'many', 'nymphs', 'that', 'vowed']","['his', 'side', 'his', 'heart', '-', 'inflaming', 'brand', ',', '\n', 'Whilst', 'many', 'nymphs', 'that', 'vow’d']",0.0714285714285714,"['his', 'side', 'his', 'heart-inflaming', 'brand,\nWhilst', 'many', 'nymphs', 'that', 'vowed', 'chaste', 'life', 'to', 'keep\nCame', 'tripping', 'by;', 'but', 'in', 'her', 'maiden', 'hand\nThe', 'fairest', 'votary', 'took', 'up', 'that', 'fire\nWhich', 'many', 'legions', 'of', 'true', 'hearts', 'had', 'warmed;\nAnd', 'so', 'the', 'general', 'of', 'hot', 'desire\nWas,', 'sleeping,', 'by', 'a', 'virgin', 'hand', 'disarmed.']","his side his heart-inflaming brand,
Whilst many nymphs that vow’d",tensor([[0.9919]]),10,"[tensor([[0.7692]]), tensor([[0.8082]]), tensor([[0.8325]]), tensor([[0.8532]]), tensor([[0.9118]]), tensor([[0.9634]]), tensor([[0.9690]]), tensor([[0.9878]]), tensor([[0.9893]]), tensor([[0.9919]]), tensor([[0.9822]]), tensor([[0.9736]]), tensor([[0.9743]]), tensor([[0.9688]]), tensor([[0.9641]]), tensor([[0.9675]]), tensor([[0.9650]]), tensor([[0.9652]]), tensor([[0.9632]]), tensor([[0.9514]]), tensor([[0.9557]]), tensor([[0.9501]]), tensor([[0.9475]]), tensor([[0.9453]]), tensor([[0.9448]]), tensor([[0.9466]]), tensor([[0.9400]]), tensor([[0.9416]]), tensor([[0.9319]]), tensor([[0.9379]]), tensor([[0.9378]]), tensor([[0.9418]]), tensor([[0.9398]]), tensor([[0.9384]]), tensor([[0.9391]]), tensor([[0.9390]]), tensor([[0.9365]]), tensor([[0.9357]]), tensor([[0.9303]]), tensor([[0.9290]]), tensor([[0.9195]]), tensor([[0.9212]]), tensor([[0.9213]]), tensor([[0.9082]]), tensor([[0.9089]]), tensor([[0.9053]])]",0,25
2478,gpt-3.5-turbo,CVIII,1,23,"What’s in the brain, that ink may character,
Which hath not figur’d to thee my true spirit?
","['What', '’s', 'in', 'the', 'brain', ',', 'that']","['does', 'not', 'exist', 'in', 'the', 'world', '.']","['ink', 'may', 'character', ',', '\n', 'Which', 'hath']",1.0,"['does', 'not', 'exist', 'in', 'the', 'world.']","ink may character,
Which hath not figur’d to thee my true spirit?
",tensor([[0.8025]]),6,"[tensor([[0.7606]]), tensor([[0.7740]]), tensor([[0.8014]]), tensor([[0.7806]]), tensor([[0.7924]]), tensor([[0.8025]]), tensor([[0.7795]])]",0,13
1151,gpt-3.5-turbo,I,1,33,"From fairest creatures we desire increase,
That thereby beauty’s rose might never die,
But as the riper should by time decease,
His tender heir might bear","['From', 'fairest', 'creatures', 'we', 'desire', 'increase', ',', '\n', 'That']","['thereby', 'beauty', ""'s"", 'rose', 'might', 'never', 'die', '.']","['thereby', 'beauty', '’s', 'rose', 'might', 'never', 'die', ',']",0.25,"['thereby', ""beauty's"", 'rose', 'might', 'never', 'die.']","thereby beauty’s rose might never die,
But as the riper should by time decease,
His tender heir might bear",tensor([[0.9130]]),7,"[tensor([[0.7645]]), tensor([[0.7948]]), tensor([[0.8446]]), tensor([[0.8701]]), tensor([[0.8846]]), tensor([[0.8990]]), tensor([[0.9130]])]",0,16
452,gpt-3.5-turbo,CXXXIV,1,30,"So, now I have confess’d that he is thine,
And I my self am mortgag’d to thy will,
Myself I’ll forfeit, so that","['So', ',', 'now', 'I', 'have', 'confess’d', 'that', 'he', 'is', 'thine', ',']","['And', 'I', 'myself', 'am', 'mortgaged', 'to', 'thy', 'will', '.']","['\n', 'And', 'I', 'my', 'self', 'am', 'mortgag’d', 'to', 'thy']",0.6666666666666666,"['And', 'I', 'myself', 'am', 'mortgaged', 'to', 'thy', 'will.']","
And I my self am mortgag’d to thy will,
Myself I’ll forfeit, so that",tensor([[0.8855]]),9,"[tensor([[0.7666]]), tensor([[0.7785]]), tensor([[0.8170]]), tensor([[0.8531]]), tensor([[0.8640]]), tensor([[0.8586]]), tensor([[0.8630]]), tensor([[0.8709]]), tensor([[0.8855]])]",0,19
2779,gpt-3.5-turbo,IV,1,31,"Unthrifty loveliness, why dost thou spend
Upon thyself thy beauty’s legacy?
Nature’s bequest gives nothing, but doth lend,
And being frank she","['Unthrifty', 'loveliness', ',', 'why', 'dost', 'thou', 'spend', '\n', 'Upon', 'thyself', 'thy', 'beauty', '’s', 'legacy', '?']","['Nature', ""'s"", 'first', 'green', 'is', 'gold', '.']","['\n', 'Nature', '’s', 'bequest', 'gives', 'nothing', ',']",1.0,"[""Nature's"", 'first', 'green', 'is', 'gold.']","
Nature’s bequest gives nothing, but doth lend,
And being frank she",tensor([[0.8224]]),3,"[tensor([[0.7689]]), tensor([[0.8200]]), tensor([[0.8224]]), tensor([[0.8012]]), tensor([[0.8057]]), tensor([[0.8014]])]",0,21
889,gpt-3.5-turbo,XVIII,1,31,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
","['Shall', 'I', 'compare', 'thee', 'to', 'a', 'summer', '’s', 'day', '?', '\n', 'Thou', 'art', 'more']","['lovely', 'and', 'more', 'temperate', '.']","['lovely', 'and', 'more', 'temperate', ':']",0.2,"['lovely', 'and', 'more', 'temperate.']","lovely and more temperate:
Rough winds do shake the darling buds of May,
",tensor([[0.8992]]),5,"[tensor([[0.7589]]), tensor([[0.8142]]), tensor([[0.8264]]), tensor([[0.8349]]), tensor([[0.8992]])]",0,18
