,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
117,gpt-3.5-turbo,1929 State of the Union Address ,4,31,"and House of Representatives: The Constitution requires that the President ""shall, from time to time, give to the Congress information of the state of the Union,","['and', 'House', 'of', 'Representatives', ':', 'The', 'Constitution']","['is', 'not', 'an', 'instrument', 'for', 'the', 'government', 'to', 'restrain', 'the', 'people', ',', 'it', 'is', 'an', 'instrument', 'for', 'the', 'people', 'to', 'restrain', 'the', 'government', '.']","['requires', 'that', 'the', 'President', '""', 'shall', ',', 'from', 'time', 'to', 'time', ',', 'give', 'to', 'the', 'Congress', 'information', 'of', 'the', 'state', 'of', 'the', 'Union', ',']",0.9166666666666666,"['is', 'not', 'an', 'instrument', 'for', 'the', 'government', 'to', 'restrain', 'the', 'people,', 'it', 'is', 'an', 'instrument', 'for', 'the', 'people', 'to', 'restrain', 'the', 'government.']","requires that the President ""shall, from time to time, give to the Congress information of the state of the Union,",tensor([[0.7821]]),15,"[tensor([[0.7216]]), tensor([[0.7418]]), tensor([[0.7155]]), tensor([[0.7364]]), tensor([[0.7204]]), tensor([[0.7287]]), tensor([[0.7411]]), tensor([[0.7734]]), tensor([[0.7782]]), tensor([[0.7732]]), tensor([[0.7811]]), tensor([[0.7737]]), tensor([[0.7780]]), tensor([[0.7765]]), tensor([[0.7821]]), tensor([[0.7694]]), tensor([[0.7767]]), tensor([[0.7817]]), tensor([[0.7724]]), tensor([[0.7753]]), tensor([[0.7722]]), tensor([[0.7769]]), tensor([[0.7755]])]",3,33
1963,gpt-3.5-turbo,1984 State of the Union Address Ronald Reagan ,8,38,"Members of the Congress, honored guests, and fellow citizens: Once again, in keeping with time-honored tradition, I have come to report to you on the state of the Union, and","['Members', 'of', 'the', 'Congress', ',', 'honored', 'guests']","[',', 'and', 'fellow', 'citizens', ',', 'we', 'must', 'guard', 'against', 'the', 'acquisition', 'of', 'unwarranted', 'influence', ',', 'whether', 'sought', 'or', 'unsought', ',', 'by', 'the', 'military', '-', 'industrial', 'complex', '.']","[',', 'and', 'fellow', 'citizens', ':', 'Once', 'again', ',', 'in', 'keeping', 'with', 'time', '-', 'honored', 'tradition', ',', 'I', 'have', 'come', 'to', 'report', 'to', 'you', 'on', 'the', 'state', 'of']",0.8518518518518519,"[',', 'and', 'fellow', 'citizens,', 'we', 'must', 'guard', 'against', 'the', 'acquisition', 'of', 'unwarranted', 'influence,', 'whether', 'sought', 'or', 'unsought,', 'by', 'the', 'military-industrial', 'complex.']",", and fellow citizens: Once again, in keeping with time-honored tradition, I have come to report to you on the state of the Union, and",tensor([[0.8698]]),6,"[tensor([[0.7442]]), tensor([[0.7879]]), tensor([[0.8110]]), tensor([[0.8244]]), tensor([[0.8609]]), tensor([[0.8698]]), tensor([[0.8497]]), tensor([[0.8419]]), tensor([[0.8303]]), tensor([[0.8320]]), tensor([[0.8066]]), tensor([[0.8094]]), tensor([[0.8087]]), tensor([[0.8113]]), tensor([[0.8127]]), tensor([[0.8047]]), tensor([[0.8068]]), tensor([[0.8106]]), tensor([[0.8116]]), tensor([[0.8142]]), tensor([[0.8069]]), tensor([[0.8039]])]",7,40
982,gpt-3.5-turbo,2020 State of the Union ,8,29,"members of Congress, the First Lady of the United States and my fellow citizens: Three years ago, we launched the great American comeback. Tonight,","['members', 'of', 'Congress', ',', 'the', 'First', 'Lady', 'of', 'the', 'United']","['States', 'is', 'one', 'of', 'your', 'most', 'important', 'allies', '.']","['States', 'and', 'my', 'fellow', 'citizens', ':', 'Three', 'years', 'ago']",0.8888888888888888,"['States', 'is', 'one', 'of', 'your', 'most', 'important', 'allies.']","States and my fellow citizens: Three years ago, we launched the great American comeback. Tonight,",tensor([[0.8258]]),9,"[tensor([[0.7629]]), tensor([[0.7919]]), tensor([[0.8033]]), tensor([[0.8017]]), tensor([[0.8132]]), tensor([[0.8237]]), tensor([[0.8085]]), tensor([[0.8073]]), tensor([[0.8258]])]",7,25
1885,gpt-3.5-turbo,1984 State of the Union Address Ronald Reagan ,11,32,"Congress, honored guests, and fellow citizens: Once again, in keeping with time-honored tradition, I have come to report to you on the state of the","['Congress', ',', 'honored', 'guests', ',', 'and']","['fellow', 'citizens', ',', 'I', 'stand', 'before', 'you', 'today', 'to', 'offer', 'a', 'message', 'of', 'hope', 'and', 'unity', '.']","['fellow', 'citizens', ':', 'Once', 'again', ',', 'in', 'keeping', 'with', 'time', '-', 'honored', 'tradition', ',', 'I', 'have', 'come']",0.8823529411764706,"['fellow', 'citizens,', 'I', 'stand', 'before', 'you', 'today', 'to', 'offer', 'a', 'message', 'of', 'hope', 'and', 'unity.']","fellow citizens: Once again, in keeping with time-honored tradition, I have come to report to you on the state of the",tensor([[0.8921]]),11,"[tensor([[0.7631]]), tensor([[0.7881]]), tensor([[0.8700]]), tensor([[0.8787]]), tensor([[0.8733]]), tensor([[0.8844]]), tensor([[0.8706]]), tensor([[0.8835]]), tensor([[0.8914]]), tensor([[0.8854]]), tensor([[0.8921]]), tensor([[0.8871]]), tensor([[0.8916]]), tensor([[0.8681]]), tensor([[0.8739]]), tensor([[0.8648]])]",10,32
1839,gpt-3.5-turbo,1984 State of the Union Address Ronald Reagan ,15,40,", and fellow citizens: Once again, in keeping with time-honored tradition, I have come to report to you on the state of the Union, and I'm pleased to report that America is much","[',', 'and', 'fellow', 'citizens', ':', 'Once', 'again', ',', 'in', 'keeping', 'with', 'time']","['-honored', 'traditions', ',', 'I', 'will', 'not', 'be', 'attending', 'the', 'inauguration', 'ceremony', '.']","['-', 'honored', 'tradition', ',', 'I', 'have', 'come', 'to', 'report', 'to', 'you', 'on']",0.9166666666666666,"['-honored', 'traditions,', 'I', 'will', 'not', 'be', 'attending', 'the', 'inauguration', 'ceremony.']","-honored tradition, I have come to report to you on the state of the Union, and I'm pleased to report that America is much",tensor([[0.8600]]),5,"[tensor([[0.7425]]), tensor([[0.8336]]), tensor([[0.8476]]), tensor([[0.8577]]), tensor([[0.8600]]), tensor([[0.7778]]), tensor([[0.7814]]), tensor([[0.7794]]), tensor([[0.7824]]), tensor([[0.8057]]), tensor([[0.7860]])]",14,37
200,gpt-3.5-turbo,2007 State of the Union Address George W. Bush ,17,40,"of my own--as the first President to begin the State of the Union message with these words: Madam Speaker In his day, the late Congressman Thomas D'Alesandro, Jr. from Baltimore, Maryland, saw Presidents","['of', 'my', 'own', '--', 'as']","['I', 'have', 'not', 'failed', '.', 'I', ""'ve"", 'just', 'found', '10,000', 'ways', 'that', 'wo', ""n't"", 'work', '.']","['the', 'first', 'President', 'to', 'begin', 'the', 'State', 'of', 'the', 'Union', 'message', 'with', 'these', 'words', ':', 'Madam']",1.0,"['I', 'have', 'not', 'failed.', ""I've"", 'just', 'found', '10,000', 'ways', 'that', ""won't"", 'work.']","the first President to begin the State of the Union message with these words: Madam Speaker In his day, the late Congressman Thomas D'Alesandro, Jr. from Baltimore, Maryland, saw Presidents",tensor([[0.7567]]),9,"[tensor([[0.7551]]), tensor([[0.7566]]), tensor([[0.7474]]), tensor([[0.7324]]), tensor([[0.7270]]), tensor([[0.7320]]), tensor([[0.7326]]), tensor([[0.7487]]), tensor([[0.7567]]), tensor([[0.7438]]), tensor([[0.7306]]), tensor([[0.7405]]), tensor([[0.7473]])]",16,36
1307,gpt-3.5-turbo,1801 State of the Union Address ,21,26,on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which,"['on', 'meeting', 'the', 'great', 'council', 'of', 'our', 'nation']","['and', 'the', 'world', 'will', 'live', 'as', 'one', '.']","['I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on']",1.0,"['and', 'the', 'world', 'will', 'live', 'as', 'one.']",I am able to announce to them on grounds of reasonable certainty that the wars and troubles which,tensor([[0.7987]]),7,"[tensor([[0.7282]]), tensor([[0.7829]]), tensor([[0.7850]]), tensor([[0.7735]]), tensor([[0.7894]]), tensor([[0.7818]]), tensor([[0.7987]]), tensor([[0.7814]])]",20,35
1375,gpt-3.5-turbo,1801 State of the Union Address ,21,35,on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which have for so many years afflicted our sister nations,"['on', 'meeting', 'the', 'great', 'council', 'of', 'our', 'nation', 'I', 'am', 'able', 'to', 'announce']","['that', 'the', 'state', 'of', 'our', 'union', 'is', 'strong', '.']","['to', 'them', 'on', 'grounds', 'of', 'reasonable', 'certainty', 'that', 'the']",1.0,"['that', 'the', 'state', 'of', 'our', 'union', 'is', 'strong.']",to them on grounds of reasonable certainty that the wars and troubles which have for so many years afflicted our sister nations,tensor([[0.8017]]),6,"[tensor([[0.7436]]), tensor([[0.7838]]), tensor([[0.7879]]), tensor([[0.7799]]), tensor([[0.7870]]), tensor([[0.8017]]), tensor([[0.7940]]), tensor([[0.7985]]), tensor([[0.7897]])]",20,41
397,gpt-3.5-turbo,2007 State of the Union Address George W. Bush ,22,37,"the first President to begin the State of the Union message with these words: Madam Speaker In his day, the late Congressman Thomas D'Alesandro, Jr. from Baltimore, Maryland, saw Presidents Roosevelt and","['the', 'first', 'President', 'to', 'begin', 'the', 'State', 'of', 'the', 'Union', 'message', 'with', 'these', 'words', ':', 'Madam', 'Speaker', 'In']","['the', 'course', 'of', 'my', 'life', ',', 'I', 'have', 'often', 'had', 'to', 'eat', 'my', 'words', ',', 'and', 'I', 'must', 'confess']","['his', 'day', ',', 'the', 'late', 'Congressman', 'Thomas', ""D'Alesandro"", ',', 'Jr.', 'from', 'Baltimore', ',', 'Maryland', ',', 'saw', 'Presidents', 'Roosevelt', 'and']",0.9473684210526316,"['the', 'course', 'of', 'my', 'life,', 'I', 'have', 'often', 'had', 'to', 'eat', 'my', 'words,', 'and', 'I', 'must', 'confess', 'that', 'I', 'have', 'always', 'found', 'it', 'a', 'wholesome', 'diet.']","his day, the late Congressman Thomas D'Alesandro, Jr. from Baltimore, Maryland, saw Presidents Roosevelt and",tensor([[0.7683]]),5,"[tensor([[0.7528]]), tensor([[0.7589]]), tensor([[0.7405]]), tensor([[0.7659]]), tensor([[0.7683]]), tensor([[0.7461]]), tensor([[0.7461]]), tensor([[0.7398]]), tensor([[0.7411]]), tensor([[0.7461]]), tensor([[0.7405]]), tensor([[0.7379]]), tensor([[0.7436]]), tensor([[0.7449]]), tensor([[0.7394]]), tensor([[0.7384]]), tensor([[0.7448]]), tensor([[0.7398]]), tensor([[0.7396]]), tensor([[0.7366]]), tensor([[0.7361]]), tensor([[0.7346]]), tensor([[0.7466]]), tensor([[0.7437]]), tensor([[0.7381]]), tensor([[0.7500]]), tensor([[0.7329]])]",21,57
1579,gpt-3.5-turbo,1961 State of the Union Address ,22,31,"came. You are among my oldest friends in Washington--and this House is my oldest home. It was here, more than 14 years ago, that I","['came', '.', 'You', 'are', 'among', 'my', 'oldest', 'friends', 'in', 'Washington', '--']","['and', 'a', 'steadfast', 'ally', 'in', 'times', 'of', 'both', 'triumph', 'and', 'adversity', '.']","['and', 'this', 'House', 'is', 'my', 'oldest', 'home', '.', 'It', 'was', 'here', ',']",0.9166666666666666,"['and', 'a', 'steadfast', 'ally', 'in', 'times', 'of', 'both', 'triumph', 'and', 'adversity.']","and this House is my oldest home. It was here, more than 14 years ago, that I",tensor([[0.7739]]),3,"[tensor([[0.7349]]), tensor([[0.7587]]), tensor([[0.7739]]), tensor([[0.7439]]), tensor([[0.7422]]), tensor([[0.7475]]), tensor([[0.7574]]), tensor([[0.7530]]), tensor([[0.7501]]), tensor([[0.7441]]), tensor([[0.7485]]), tensor([[0.7488]])]",21,43
