,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1969,gpt-3.5-turbo,Hamlet ,4,34,"? Nay, answer me. Stand and unfold yourself. Long live the King! Barnardo? He. You come most carefully upon your hour. ’Tis now struck twelve.","['?', 'Nay', ',', 'answer', 'me', '.']","['For', 'in', 'that', 'sleep', 'of', 'death', 'what', 'dreams', 'may', 'come', ',', 'when', 'we', 'have', 'shuffled', 'off', 'this', 'mortal', 'coil', ',', 'must', 'give', 'us', 'pause', '.']","['Stand', 'and', 'unfold', 'yourself', '.', 'Long', 'live', 'the', 'King', '!', 'Barnardo', '?', 'He', '.', 'You', 'come', 'most', 'carefully', 'upon', 'your', 'hour', '.', '’', 'Tis', 'now']",1.0,"['For', 'in', 'that', 'sleep', 'of', 'death', 'what', 'dreams', 'may', 'come,', 'when', 'we', 'have', 'shuffled', 'off', 'this', 'mortal', 'coil,', 'must', 'give', 'us', 'pause.']",Stand and unfold yourself. Long live the King! Barnardo? He. You come most carefully upon your hour. ’Tis now struck twelve.,tensor([[0.8048]]),18,"[tensor([[0.7908]]), tensor([[0.7845]]), tensor([[0.7851]]), tensor([[0.7733]]), tensor([[0.7777]]), tensor([[0.8037]]), tensor([[0.7866]]), tensor([[0.7838]]), tensor([[0.7772]]), tensor([[0.7806]]), tensor([[0.7967]]), tensor([[0.7989]]), tensor([[0.7929]]), tensor([[0.7922]]), tensor([[0.7976]]), tensor([[0.8019]]), tensor([[0.7994]]), tensor([[0.8048]]), tensor([[0.7936]]), tensor([[0.7973]]), tensor([[0.7956]]), tensor([[0.7960]]), tensor([[0.7915]])]",3,33
782,gpt-3.5-turbo,King Henry V  ,5,40,"'ll tell you: that self bill is urg'd Which in th' eleventh year of the last king's reign Was like, and had indeed against us pass'd But that the scambling and unquiet time Did push it","[""'ll"", 'tell', 'you', ':', 'that', 'self', 'bill', 'is', ""urg'd"", 'Which', 'in', 'th', ""'"", 'eleventh', 'year']","['of', 'the', 'reign', 'of', 'King', 'Edward', 'the', 'Second', 'was', 'read', 'at', 'the', 'Parliament', 'at', 'Lincoln', ',', 'and', 'by', 'very', 'many', 'of', 'the', 'Lords', 'and', 'Commons']","['of', 'the', 'last', 'king', ""'s"", 'reign', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", 'But', 'that', 'the', 'scambling', 'and', 'unquiet', 'time', 'Did', 'push', 'it']",0.92,"['of', 'the', 'reign', 'of', 'King', 'Edward', 'the', 'Second', 'was', 'read', 'at', 'the', 'Parliament', 'at', 'Lincoln,', 'and', 'by', 'very', 'many', 'of', 'the', 'Lords', 'and', 'Commons', 'of', 'this', 'realm', 'was', 'agreed', 'to', 'be', 'the', 'law', 'of', 'the', 'land,', 'and', 'is', 'the', 'very', 'law', 'that', 'I,', 'in', 'the', 'name', 'of', 'all', 'the', 'Commons', 'of', 'England,', 'have', 'this', 'day', 'delivered', 'unto', 'your', 'lordships.']","of the last king's reign Was like, and had indeed against us pass'd But that the scambling and unquiet time Did push it",tensor([[0.8343]]),6,"[tensor([[0.7539]]), tensor([[0.7291]]), tensor([[0.7528]]), tensor([[0.8104]]), tensor([[0.8097]]), tensor([[0.8343]]), tensor([[0.8125]]), tensor([[0.8092]]), tensor([[0.8048]]), tensor([[0.8069]]), tensor([[0.7980]]), tensor([[0.7938]]), tensor([[0.7953]]), tensor([[0.7921]]), tensor([[0.7871]]), tensor([[0.8003]]), tensor([[0.8049]]), tensor([[0.8038]]), tensor([[0.8139]]), tensor([[0.8161]]), tensor([[0.8123]]), tensor([[0.8164]]), tensor([[0.8119]]), tensor([[0.8113]]), tensor([[0.8130]]), tensor([[0.8107]]), tensor([[0.8170]]), tensor([[0.8149]]), tensor([[0.8148]]), tensor([[0.8148]]), tensor([[0.8118]]), tensor([[0.8124]]), tensor([[0.8126]]), tensor([[0.8189]]), tensor([[0.8172]]), tensor([[0.8179]]), tensor([[0.8212]]), tensor([[0.8167]]), tensor([[0.8141]]), tensor([[0.8130]]), tensor([[0.8180]]), tensor([[0.8175]]), tensor([[0.8157]]), tensor([[0.8207]]), tensor([[0.8191]]), tensor([[0.8183]]), tensor([[0.8199]]), tensor([[0.8204]]), tensor([[0.8212]]), tensor([[0.8210]]), tensor([[0.8221]]), tensor([[0.8211]]), tensor([[0.8206]]), tensor([[0.8201]]), tensor([[0.8197]]), tensor([[0.8170]]), tensor([[0.8211]]), tensor([[0.8208]]), tensor([[0.8214]]), tensor([[0.8189]])]",4,43
370,gpt-3.5-turbo,All's Well That Ends Well ,5,31,"from me, I bury a second husband.  And I in going, madam, weep o’er my father’s death anew; but I must attend his majesty","['from', 'me', ',', 'I', 'bury', 'a', 'second', 'husband', '.', ' ', 'And', 'I', 'in', 'going']","['to', 'my', 'grave', ',', 'where', 'I', 'am', 'allowed', 'to', 'rest', ',', 'will', 'have', 'my', 'revenge', '.']","[',', 'madam', ',', 'weep', 'o’er', 'my', 'father', '’s', 'death', 'anew', ';', 'but', 'I', 'must', 'attend', 'his']",1.0,"['to', 'my', 'grave,', 'where', 'I', 'am', 'allowed', 'to', 'rest,', 'will', 'have', 'my', 'revenge.']",", madam, weep o’er my father’s death anew; but I must attend his majesty",tensor([[0.8701]]),10,"[tensor([[0.7523]]), tensor([[0.7872]]), tensor([[0.8217]]), tensor([[0.8636]]), tensor([[0.8257]]), tensor([[0.8481]]), tensor([[0.8439]]), tensor([[0.8579]]), tensor([[0.8576]]), tensor([[0.8701]]), tensor([[0.8695]]), tensor([[0.8645]]), tensor([[0.8650]]), tensor([[0.8435]])]",4,33
1830,gpt-3.5-turbo,Hamlet ,6,37,", answer me. Stand and unfold yourself. Long live the King! Barnardo? He. You come most carefully upon your hour. ’Tis now struck twelve. Get thee to bed,","[',', 'answer', 'me', '.', 'Stand', 'and', 'unfold', 'yourself', '.', 'Long', 'live', 'the', 'King', '!', 'Barnardo', '?', 'He', '.']","['Is', 'this', 'a', 'dagger', 'which', 'I', 'see', 'before', 'me', ',', 'The', 'handle', 'toward', 'my', 'hand', '?', 'Come', ',', 'let']","['You', 'come', 'most', 'carefully', 'upon', 'your', 'hour', '.', '’', 'Tis', 'now', 'struck', 'twelve', '.', 'Get', 'thee', 'to', 'bed', ',']",1.0,"['Is', 'this', 'a', 'dagger', 'which', 'I', 'see', 'before', 'me,', 'The', 'handle', 'toward', 'my', 'hand?', 'Come,', 'let', 'me', 'clutch', 'thee.']","You come most carefully upon your hour. ’Tis now struck twelve. Get thee to bed,",tensor([[0.8192]]),19,"[tensor([[0.7876]]), tensor([[0.7930]]), tensor([[0.7743]]), tensor([[0.7885]]), tensor([[0.7619]]), tensor([[0.7664]]), tensor([[0.7723]]), tensor([[0.7743]]), tensor([[0.7788]]), tensor([[0.7946]]), tensor([[0.7889]]), tensor([[0.7920]]), tensor([[0.8029]]), tensor([[0.8031]]), tensor([[0.8031]]), tensor([[0.8112]]), tensor([[0.8141]]), tensor([[0.8186]]), tensor([[0.8192]]), tensor([[0.8163]])]",5,41
1011,gpt-3.5-turbo,Romeo and Juliet ,21,28,". I mean, if we be in choler, we’ll draw. Ay, while you live, draw your neck out o’ the collar","['.', 'I', 'mean', ',', 'if', 'we', 'be', 'in', 'choler']","[',', 'we', ""'ll"", 'draw', '.', 'If', 'we', 'be', 'in', 'rage', ',', 'we', ""'ll"", 'revenge', '.']","[',', 'we', '’ll', 'draw', '.', 'Ay', ',', 'while', 'you', 'live', ',', 'draw', 'your', 'neck', 'out']",0.6666666666666666,"[',', ""we'll"", 'draw.', 'If', 'we', 'be', 'in', 'rage,', ""we'll"", 'revenge.']",", we’ll draw. Ay, while you live, draw your neck out o’ the collar",tensor([[0.8713]]),6,"[tensor([[0.7883]]), tensor([[0.8305]]), tensor([[0.8361]]), tensor([[0.8694]]), tensor([[0.8712]]), tensor([[0.8713]]), tensor([[0.8710]]), tensor([[0.8651]]), tensor([[0.8669]]), tensor([[0.8709]]), tensor([[0.8605]])]",20,43
176,gpt-3.5-turbo,Julius Caesar ,22,39,"you not, Being mechanical, you ought not walk Upon a laboring day without the sign Of your profession? Speak, what trade art thou? Why, sir, a carpenter. Where is thy leather","['you', 'not', ',', 'Being', 'mechanical', ',', 'you', 'ought', 'not', 'walk', 'Upon', 'a']","['tightrope', '.']","['laboring', 'day']",1.0,['tightrope.'],"laboring day without the sign Of your profession? Speak, what trade art thou? Why, sir, a carpenter. Where is thy leather",tensor([[0.7994]]),2,"[tensor([[0.7831]]), tensor([[0.7994]])]",21,34
270,gpt-3.5-turbo,All's Well That Ends Well ,30,23,"but I must attend his majesty’s command, to whom I am now in ward, evermore in subjection. You shall","['but', 'I', 'must', 'attend', 'his', 'majesty', '’s']","['pleasure', ',', 'and', 'I', 'am', 'bound', 'to', 'serve', 'him', '.']","['command', ',', 'to', 'whom', 'I', 'am', 'now', 'in', 'ward', ',']",0.8,"['pleasure,', 'and', 'I', 'am', 'bound', 'to', 'serve', 'him.']","command, to whom I am now in ward, evermore in subjection. You shall",tensor([[0.8489]]),8,"[tensor([[0.7612]]), tensor([[0.8036]]), tensor([[0.8024]]), tensor([[0.8205]]), tensor([[0.8275]]), tensor([[0.8205]]), tensor([[0.8275]]), tensor([[0.8489]]), tensor([[0.8442]])]",29,45
392,gpt-3.5-turbo,All's Well That Ends Well ,35,24,"majesty’s command, to whom I am now in ward, evermore in subjection. You shall find of the king a husband","['majesty', '’s', 'command', ',', 'to', 'whom', 'I', 'am']","['ever', 'in', 'all', 'things', 'to', 'answer', ',', 'I', 'am', 'not', 'so', 'simple', ',', 'nor', 'so', 'ill']","['now', 'in', 'ward', ',', 'evermore', 'in', 'subjection', '.', 'You', 'shall', 'find', 'of', 'the', 'king', 'a', 'husband']",0.9375,"['ever', 'in', 'all', 'things', 'to', 'answer,', 'I', 'am', 'not', 'so', 'simple,', 'nor', 'so', 'ill-bred,', 'as', 'to', 'be', 'ignorant', 'of', 'what', 'a', 'minister', 'of', 'state', 'owes', 'to', 'himself', 'and', 'to', 'his', 'sovereign,', 'nor', 'will', 'I', 'ever', 'sacrifice', 'them', 'to', 'your', 'mistaken', 'notions', 'of', 'pride', 'and', 'dignity.']","now in ward, evermore in subjection. You shall find of the king a husband",tensor([[0.8028]]),7,"[tensor([[0.7531]]), tensor([[0.7697]]), tensor([[0.7858]]), tensor([[0.7796]]), tensor([[0.7763]]), tensor([[0.7841]]), tensor([[0.8028]]), tensor([[0.8016]]), tensor([[0.7949]]), tensor([[0.7615]]), tensor([[0.7623]]), tensor([[0.7769]]), tensor([[0.7769]]), tensor([[0.7781]]), tensor([[0.7833]]), tensor([[0.7840]]), tensor([[0.7839]]), tensor([[0.7864]]), tensor([[0.7715]]), tensor([[0.7725]]), tensor([[0.7694]]), tensor([[0.7735]]), tensor([[0.7809]]), tensor([[0.7798]]), tensor([[0.7734]]), tensor([[0.7738]]), tensor([[0.7752]]), tensor([[0.7776]]), tensor([[0.7796]]), tensor([[0.7787]]), tensor([[0.7792]]), tensor([[0.7859]]), tensor([[0.7831]]), tensor([[0.7805]]), tensor([[0.7815]]), tensor([[0.7874]]), tensor([[0.7863]]), tensor([[0.7858]]), tensor([[0.7849]]), tensor([[0.7881]]), tensor([[0.7867]]), tensor([[0.7840]]), tensor([[0.7842]]), tensor([[0.7869]]), tensor([[0.7903]]), tensor([[0.7888]])]",34,57
129,gpt-3.5-turbo,Julius Caesar ,37,26,"the sign Of your profession? Speak, what trade art thou? Why, sir, a carpenter. Where is thy leather apron and","['the', 'sign', 'Of', 'your', 'profession', '?', 'Speak', ',']","['that', 'I', 'may', 'see', 'thee', '.']","['what', 'trade', 'art', 'thou', '?', 'Why']",1.0,"['that', 'I', 'may', 'see', 'thee.']","what trade art thou? Why, sir, a carpenter. Where is thy leather apron and",tensor([[0.8169]]),3,"[tensor([[0.7771]]), tensor([[0.8089]]), tensor([[0.8169]]), tensor([[0.7506]]), tensor([[0.7537]]), tensor([[0.7665]])]",36,49
113,gpt-3.5-turbo,Julius Caesar ,39,29,"Of your profession? Speak, what trade art thou? Why, sir, a carpenter. Where is thy leather apron and thy rule?  What","['Of', 'your', 'profession', '?', 'Speak', ',', 'what', 'trade', 'art', 'thou', '?']","['I', 'am', 'a', 'bot', ',', 'and', 'my', 'trade', 'is', 'generating', 'quotes', '.']","['Why', ',', 'sir', ',', 'a', 'carpenter', '.', 'Where', 'is', 'thy', 'leather', 'apron']",0.9166666666666666,"['I', 'am', 'a', 'bot,', 'and', 'my', 'trade', 'is', 'generating', 'quotes.']","Why, sir, a carpenter. Where is thy leather apron and thy rule?  What",tensor([[0.8240]]),11,"[tensor([[0.7887]]), tensor([[0.7964]]), tensor([[0.7861]]), tensor([[0.7862]]), tensor([[0.8034]]), tensor([[0.8111]]), tensor([[0.8148]]), tensor([[0.8220]]), tensor([[0.8172]]), tensor([[0.8055]]), tensor([[0.8240]])]",38,60
