,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
1503,gpt-3.5-turbo,LVI,1,22,"Sweet love, renew thy force; be it not said
Thy edge should blunter be than appetite,
Which","['Sweet', 'love', ',', 'renew', 'thy', 'force', ';', 'be']","['it', 'not', 'said', '\n', 'Thy', 'edge', 'should', 'blunter', 'be', 'than', 'appetite', ',', '\n', 'Which']","['it', 'not', 'said', '\n', 'Thy', 'edge', 'should', 'blunter', 'be', 'than', 'appetite', ',', '\n', 'Which']",0.0,0,21
1819,gpt-3.5-turbo,CXXIV,1,29,"If my dear love were but the child of state,
It might for Fortune’s bastard be unfather’d,
As subject to Time’s love or","['If', 'my', 'dear', 'love', 'were']","['a', 'star', 'in', 'the', 'sky', ',', 'she', 'would', 'shine', 'brighter', 'than', 'all', 'the', 'constellations', 'combined', '.']","['but', 'the', 'child', 'of', 'state', ',', '\n', 'It', 'might', 'for', 'Fortune', '’s', 'bastard', 'be', 'unfather’d', ',']",0.9375,0,20
2955,gpt-3.5-turbo,IV,1,31,"Unthrifty loveliness, why dost thou spend
Upon thyself thy beauty’s legacy?
Nature’s bequest gives nothing, but doth lend,
And being frank she","['Unthrifty', 'loveliness', ',', 'why', 'dost', 'thou', 'spend', '\n', 'Upon']","['a', 'woman', ""'s"", 'face', 'your', 'time', 'and', 'tears', '?']","['thyself', 'thy', 'beauty', '’s', 'legacy', '?', '\n', 'Nature', '’s']",1.0,0,17
2034,gpt-3.5-turbo,LXVI,1,23,"Tired with all these, for restful death I cry:
As to behold desert a beggar born,
And needy","['Tired', 'with', 'all', 'these', ',', 'for', 'restful', 'death', 'I', 'cry']","['As', ',', 'to', 'behold', 'desert', 'a', 'beggar', 'born', ',', '\n', 'And', 'needy', 'nothing']","[':', '\n', 'As', 'to', 'behold', 'desert', 'a', 'beggar', 'born', ',', '\n', 'And', 'needy']",0.3076923076923077,0,22
1840,gpt-3.5-turbo,CXXIV,1,24,"If my dear love were but the child of state,
It might for Fortune’s bastard be unfather’d,
As subject","['If', 'my', 'dear', 'love', 'were', 'but', 'the', 'child', 'of']","['desire', ',', 'what', 'radiant', 'joy', 'would', 'fill', 'my', 'heart', '!']","['state', ',', '\n', 'It', 'might', 'for', 'Fortune', '’s', 'bastard', 'be']",0.9,0,18
789,gpt-3.5-turbo,CLI,1,29,"Love is too young to know what conscience is,
Yet who knows not conscience is born of love?
Then, gentle cheater, urge not","['Love', 'is', 'too', 'young', 'to', 'know', 'what', 'conscience']","['Love', 'is', 'too', 'young', 'to', 'know', 'what', 'conscience', 'is', ';', '\n', 'Yet', 'who', 'knows', 'not', 'conscience', 'is', 'born', 'of', 'love', '?']","['is', ',', '\n', 'Yet', 'who', 'knows', 'not', 'conscience', 'is', 'born', 'of', 'love', '?', '\n', 'Then', ',', 'gentle', 'cheater', ',', 'urge', 'not']",0.8095238095238095,0,28
2286,gpt-3.5-turbo,CXLVI,1,23,"Poor soul, the centre of my sinful earth,
My sinful earth these rebel powers array,
Why dost thou","['Poor', 'soul', ',', 'the', 'centre', 'of', 'my', 'sinful', 'earth']","['...', 'these', 'rebel', 'powers', 'that', 'thee', 'array', '.']","[',', '\n', 'My', 'sinful', 'earth', 'these', 'rebel', 'powers']",1.0,0,16
1441,gpt-3.5-turbo,LVI,1,23,"Sweet love, renew thy force; be it not said
Thy edge should blunter be than appetite,
Which but","['Sweet', 'love', ',', 'renew', 'thy', 'force']","['Sweet', 'love', ',', 'renew', 'thy', 'force', ';', 'be', 'it', 'not', 'said', '\n', 'Thy', 'edge', 'should', 'blunter', 'be']","[';', 'be', 'it', 'not', 'said', '\n', 'Thy', 'edge', 'should', 'blunter', 'be', 'than', 'appetite', ',', '\n', 'Which', 'but']",0.7058823529411765,0,22
942,gpt-3.5-turbo,XVIII,1,20,"Shall I compare thee to a summer’s day?
Thou art more lovely and more temperate:
","['Shall', 'I', 'compare', 'thee', 'to', 'a']","['summer', ""'s"", 'day', '?']","['summer', '’s', 'day', '?']",0.25,0,9
697,gpt-3.5-turbo,CLI,1,35,"Love is too young to know what conscience is,
Yet who knows not conscience is born of love?
Then, gentle cheater, urge not my amiss,
Lest guilty","['Love', 'is', 'too', 'young', 'to', 'know', 'what', 'conscience', 'is', ',', '\n', 'Yet', 'who']","['Love', 'is', 'too', 'young', 'to', 'know', 'what', 'conscience', 'is', ',', '\n', 'Yet', 'who', 'can', 'deny', 'its', 'power', 'to', 'bring', 'bliss', '?']","['knows', 'not', 'conscience', 'is', 'born', 'of', 'love', '?', '\n', 'Then', ',', 'gentle', 'cheater', ',', 'urge', 'not', 'my', 'amiss', ',', '\n', 'Lest']",1.0,0,33
2339,gpt-3.5-turbo,CXLVI,1,23,"Poor soul, the centre of my sinful earth,
My sinful earth these rebel powers array,
Why dost thou","['Poor', 'soul', ',', 'the', 'centre', 'of', 'my', 'sinful', 'earth']","['...', 'these', 'rebel', 'powers', 'that', 'thee', 'array', '.']","[',', '\n', 'My', 'sinful', 'earth', 'these', 'rebel', 'powers']",1.0,0,16
1131,gpt-3.5-turbo,I,1,23,"From fairest creatures we desire increase,
That thereby beauty’s rose might never die,
But as the riper should","['From', 'fairest', 'creatures', 'we', 'desire']","['increase', ',', '\n', 'That', 'thereby', 'beauty', ""'s"", 'rose', 'might', 'never', 'die', ',', '\n', 'But', 'as', 'the', 'riper', 'should']","['increase', ',', '\n', 'That', 'thereby', 'beauty', '’s', 'rose', 'might', 'never', 'die', ',', '\n', 'But', 'as', 'the', 'riper', 'should']",0.0555555555555555,0,22
1923,gpt-3.5-turbo,CXXIV,1,21,"If my dear love were but the child of state,
It might for Fortune’s bastard be unfather’d,","['If', 'my', 'dear', 'love', 'were', 'but', 'the', 'child']","['Of', 'my', 'desires', ',', 'how', 'would', 'my', 'heart', 'be', 'wild', '!']","['of', 'state', ',', '\n', 'It', 'might', 'for', 'Fortune', '’s', 'bastard', 'be']",1.0,0,18
1977,gpt-3.5-turbo,CXXIV,1,36,"If my dear love were but the child of state,
It might for Fortune’s bastard be unfather’d,
As subject to Time’s love or to Time’s hate,
Weeds","['If', 'my', 'dear', 'love', 'were', 'but', 'the', 'child', 'of', 'state', ',', '\n', 'It', 'might', 'for', 'Fortune', '’s']","['fools', 'befriend', ',', '\n', 'Then', 'happy', 'I', ',', 'that', 'love', 'and', 'am', 'beloved', '\n', 'Where', 'I', 'may', 'not', 'remove']","['bastard', 'be', 'unfather’d', ',', '\n', 'As', 'subject', 'to', 'Time', '’s', 'love', 'or', 'to', 'Time', '’s', 'hate', ',', '\n', 'Weeds']",0.8947368421052632,0,35
1337,gpt-3.5-turbo,VII,1,36,"Lo! in the orient when the gracious light
Lifts up his burning head, each under eye
Doth homage to his new-appearing sight,
Serving with looks his sacred majesty","['Lo', '!', 'in', 'the', 'orient', 'when', 'the', 'gracious', 'light', '\n', 'Lifts', 'up', 'his', 'burning', 'head']","['Lo', '!', 'in', 'the', 'orient', 'when', 'the', 'gracious', 'light', '\n', 'Lifts', 'up', 'his', 'burning', 'head', ',', 'each', 'under', 'eye', '\n', 'Doth']","[',', 'each', 'under', 'eye', '\n', 'Doth', 'homage', 'to', 'his', 'new', '-', 'appearing', 'sight', ',', '\n', 'Serving', 'with', 'looks', 'his', 'sacred', 'majesty']",1.0,0,35
