,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
512,gpt-3.5-turbo,"JANE EYRE
by Charlotte Brontë",1,31,"CHAPTER I

There was no possibility of taking a walk that day. We had been
wandering, indeed, in the leafless shrubbery an hour in the morning","['CHAPTER', 'I', '\n\n', 'There', 'was', 'no', 'possibility', 'of']","['taking', 'a', 'walk', 'that', 'day', '.']","['taking', 'a', 'walk', 'that', 'day', '.']",0.0,0,13
682,gpt-3.5-turbo,"Great Expectations
by Charles Dickens",2,30,"I.

My father’s family name being Pirrip, and my Christian name Philip, my
infant tongue could make of both names nothing longer or more explicit","['I.', '\n\n', 'My', 'father', '’s']","['name', 'being', 'Pirrip', ',', 'and', 'my', 'Christian', 'name', 'Philip', ',', 'my', 'infant', 'tongue', 'could', 'make', 'of', 'both', 'names', 'nothing', 'longer', 'or', 'more', 'explicit', 'than', 'Pip']","['family', 'name', 'being', 'Pirrip', ',', 'and', 'my', 'Christian', 'name', 'Philip', ',', 'my', '\n', 'infant', 'tongue', 'could', 'make', 'of', 'both', 'names', 'nothing', 'longer', 'or', 'more', 'explicit']",0.16,1,30
100,gpt-3.5-turbo,"Pride and Prejudice
Jane Austen",3,39,"

It is a truth universally acknowledged, that a single man in possession
of a good fortune must be in want of a wife.
However little known the feelings or views of such a man","['\n\n', 'It', 'is', 'a', 'truth', 'universally', 'acknowledged', ',', 'that']","['a', 'single', 'man', 'in', 'possession', 'of', 'a', 'good', 'fortune', ',', 'must', 'be', 'in', 'want', 'of', 'a', 'wife', '.']","['a', 'single', 'man', 'in', 'possession', '\n', 'of', 'a', 'good', 'fortune', 'must', 'be', 'in', 'want', 'of', 'a', 'wife', '.']",0.1111111111111111,2,28
1284,gpt-3.5-turbo,"Gentlemen Prefer Blondes: The Illuminating Diary of a Professional Lady
By Anita Loos",4,25,"
March 16th:
A gentleman friend and I were dining at the Ritz last evening and he
said that if I took","['\n', 'March', '16th', ':', '\n', 'A', 'gentleman', 'friend', 'and']","['I', 'went', 'to', 'the', 'theater', 'last', 'night', '.', 'He', 'said', ',', '""', 'The', 'play', 'was', 'a']","['I', 'were', 'dining', 'at', 'the', 'Ritz', 'last', 'evening', 'and', 'he', '\n', 'said', 'that', 'if', 'I', 'took']",0.875,3,27
1649,gpt-3.5-turbo,"The Great Gatsby
by F. Scott Fitzgerald
                   
I
In my younger and more vulnerable years my father gave me some advice
that I’ve been turning over in my mind ever since.
“Whenever you feel like criticizing anyone,” he told me, “just
remember that all the people in this world haven’t had the advantages
that you’ve had.”
He didn’t say any more, but we’ve always been unusually communicative
in a reserved way, and I understood that he meant a great deal more
than that. In consequence, I’m inclined to reserve all judgements, a
habit that has opened up many curious natures to me and also made me
the victim of not a few veteran bores. The abnormal mind is quick to
detect and attach itself to this quality when it appears in a normal
person, and so it came about that in college I was unjustly accused of
being a politician, because I was privy to the secret griefs of wild,
unknown men. Most of the confidences were unsought—frequently I have
feigned sleep, preoccupation, or a hostile levity when I realized by
some unmistakable sign that an intimate revelation was quivering on
the horizon; for the intimate revelations of young men, or at least
the terms in which they express them, are usually plagiaristic and
marred by obvious suppressions. Reserving judgements is a matter of
infinite hope. I am still a little afraid of missing something if I
forget that, as my father snobbishly suggested, and I snobbishly
repeat, a sense of the fundamental decencies is parcelled out
unequally at birth.",10,22,", I come to the admission
that it has a limit. Conduct may be founded on the hard rock or","[',', 'I', 'come', 'to', 'the', 'admission', '\n', 'that']","[',', 'I', 'come', 'to', 'the', 'admission', 'that', 'learning', 'to', 'reserve', 'judgment', 'is', 'a', 'valuable']","['it', 'has', 'a', 'limit', '.', 'Conduct', 'may', 'be', 'founded', 'on', 'the', 'hard', 'rock', 'or']",1.0,9,30
185,gpt-3.5-turbo,"Pride and Prejudice
Jane Austen",22,35,"must be in want of a wife.
However little known the feelings or views of such a man may be on his
first entering a neighbourhood, this truth is so well","['must', 'be', 'in', 'want', 'of', 'a', 'wife', '.']","['""', 'It', 'is', 'a', 'truth', 'universally', 'acknowledged', ',', 'that', 'a', 'single', 'man', 'in', 'possession', 'of', 'a', 'good', 'fortune', ',', 'must', 'be', 'in', 'want', 'of', 'a', 'wife', '.']","['\n', 'However', 'little', 'known', 'the', 'feelings', 'or', 'views', 'of', 'such', 'a', 'man', 'may', 'be', 'on', 'his', '\n', 'first', 'entering', 'a', 'neighbourhood', ',', 'this', 'truth', 'is', 'so', 'well']",0.9629629629629628,21,55
177,gpt-3.5-turbo,"Pride and Prejudice
Jane Austen",31,31,"However little known the feelings or views of such a man may be on his
first entering a neighbourhood, this truth is so well fixed in the minds
","['However', 'little', 'known', 'the', 'feelings', 'or', 'views', 'of']","['such', 'a', 'man', 'may', 'be', 'on', 'his', 'first', 'entering', 'a', 'neighbourhood', ',', 'this', 'truth', 'is', 'so', 'well', 'fixed', 'in', 'the', 'minds', 'of', 'the']","['such', 'a', 'man', 'may', 'be', 'on', 'his', '\n', 'first', 'entering', 'a', 'neighbourhood', ',', 'this', 'truth', 'is', 'so', 'well', 'fixed', 'in', 'the', 'minds', '\n']",0.1304347826086956,30,60
1479,gpt-3.5-turbo,"ANNA KARENINA 
by Leo Tolstoy ",32,30,"The wife had
discovered that the husband was carrying on an intrigue with a French
girl, who had been a governess in their family, and she","['The', 'wife', 'had', '\n', 'discovered', 'that', 'the', 'husband', 'was', 'carrying', 'on']","['an', 'affair', 'with', 'another', 'woman', '.']","['an', 'intrigue', 'with', 'a', 'French', '\n']",0.6666666666666666,31,47
1409,gpt-3.5-turbo,"ANNA KARENINA 
by Leo Tolstoy ",32,22,"The wife had
discovered that the husband was carrying on an intrigue with a French
girl, who had been","['The', 'wife', 'had', '\n', 'discovered', 'that', 'the', 'husband', 'was', 'carrying']","['on', 'an', 'affair', 'with', 'another', 'woman', '.']","['on', 'an', 'intrigue', 'with', 'a', 'French', '\n']",0.5714285714285714,31,47
1620,gpt-3.5-turbo,"The Great Gatsby
by F. Scott Fitzgerald
                   
I
In my younger and more vulnerable years my father gave me some advice
that I’ve been turning over in my mind ever since.
“Whenever you feel like criticizing anyone,” he told me, “just
remember that all the people in this world haven’t had the advantages
that you’ve had.”
He didn’t say any more, but we’ve always been unusually communicative
in a reserved way, and I understood that he meant a great deal more
than that. In consequence, I’m inclined to reserve all judgements, a
habit that has opened up many curious natures to me and also made me
the victim of not a few veteran bores. The abnormal mind is quick to
detect and attach itself to this quality when it appears in a normal
person, and so it came about that in college I was unjustly accused of
being a politician, because I was privy to the secret griefs of wild,
unknown men. Most of the confidences were unsought—frequently I have
feigned sleep, preoccupation, or a hostile levity when I realized by
some unmistakable sign that an intimate revelation was quivering on
the horizon; for the intimate revelations of young men, or at least
the terms in which they express them, are usually plagiaristic and
marred by obvious suppressions. Reserving judgements is a matter of
infinite hope. I am still a little afraid of missing something if I
forget that, as my father snobbishly suggested, and I snobbishly
repeat, a sense of the fundamental decencies is parcelled out
unequally at birth.",33,21,"
wet marshes, but after a certain point I don’t care what it’s founded
on. When","['\n', 'wet', 'marshes', ',', 'but']","['a', 'sense', 'of', 'the', 'fundamental', 'decencies', 'is', 'parcelled', 'out', 'unequally', 'at', 'birth', '.']","['after', 'a', 'certain', 'point', 'I', 'do', 'n’t', 'care', 'what', 'it', '’s', 'founded', '\n']",1.0,32,49
