,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1405,gpt-3.5-turbo,Antony and Cleopatra,3,21,"SCENE I.
Alexandria. CLEOPATRA'S palace
Enter DEMETRIUS and PHILO
  PHILO. Nay, but this dotage","['SCENE', 'I.', '\n', 'Alexandria', '.', 'CLEOPATRA', ""'S""]","['palace', '.', '\n', 'Enter', 'DEMETRIUS', 'and', 'PHILO', '\n', 'PHILO', '.', 'Nay', ',', 'but', 'this']","['palace', '\n', 'Enter', 'DEMETRIUS', 'and', 'PHILO', '\n  ', 'PHILO', '.', 'Nay', ',', 'but', 'this', 'dotage']",0.2142857142857142,"['palace.\nEnter', 'DEMETRIUS', 'and', 'PHILO\nPHILO.', 'Nay,', 'but', 'this', 'dotage', 'of', 'our', ""general's\nO'erflows"", 'the', 'measure:', 'those', 'his', 'goodly', 'eyes,\nThat', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war\nHave', ""glow'd"", 'like', 'plated', 'Mars,', 'now', 'bend,', 'now', 'turn,\nThe', 'office', 'and', 'devotion', 'of', 'their', 'view\nUpon', 'a', 'tawny', 'front:', 'his', ""captain's"", 'heart,\nWhich', 'in', 'the', 'scuffles', 'of', 'great', 'fights', 'hath', 'burst\nThe', 'buckles', 'on', 'his', 'breast,', 'reneges', 'all', 'temper,\nAnd', 'is', 'become', 'the', 'bellows', 'and', 'the', 'fan\nTo', 'cool', 'a', ""gipsy's"", 'lust.']","palace
Enter DEMETRIUS and PHILO
  PHILO. Nay, but this dotage",tensor([[0.9911]]),9,"[tensor([[0.7850]]), tensor([[0.8720]]), tensor([[0.9173]]), tensor([[0.9210]]), tensor([[0.9557]]), tensor([[0.9783]]), tensor([[0.9858]]), tensor([[0.9859]]), tensor([[0.9911]]), tensor([[0.9878]]), tensor([[0.9852]]), tensor([[0.9638]]), tensor([[0.9620]]), tensor([[0.9532]]), tensor([[0.9533]]), tensor([[0.9512]]), tensor([[0.9495]]), tensor([[0.9427]]), tensor([[0.9390]]), tensor([[0.9411]]), tensor([[0.9329]]), tensor([[0.9349]]), tensor([[0.9313]]), tensor([[0.9310]]), tensor([[0.9320]]), tensor([[0.9223]]), tensor([[0.9189]]), tensor([[0.9215]]), tensor([[0.9214]]), tensor([[0.9221]]), tensor([[0.9227]]), tensor([[0.9241]]), tensor([[0.9241]]), tensor([[0.9246]]), tensor([[0.9210]]), tensor([[0.9221]]), tensor([[0.9229]]), tensor([[0.9213]]), tensor([[0.9209]]), tensor([[0.9169]]), tensor([[0.9194]]), tensor([[0.9149]]), tensor([[0.9107]]), tensor([[0.9137]]), tensor([[0.9059]]), tensor([[0.9049]]), tensor([[0.9082]]), tensor([[0.9066]]), tensor([[0.9047]]), tensor([[0.9053]]), tensor([[0.9033]]), tensor([[0.9035]]), tensor([[0.9036]]), tensor([[0.9054]]), tensor([[0.9040]]), tensor([[0.9039]]), tensor([[0.9056]]), tensor([[0.9000]]), tensor([[0.9017]]), tensor([[0.9019]]), tensor([[0.9000]]), tensor([[0.9004]]), tensor([[0.9009]]), tensor([[0.9002]]), tensor([[0.9018]]), tensor([[0.9005]]), tensor([[0.9007]]), tensor([[0.9004]]), tensor([[0.9005]]), tensor([[0.9023]]), tensor([[0.9002]]), tensor([[0.8969]])]",2,22
384,gpt-3.5-turbo,All's Well That Ends Well,10,28,"’s palace.
 Enter Bertram, the Countess of Rossillon, Helena, and Lafew, all in
 black.
COUNTESS.
In delivering","['’s', 'palace', '.', '\n ', 'Enter', 'Bertram', ',', 'the', 'Countess', 'of', 'Rossillon', ',', 'Helena', ',']","['and', 'Lafeu', ',', 'all', 'in', 'black', '.']","['and', 'Lafew', ',', 'all', 'in', '\n ', 'black']",0.4285714285714285,"['and', 'Lafeu,', 'all', 'in', 'black.']","and Lafew, all in
 black.
COUNTESS.
In delivering",tensor([[0.9042]]),6,"[tensor([[0.7588]]), tensor([[0.8007]]), tensor([[0.8827]]), tensor([[0.8862]]), tensor([[0.8925]]), tensor([[0.9042]])]",9,29
1398,gpt-3.5-turbo,Antony and Cleopatra,10,30,"palace
Enter DEMETRIUS and PHILO
  PHILO. Nay, but this dotage of our general's
    O'erflows the measure. Those his goodly eyes,
    That","['palace', '\n', 'Enter', 'DEMETRIUS', 'and', 'PHILO', '\n  ']","['""', 'O', ',', 'beware', ',', 'my', 'lord', ',', 'of', 'jealousy', '!', 'It', 'is', 'the', 'green', '-', 'eyed', 'monster', 'which', 'doth', 'mock', 'the', 'meat']","['PHILO', '.', 'Nay', ',', 'but', 'this', 'dotage', 'of', 'our', 'general', ""'s"", '\n    ', ""O'erflows"", 'the', 'measure', '.', 'Those', 'his', 'goodly', 'eyes', ',', '\n    ', 'That']",0.9130434782608696,"['""O,', 'beware,', 'my', 'lord,', 'of', 'jealousy!', 'It', 'is', 'the', 'green-eyed', 'monster', 'which', 'doth', 'mock', 'the', 'meat', 'it', 'feeds', 'on.""', '-', 'William', 'Shakespeare,', 'Othello']","PHILO. Nay, but this dotage of our general's
    O'erflows the measure. Those his goodly eyes,
    That",tensor([[0.8376]]),2,"[tensor([[0.7822]]), tensor([[0.8376]]), tensor([[0.8117]]), tensor([[0.8146]]), tensor([[0.8187]]), tensor([[0.8172]]), tensor([[0.8116]]), tensor([[0.8102]]), tensor([[0.8113]]), tensor([[0.8106]]), tensor([[0.8185]]), tensor([[0.8074]]), tensor([[0.8155]]), tensor([[0.8220]]), tensor([[0.8214]]), tensor([[0.8228]]), tensor([[0.8098]]), tensor([[0.8161]]), tensor([[0.8091]]), tensor([[0.8134]]), tensor([[0.8130]]), tensor([[0.8090]]), tensor([[0.8147]]), tensor([[0.8241]])]",9,38
1564,gpt-3.5-turbo,Antony and Cleopatra,17,27,"PHILO. Nay, but this dotage of our general's
    O'erflows the measure. Those his goodly eyes,
    That o'er the files and","['PHILO', '.', 'Nay', ',', 'but', 'this', 'dotage', 'of']","['our', 'general', ""'s"", '\n', ""O'erflows"", 'the', 'measure', ':', 'those', 'his', 'goodly', 'eyes', ',', '\n', 'That', ""o'er"", 'the', 'files', 'and']","['our', 'general', ""'s"", '\n    ', ""O'erflows"", 'the', 'measure', '.', 'Those', 'his', 'goodly', 'eyes', ',', '\n    ', 'That', ""o'er"", 'the', 'files', 'and']",0.2105263157894736,"['our', ""general's\nO'erflows"", 'the', 'measure:', 'those', 'his', 'goodly', 'eyes,\nThat', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war\nHave', ""glow'd"", 'like', 'plated', 'Mars,', 'now', 'bend,', 'now', 'turn,\nThe', 'office', 'and', 'devotion', 'of', 'their', 'view\nUpon', 'a', 'tawny', 'front:', 'his', ""captain's"", 'heart,\nWhich', 'in', 'the', 'scuffles', 'of', 'great', 'fights', 'hath', 'burst\nThe', 'buckles', 'on', 'his', 'breast,', 'reneges', 'all', 'temper,\nAnd', 'is', 'become', 'the', 'bellows', 'and', 'the', 'fan\nTo', 'cool', 'a', ""gipsy's"", 'lust.']","our general's
    O'erflows the measure. Those his goodly eyes,
    That o'er the files and",tensor([[0.9967]]),13,"[tensor([[0.7781]]), tensor([[0.8157]]), tensor([[0.9228]]), tensor([[0.9311]]), tensor([[0.9448]]), tensor([[0.9320]]), tensor([[0.9540]]), tensor([[0.9565]]), tensor([[0.9736]]), tensor([[0.9702]]), tensor([[0.9757]]), tensor([[0.9950]]), tensor([[0.9967]]), tensor([[0.9918]]), tensor([[0.9915]]), tensor([[0.9926]]), tensor([[0.9778]]), tensor([[0.9659]]), tensor([[0.9648]]), tensor([[0.9614]]), tensor([[0.9412]]), tensor([[0.9379]]), tensor([[0.9464]]), tensor([[0.9466]]), tensor([[0.9477]]), tensor([[0.9526]]), tensor([[0.9528]]), tensor([[0.9499]]), tensor([[0.9498]]), tensor([[0.9494]]), tensor([[0.9485]]), tensor([[0.9507]]), tensor([[0.9442]]), tensor([[0.9431]]), tensor([[0.9449]]), tensor([[0.9386]]), tensor([[0.9378]]), tensor([[0.9403]]), tensor([[0.9388]]), tensor([[0.9339]]), tensor([[0.9361]]), tensor([[0.9356]]), tensor([[0.9328]]), tensor([[0.9323]]), tensor([[0.9317]]), tensor([[0.9296]]), tensor([[0.9280]]), tensor([[0.9281]]), tensor([[0.9200]]), tensor([[0.9220]]), tensor([[0.9199]]), tensor([[0.9205]]), tensor([[0.9201]]), tensor([[0.9194]]), tensor([[0.9197]]), tensor([[0.9188]]), tensor([[0.9198]]), tensor([[0.9202]]), tensor([[0.9188]]), tensor([[0.9174]]), tensor([[0.9209]]), tensor([[0.9194]]), tensor([[0.9120]])]",16,42
1636,gpt-3.5-turbo,Macbeth,22,22,".
When shall we three meet again?
In thunder, lightning, or in rain?
SECOND WITCH","['.', '\n', 'When', 'shall', 'we', 'three', 'meet']","['again', '?', 'In', 'thunder', ',', 'lightning', ',', 'or', 'in', 'rain', '?']","['again', '?', '\n', 'In', 'thunder', ',', 'lightning', ',', 'or', 'in', 'rain']",0.1818181818181818,"['again?', 'In', 'thunder,', 'lightning,', 'or', 'in', 'rain?']","again?
In thunder, lightning, or in rain?
SECOND WITCH",tensor([[0.9528]]),8,"[tensor([[0.7858]]), tensor([[0.8778]]), tensor([[0.8803]]), tensor([[0.9239]]), tensor([[0.9320]]), tensor([[0.9435]]), tensor([[0.9474]]), tensor([[0.9528]])]",21,38
108,gpt-3.5-turbo,Julius Caesar,24,40,"Hence, home, you idle creatures, get you home.
    Is this a holiday? What, know you not,
    Being mechanical, you ought not walk
    Upon a laboring day without the sign","['Hence', ',', 'home', ',', 'you', 'idle', 'creatures', ',', 'get', 'you', 'home', '.', '\n    ', 'Is', 'this', 'a', 'holiday', '?', 'What']","['is', 'this', 'a', 'holiday', '?', 'What', ',', 'know', 'you', 'not', ',', '\n', 'Being', 'mechanical', ',', 'you', 'ought', 'not', 'walk', '\n', 'Upon']","[',', 'know', 'you', 'not', ',', '\n    ', 'Being', 'mechanical', ',', 'you', 'ought', 'not', 'walk', '\n    ', 'Upon', 'a', 'laboring', 'day', 'without', 'the', 'sign']",0.6666666666666666,"['is', 'this', 'a', 'holiday?', 'What,', 'know', 'you', 'not,\nBeing', 'mechanical,', 'you', 'ought', 'not', 'walk\nUpon', 'a', 'laboring', 'day', 'without', 'the', 'sign\nOf', 'your', 'profession?', 'Speak,', 'what', 'trade', 'art', 'thou?']",", know you not,
    Being mechanical, you ought not walk
    Upon a laboring day without the sign",tensor([[0.9689]]),20,"[tensor([[0.7759]]), tensor([[0.7870]]), tensor([[0.7717]]), tensor([[0.7859]]), tensor([[0.8120]]), tensor([[0.8068]]), tensor([[0.8138]]), tensor([[0.8131]]), tensor([[0.8443]]), tensor([[0.8908]]), tensor([[0.8851]]), tensor([[0.8885]]), tensor([[0.8974]]), tensor([[0.9096]]), tensor([[0.9151]]), tensor([[0.9331]]), tensor([[0.9453]]), tensor([[0.9479]]), tensor([[0.9543]]), tensor([[0.9689]]), tensor([[0.9677]]), tensor([[0.9432]]), tensor([[0.9517]]), tensor([[0.9422]]), tensor([[0.9360]]), tensor([[0.9344]]), tensor([[0.9328]])]",23,62
622,gpt-3.5-turbo,King Henry V ,25,33,"BISHOP OF ELY
 CANTERBURY. My lord, I'll tell you: that self bill is urg'd
   Which in th' eleventh year of the last king's reign
   ","['BISHOP', 'OF', 'ELY', '\n ', 'CANTERBURY', '.', 'My', 'lord', ',']","['I', 'have', 'news', 'to', 'tell', 'you', '.', 'The', 'king', 'is', 'dead', '.']","['I', ""'ll"", 'tell', 'you', ':', 'that', 'self', 'bill', 'is', ""urg'd"", '\n   ', 'Which']",0.8333333333333334,"['I', 'have', 'news', 'to', 'tell', 'you.', 'The', 'king', 'is', 'dead.']","I'll tell you: that self bill is urg'd
   Which in th' eleventh year of the last king's reign
   ",tensor([[0.8478]]),10,"[tensor([[0.7684]]), tensor([[0.7968]]), tensor([[0.7989]]), tensor([[0.7904]]), tensor([[0.7852]]), tensor([[0.7740]]), tensor([[0.7876]]), tensor([[0.7996]]), tensor([[0.8383]]), tensor([[0.8478]]), tensor([[0.8263]])]",24,44
323,gpt-3.5-turbo,All's Well That Ends Well,26,34,", all in
 black.
COUNTESS.
In delivering my son from me, I bury a second husband.
BERTRAM.
And I in going, madam,","[',', 'all', 'in', '\n ', 'black', '.', '\n', 'COUNTESS', '.', '\n', 'In', 'delivering', 'my', 'son', 'from', 'me', ',']","['you', 'have', 'delivered', 'me', 'from', 'myself', ';', 'for', 'I', 'am', 'not', 'the', 'same', 'woman', 'I', 'was', '.']","['I', 'bury', 'a', 'second', 'husband', '.', '\n', 'BERTRAM', '.', '\n', 'And', 'I', 'in', 'going', ',', 'madam', ',']",1.0,"['you', 'have', 'delivered', 'me', 'from', 'myself;', 'for', 'I', 'am', 'not', 'the', 'same', 'woman', 'I', 'was.']","I bury a second husband.
BERTRAM.
And I in going, madam,",tensor([[0.8437]]),15,"[tensor([[0.7529]]), tensor([[0.7780]]), tensor([[0.7719]]), tensor([[0.7699]]), tensor([[0.7940]]), tensor([[0.7944]]), tensor([[0.8159]]), tensor([[0.8209]]), tensor([[0.8345]]), tensor([[0.8298]]), tensor([[0.8177]]), tensor([[0.8211]]), tensor([[0.8231]]), tensor([[0.8342]]), tensor([[0.8437]]), tensor([[0.8295]])]",25,58
1014,gpt-3.5-turbo,Romeo and Juliet,33,30,"not carry coals.
GREGORY.
No, for then we should be colliers.
SAMPSON.
I mean, if we be in choler,","['not', 'carry', 'coals', '.', '\n', 'GREGORY', '.', '\n']","['I', 'will', 'bite', 'my', 'thumb', 'at', 'them', ',', 'which', 'is', 'a', 'disgrace', 'to', 'them', 'if', 'they', 'bear', 'it', '.']","['No', ',', 'for', 'then', 'we', 'should', 'be', 'colliers', '.', '\n', 'SAMPSON', '.', '\n', 'I', 'mean', ',', 'if', 'we', 'be']",1.0,"['I', 'will', 'bite', 'my', 'thumb', 'at', 'them,', 'which', 'is', 'a', 'disgrace', 'to', 'them', 'if', 'they', 'bear', 'it.']","No, for then we should be colliers.
SAMPSON.
I mean, if we be in choler,",tensor([[0.7984]]),13,"[tensor([[0.7736]]), tensor([[0.7721]]), tensor([[0.7802]]), tensor([[0.7556]]), tensor([[0.7693]]), tensor([[0.7591]]), tensor([[0.7727]]), tensor([[0.7820]]), tensor([[0.7869]]), tensor([[0.7896]]), tensor([[0.7899]]), tensor([[0.7972]]), tensor([[0.7984]]), tensor([[0.7934]]), tensor([[0.7969]]), tensor([[0.7951]]), tensor([[0.7973]]), tensor([[0.7789]])]",32,58
670,gpt-3.5-turbo,King Henry V ,35,37,"'ll tell you: that self bill is urg'd
   Which in th' eleventh year of the last king's reign
   Was like, and had indeed against us pass'd
   But that the scambling","[""'ll"", 'tell', 'you', ':', 'that', 'self', 'bill']","['of', 'fare', 'for', 'the', 'mind', 'is', 'a', 'tough', 'one', 'to', 'swallow', '.']","['is', ""urg'd"", '\n   ', 'Which', 'in', 'th', ""'"", 'eleventh', 'year', 'of', 'the', 'last']",1.0,"['of', 'fare', 'for', 'the', 'mind', 'is', 'a', 'tough', 'one', 'to', 'swallow.']","is urg'd
   Which in th' eleventh year of the last king's reign
   Was like, and had indeed against us pass'd
   But that the scambling",tensor([[0.8036]]),12,"[tensor([[0.7720]]), tensor([[0.7644]]), tensor([[0.7662]]), tensor([[0.7735]]), tensor([[0.7817]]), tensor([[0.7715]]), tensor([[0.7779]]), tensor([[0.7755]]), tensor([[0.7941]]), tensor([[0.7889]]), tensor([[0.7933]]), tensor([[0.8036]])]",34,52
