,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
426,gpt-3.5-turbo,The Night Circus,7,23,"as Prospero the Enchanter receives a fair amount of correspondence via the theater office, but this is the first envelope addressedto him","['as', 'Prospero', 'the', 'Enchanter', 'receives', 'a', 'fair']","['as', 'Prospero', 'the', 'Enchanter', 'receives', 'a', 'fair', 'share', 'of', 'applause', ',', 'but', 'the', 'true', 'magic', 'lies']","['amount', 'of', 'correspondence', 'via', 'the', 'theater', 'office', ',', 'but', 'this', 'is', 'the', 'first', 'envelope', 'addressedto', 'him']",1.0,6,28
240,gpt-3.5-turbo,Circe,9,33,"the name for what I was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the lesser","['the', 'name', 'for', 'what', 'I', 'was', 'did', 'not', 'exist']","['""', 'the', 'name', 'for', 'what', 'I', 'was', 'did', 'not', 'exist', ',', 'until', 'I', 'forged', 'it', 'myself', '.', '""']","['.', 'They', 'called', 'me', 'nymph', ',', 'assuming', 'I', '\n', 'would', 'be', 'like', 'my', 'mother', 'and', 'aunts', 'and', 'thousand']",1.0,8,34
174,gpt-3.5-turbo,Harry Potter ,10,20,"number four, Privet Drive, were
proud to say that they were perfectly normal, thank
you","['number', 'four', ',', 'Privet', 'Drive']","['""', 'Number', 'four', ',', 'Privet', 'Drive', '...', 'This', 'was', 'the', 'place', 'where', 'the', 'Boy', 'Who']","[',', 'were', '\n', 'proud', 'to', 'say', 'that', 'they', 'were', 'perfectly', 'normal', ',', 'thank', '\n', 'you']",1.0,9,28
80,gpt-3.5-turbo,Harry Potter ,14,21,"Drive, were
proud to say that they were perfectly normal, thank
you very much.  ey","['Drive', ',', 'were', '\n', 'proud', 'to']","['Drive', ',', 'were', 'proud', 'to', 'say', ',', 'never', 'killed', 'anyone', '.']","['say', 'that', 'they', 'were', 'perfectly', 'normal', ',', 'thank', '\n', 'you', 'very']",0.9090909090909092,13,29
376,gpt-3.5-turbo,Circe,14,27,"was did not exist. They called me nymph, assuming I
would be like my mother and aunts and thousand cousins. Least of the","['was', 'did', 'not', 'exist', '.', 'They', 'called']","['it', 'magic', ',', 'and', 'it', 'was', '.']","['me', 'nymph', ',', 'assuming', 'I', '\n', 'would']",0.8571428571428571,13,26
793,gpt-3.5-turbo,Game of Thrones,16,22,"at the end of 
summer. They set forth at daybreak to see a man beheaded, twenty in all,","['at', 'the', 'end', 'of', '\n', 'summer', '.', 'They', 'set']","['at', 'the', 'end', 'of', 'summer', '.', 'They', 'set', 'out', 'into', 'the', 'great', 'unknown']","['forth', 'at', 'daybreak', 'to', 'see', 'a', 'man', 'beheaded', ',', 'twenty', 'in', 'all', ',']",1.0,15,36
572,gpt-3.5-turbo,The Night Circus,17,38,"via the theater office, but this is the first envelope addressedto him that contains a suicide note, and it is also the first to arrive carefully pinned to the coat of a five-year-","['via', 'the', 'theater', 'office', ',', 'but', 'this', 'is', 'the', 'first', 'envelope', 'addressedto', 'him', 'that', 'contains', 'a', 'suicide']","['note', '.']","['note', ',']",0.5,16,34
771,gpt-3.5-turbo,Game of Thrones,23,22,"They set forth at daybreak to see a man beheaded, twenty in all, and Bran rode among 
them,","['They', 'set', 'forth', 'at', 'daybreak', 'to', 'see']","['the', 'wonders', 'that', 'awaited', 'them', 'beyond', 'the', 'Wall', '.']","['a', 'man', 'beheaded', ',', 'twenty', 'in', 'all', ',', 'and']",1.0,22,37
412,gpt-3.5-turbo,The Night Circus,23,39,"this is the first envelope addressedto him that contains a suicide note, and it is also the first to arrive carefully pinned to the coat of a five-year-old girl.
The lawyer who","['this', 'is', 'the', 'first', 'envelope', 'addressedto', 'him', 'that', 'contains', 'a', 'suicide']","['note', '.']","['note', ',']",0.5,22,34
574,gpt-3.5-turbo,The Night Circus,25,30,"the first envelope addressedto him that contains a suicide note, and it is also the first to arrive carefully pinned to the coat of a five-year-","['the', 'first', 'envelope', 'addressedto', 'him', 'that', 'contains', 'a']","['single', 'ticket', 'to', 'the', 'circus', '.']","['suicide', 'note', ',', 'and', 'it', 'is']",1.0,24,37
1327,gpt-3.5-turbo,Six of Crows,26,20,"’d been hovering around the south-east wall of the
gardens, trying to think of something clever","['’d', 'been', 'hovering', 'around', 'the', 'south', '-']","['ern', 'edge', 'of', 'the', 'city', 'for', 'hours', ',', 'waiting', 'for', 'the', 'perfect', 'moment']","['east', 'wall', 'of', 'the', '\n', 'gardens', ',', 'trying', 'to', 'think', 'of', 'something', 'clever']",0.8461538461538461,25,44
97,gpt-3.5-turbo,Harry Potter ,26,24,", thank
you very much.  ey were the last people you’d expect to be involved
in anything strange or","[',', 'thank', '\n', 'you', 'very', 'much', '.', '\x01', 'ey', 'were', 'the', 'last']","['words', 'of', 'Albus', 'Dumbledore', ',', 'spoken', 'to', 'Harry', 'Potter', 'in', '""', 'Harry']","['people', 'you', '’d', 'expect', 'to', 'be', 'involved', '\n', 'in', 'anything', 'strange', 'or']",1.0,25,48
1891,gpt-3.5-turbo,CHAPTER ONE,27,27,"of a crowd, but five was as many as the
Waystone ever saw these days, times being what they were.
Old Cob","['of', 'a', 'crowd', ',', 'but', 'five', 'was', 'as', 'many', 'as', 'the']","['human', 'mind', 'could', 'grasp', 'at', 'one', 'time', '.']","['\n', 'Waystone', 'ever', 'saw', 'these', 'days', ',', 'times']",1.0,26,44
384,gpt-3.5-turbo,Circe,32,35,"and aunts and thousand cousins. Least of the lesser goddesses, our powers
were so modest they could scarcely ensure our eternities. We spoke to fish and nurtured flowers,
coaxed","['and', 'aunts', 'and', 'thousand', 'cousins', '.', 'Least', 'of']","['all', ',', 'I', 'have', 'learned', 'from', 'them', 'the', 'power', 'of', 'resilience', 'and', 'the', 'strength', 'of', 'family', 'bonds', '.']","['the', 'lesser', 'goddesses', ',', 'our', 'powers', '\n', 'were', 'so', 'modest', 'they', 'could', 'scarcely', 'ensure', 'our', 'eternities', '.', 'We']",1.0,31,56
1328,gpt-3.5-turbo,Six of Crows,37,36,"
gardens, trying to think of something clever and romantic to say to Anya.
If only Anya’s eyes were blue like the sea or green like an emerald. Instead,
","['\n', 'gardens', ',', 'trying', 'to', 'think', 'of', 'something', 'clever', 'and', 'romantic', 'to', 'say', 'to']","['Kaz', ',', 'but', 'the', 'words', 'just', 'would', ""n't"", 'come', '.']","['Anya', '.', '\n', 'If', 'only', 'Anya', '’s', 'eyes', 'were', 'blue']",1.0,36,59
1424,gpt-3.5-turbo,The Lord of the Rings,39,25,".
Bilbo was very rich and very peculiar, and had been the wonder
of the Shire for sixty years, ever since","['.', '\n', 'Bilbo', 'was', 'very', 'rich', 'and', 'very', 'peculiar', ',', 'and', 'had']","['been', 'the', 'cause', 'of', 'a', 'great', 'deal', 'of', 'trouble', 'and', 'excitement', 'in', 'the']","['been', 'the', 'wonder', '\n', 'of', 'the', 'Shire', 'for', 'sixty', 'years', ',', 'ever', 'since']",0.8461538461538461,38,62
1337,gpt-3.5-turbo,Six of Crows,45,37,"clever and romantic to say to Anya.
If only Anya’s eyes were blue like the sea or green like an emerald. Instead,
her eyes were brown –
lovely, dreamy","['clever', 'and', 'romantic', 'to', 'say', 'to', 'Anya', '.', '\n', 'If', 'only', 'Anya', '’s', 'eyes', 'were', 'blue', 'like', 'the']","['ocean', ',', 'I', 'would', 'drown', 'in', 'them', 'every', 'day', '.']","['sea', 'or', 'green', 'like', 'an', 'emerald', '.', 'Instead', ',', '\n']",1.0,44,71
611,gpt-3.5-turbo,Game of Thrones,45,34,"nervous with excitement. This was the first time he had been deemed old enough to go 
with his lord father and his brothers to see the king's justice done. It","['nervous', 'with', 'excitement', '.', 'This', 'was', 'the', 'first', 'time', 'he']","['had', 'ever', 'been', 'on', 'a', 'ship', ',', 'and', 'it', 'was', 'everything', 'he', 'had', 'dreamed', 'of', '.', 'The', 'salty', 'sea', 'air', 'filled', 'his', 'lungs', 'as']","['had', 'been', 'deemed', 'old', 'enough', 'to', 'go', '\n', 'with', 'his', 'lord', 'father', 'and', 'his', 'brothers', 'to', 'see', 'the', 'king', ""'s"", 'justice', 'done', '.', 'It']",0.9583333333333334,44,77
609,gpt-3.5-turbo,Game of Thrones,49,37,"This was the first time he had been deemed old enough to go 
with his lord father and his brothers to see the king's justice done. It was the ninth year of 
summer","['This', 'was', 'the', 'first', 'time', 'he', 'had', 'been', 'deemed', 'old', 'enough', 'to', 'go', '\n', 'with', 'his']","['father', 'and', 'his', 'brothers', 'to', 'see', 'the', 'king', ""'s"", 'justice', 'done', '.']","['lord', 'father', 'and', 'his', 'brothers', 'to', 'see', 'the', 'king', ""'s"", 'justice', 'done']",0.1666666666666666,48,75
