,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
668,gpt-3.5-turbo,King Henry V  ,2,21,"lord, I'll tell you: that self bill is urg'd Which in th' eleventh year of the last","['lord', ',', 'I', ""'ll"", 'tell', 'you', ':', 'that']","['we', 'few', ',', 'we', 'happy', 'few', ',', 'we', 'band', 'of', 'brothers']","['self', 'bill', 'is', ""urg'd"", 'Which', 'in', 'th', ""'"", 'eleventh', 'year', 'of']",1.0,1,19
756,gpt-3.5-turbo,King Henry V  ,5,23,'ll tell you: that self bill is urg'd Which in th' eleventh year of the last king's reign Was like,"[""'ll"", 'tell', 'you', ':', 'that', 'self', 'bill', 'is', ""urg'd""]","['""', 'Which', 'in', 'the', 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', 'was', 'like']","['Which', 'in', 'th', ""'"", 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', 'Was', 'like']",0.2857142857142857,4,26
1733,gpt-3.5-turbo,Macbeth ,6,32,"again?  In thunder, lightning, or in rain? When the hurlyburly’s done, When the battle’s lost and won. That will be ere the set","['again', '?', ' ', 'In', 'thunder', ',', 'lightning', ',', 'or', 'in', 'rain', '?', 'When', 'the', 'hurlyburly']","[""'s"", 'done', ',', 'when', 'the', 'battle', ""'s"", 'lost', 'and', 'won', '.']","['’s', 'done', ',', 'When', 'the', 'battle', '’s', 'lost', 'and', 'won', '.']",0.2727272727272727,5,30
311,gpt-3.5-turbo,All's Well That Ends Well ,7,25,", I bury a second husband.  And I in going, madam, weep o’er my father’s death anew; but I","[',', 'I', 'bury', 'a', 'second', 'husband', '.']","['""', 'Old', 'folks', 'say', 'there', 'are', 'no', 'second', 'acts', 'in', 'American', 'lives', '.', 'I', 'think', 'there', 'are', 'second']","[' ', 'And', 'I', 'in', 'going', ',', 'madam', ',', 'weep', 'o’er', 'my', 'father', '’s', 'death', 'anew', ';', 'but', 'I']",1.0,6,30
774,gpt-3.5-turbo,King Henry V  ,11,25,"bill is urg'd Which in th' eleventh year of the last king's reign Was like, and had indeed against us pass'd But","['bill', 'is', ""urg'd"", 'Which', 'in']","['bill', 'is', ""urg'd"", ',', '\n', 'Which', 'in', 'the', 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', '\n', 'Was', 'like', ',']","['th', ""'"", 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", 'But']",0.8,10,34
283,gpt-3.5-turbo,All's Well That Ends Well ,16,24,"I in going, madam, weep o’er my father’s death anew; but I must attend his majesty’s command, to","['I', 'in', 'going', ',', 'madam', ',', 'weep', 'o’er']","['I', 'in', 'going', ',', 'madam', ',', 'weep', 'o’er', 'my', 'father', ""'s"", 'death', 'anew', ',', 'but', 'I']","['my', 'father', '’s', 'death', 'anew', ';', 'but', 'I', 'must', 'attend', 'his', 'majesty', '’s', 'command', ',', 'to']",1.0,15,38
358,gpt-3.5-turbo,All's Well That Ends Well ,20,30,"madam, weep o’er my father’s death anew; but I must attend his majesty’s command, to whom I am now in ward, evermore in subjection","['madam', ',', 'weep', 'o’er', 'my', 'father']","['madam', ',', 'weep', 'o’er', 'my', 'father', ""'s"", 'fate', ',', '\n', 'For', 'he', 'was', 'a', 'man', 'of', 'noble', 'state', '.']","['’s', 'death', 'anew', ';', 'but', 'I', 'must', 'attend', 'his', 'majesty', '’s', 'command', ',', 'to', 'whom', 'I', 'am', 'now', 'in']",1.0,19,43
1044,gpt-3.5-turbo,Romeo and Juliet ,21,24,". I mean, if we be in choler, we’ll draw. Ay, while you live, draw your neck out","['.', 'I', 'mean', ',', 'if', 'we']","['.', 'I', 'mean', ',', 'if', 'we', 'shadows', 'have', 'offended', ',', '\n', 'Think', 'but', 'this', ',', 'and', 'all', 'is']","['be', 'in', 'choler', ',', 'we', '’ll', 'draw', '.', 'Ay', ',', 'while', 'you', 'live', ',', 'draw', 'your', 'neck', 'out']",0.8888888888888888,20,43
436,gpt-3.5-turbo,Othello ,22,20,"As if the strings were thine, shouldst know of this. 'Sblood, but you will not hear","['As', 'if', 'the', 'strings', 'were', 'thine', ',', 'shouldst']","['As', 'if', 'the', 'strings', 'were', 'thine', ',', 'shouldst', 'know', 'their', 'strength', 'and']","['know', 'of', 'this', '.', ""'"", 'Sblood', ',', 'but', 'you', 'will', 'not', 'hear']",0.9166666666666666,21,40
1507,gpt-3.5-turbo,Antony and Cleopatra ,23,23,"and musters of the war Have glow'd like plated Mars, now bend, now turn, The office and devotion of their","['and', 'musters', 'of', 'the', 'war']","['and', 'musters', 'of', 'the', 'war', '\n', 'Are', 'on', 'the', 'Tawny', 'Sands', '.']","['Have', ""glow'd"", 'like', 'plated', 'Mars', ',', 'now', 'bend', ',', 'now', 'turn', ',']",1.0,22,38
