,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
138,gpt-3.5-turbo,The Angel,1,40,"I dreamt a dream!  What can it mean?
And that I was a maiden Queen
Guarded by an Angel mild:
Witless woe was ne’er beguiled!
And I wept both night and","['I', 'dreamt', 'a', 'dream', '!', ' ', 'What', 'can', 'it', 'mean', '?', '\n', 'And']","['that', 'dream', 'was', 'not', 'all', 'a', 'dream', '.']","['that', 'I', 'was', 'a', 'maiden', 'Queen', '\n', 'Guarded']",0.75,"['that', 'dream', 'was', 'not', 'all', 'a', 'dream.']","that I was a maiden Queen
Guarded by an Angel mild:
Witless woe was ne’er beguiled!
And I wept both night and",tensor([[0.8044]]),8,"[tensor([[0.7451]]), tensor([[0.7585]]), tensor([[0.7561]]), tensor([[0.7999]]), tensor([[0.7820]]), tensor([[0.8001]]), tensor([[0.8036]]), tensor([[0.8044]])]",0,20
1592,gpt-3.5-turbo,The Aim Was Song,1,22,"Before man came to blow it right
The wind once blew itself untaught,
And did its loudest day and","['Before', 'man', 'came', 'to', 'blow', 'it', 'right', '\n', 'The', 'wind']","['blew', 'as', 'never', 'it', 'blew', 'again', '.']","['once', 'blew', 'itself', 'untaught', ',', '\n', 'And']",1.0,"['blew', 'as', 'never', 'it', 'blew', 'again.']","once blew itself untaught,
And did its loudest day and",tensor([[0.8877]]),7,"[tensor([[0.7579]]), tensor([[0.8390]]), tensor([[0.8496]]), tensor([[0.8533]]), tensor([[0.8612]]), tensor([[0.8664]]), tensor([[0.8877]])]",0,16
794,gpt-3.5-turbo,Porphyria’s Lover,2,35,"rain set early in to-night,
The sullen wind was soon awake,
It tore the elm-tops down for spite,
And did its worst to vex the","['rain', 'set', 'early', 'in', 'to', '-', 'night', ',', '\n', 'The', 'sullen']","['wind', 'was', 'soon', 'awake', ',', '\n', 'It', 'tore', 'the', 'elm', '-', 'tops', 'down', 'for', 'spite', ',', '\n', 'And', 'did', 'its', 'worst', 'to', 'vex', 'the']","['wind', 'was', 'soon', 'awake', ',', '\n', 'It', 'tore', 'the', 'elm', '-', 'tops', 'down', 'for', 'spite', ',', '\n', 'And', 'did', 'its', 'worst', 'to', 'vex', 'the']",0.0,"['wind', 'was', 'soon', 'awake,\nIt', 'tore', 'the', 'elm-tops', 'down', 'for', 'spite,\nAnd', 'did', 'its', 'worst', 'to', 'vex', 'the', 'lake:\nI', 'listened', 'with', 'heart', 'fit', 'to', 'break.']","wind was soon awake,
It tore the elm-tops down for spite,
And did its worst to vex the",tensor([[1.0000]]),17,"[tensor([[0.7377]]), tensor([[0.8051]]), tensor([[0.8575]]), tensor([[0.8668]]), tensor([[0.8911]]), tensor([[0.9299]]), tensor([[0.9324]]), tensor([[0.9671]]), tensor([[0.9688]]), tensor([[0.9721]]), tensor([[0.9889]]), tensor([[0.9868]]), tensor([[0.9869]]), tensor([[0.9902]]), tensor([[0.9945]]), tensor([[0.9939]]), tensor([[1.0000]]), tensor([[0.9721]]), tensor([[0.9570]]), tensor([[0.9601]]), tensor([[0.9445]]), tensor([[0.9411]]), tensor([[0.9424]]), tensor([[0.9429]])]",1,35
1515,gpt-3.5-turbo,The Aim Was Song,2,33,"man came to blow it right
The wind once blew itself untaught,
And did its loudest day and night
In any rough place where it caught.
Man","['man', 'came', 'to', 'blow', 'it', 'right', '\n', 'The', 'wind', 'once', 'blew', 'itself', 'untaught', ',']","['and', 'the', 'world', 'was', 'never', 'the', 'same', 'again', '.']","['\n', 'And', 'did', 'its', 'loudest', 'day', 'and', 'night', '\n']",1.0,"['and', 'the', 'world', 'was', 'never', 'the', 'same', 'again.']","
And did its loudest day and night
In any rough place where it caught.
Man",tensor([[0.8363]]),5,"[tensor([[0.7591]]), tensor([[0.8039]]), tensor([[0.7948]]), tensor([[0.7988]]), tensor([[0.8363]]), tensor([[0.7897]]), tensor([[0.7825]]), tensor([[0.7816]]), tensor([[0.7848]])]",1,23
63,gpt-3.5-turbo,The Angel,3,27,"a dream!  What can it mean?
And that I was a maiden Queen
Guarded by an Angel mild:
Witless woe","['a', 'dream', '!', ' ', 'What', 'can', 'it', 'mean', '?', '\n', 'And']","['in', 'the', 'end', ',', 'it', ""'s"", 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count', '.', 'It']","['that', 'I', 'was', 'a', 'maiden', 'Queen', '\n', 'Guarded', 'by', 'an', 'Angel', 'mild', ':', '\n', 'Witless', 'woe']",1.0,"['in', 'the', 'end,', ""it's"", 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count.', ""It's"", 'the', 'life', 'in', 'your', 'years.']","that I was a maiden Queen
Guarded by an Angel mild:
Witless woe",tensor([[0.7848]]),3,"[tensor([[0.7618]]), tensor([[0.7730]]), tensor([[0.7848]]), tensor([[0.7526]]), tensor([[0.7393]]), tensor([[0.7313]]), tensor([[0.7374]]), tensor([[0.7478]]), tensor([[0.7479]]), tensor([[0.7550]]), tensor([[0.7530]]), tensor([[0.7521]]), tensor([[0.7471]]), tensor([[0.7539]]), tensor([[0.7585]]), tensor([[0.7608]]), tensor([[0.7633]]), tensor([[0.7661]]), tensor([[0.7591]])]",2,28
165,gpt-3.5-turbo,The Angel,4,21,"dream!  What can it mean?
And that I was a maiden Queen
Guarded by an Angel","['dream', '!', ' ', 'What', 'can']","['I', 'say', ',', 'except', 'that', 'dreams', 'always', 'end', 'when', 'you', 'wake', 'up', '?']","['it', 'mean', '?', '\n', 'And', 'that', 'I', 'was', 'a', 'maiden', 'Queen', '\n', 'Guarded']",1.0,"['I', 'say,', 'except', 'that', 'dreams', 'always', 'end', 'when', 'you', 'wake', 'up?']","it mean?
And that I was a maiden Queen
Guarded by an Angel",tensor([[0.8075]]),3,"[tensor([[0.7462]]), tensor([[0.8026]]), tensor([[0.8075]]), tensor([[0.7833]]), tensor([[0.7859]]), tensor([[0.7927]]), tensor([[0.7921]]), tensor([[0.7806]]), tensor([[0.7872]]), tensor([[0.7941]]), tensor([[0.7841]]), tensor([[0.7819]])]",3,20
1468,gpt-3.5-turbo,The Aim Was Song,4,37,"to blow it right
The wind once blew itself untaught,
And did its loudest day and night
In any rough place where it caught.
Man came to tell it what was","['to', 'blow', 'it', 'right', '\n', 'The', 'wind', 'once', 'blew', 'itself', 'untaught', ',', '\n', 'And']","['the', 'sun', 'shone', 'on', 'it', '.']","['did', 'its', 'loudest', 'day', 'and', 'night']",1.0,"['the', 'sun', 'shone', 'on', 'it.']","did its loudest day and night
In any rough place where it caught.
Man came to tell it what was",tensor([[0.8214]]),6,"[tensor([[0.7660]]), tensor([[0.8046]]), tensor([[0.7957]]), tensor([[0.8125]]), tensor([[0.8081]]), tensor([[0.8214]])]",3,22
328,gpt-3.5-turbo,The Scholar-Gypsy,5,37,"call you, Shepherd, from the hill;
Go, Shepherd, and untie the wattled cotes:
No longer leave thy wistful flock unfed,
Nor let thy bawling fellows rack their","['call', 'you', ',', 'Shepherd', ',', 'from', 'the', 'hill', ';', '\n']","['For', 'behold', ',', 'the', 'winter', 'is', 'past', ';', 'the', 'rain', 'is', 'over', 'and', 'gone', '.', 'The', 'flowers', 'appear', 'on', 'the', 'earth', ',', 'the', 'time', 'of', 'singing', 'has']","['Go', ',', 'Shepherd', ',', 'and', 'untie', 'the', 'wattled', 'cotes', ':', '\n', 'No', 'longer', 'leave', 'thy', 'wistful', 'flock', 'unfed', ',', '\n', 'Nor', 'let', 'thy', 'bawling', 'fellows', 'rack', 'their']",1.0,"['For', 'behold,', 'the', 'winter', 'is', 'past;', 'the', 'rain', 'is', 'over', 'and', 'gone.', 'The', 'flowers', 'appear', 'on', 'the', 'earth,', 'the', 'time', 'of', 'singing', 'has', 'come,', 'and', 'the', 'voice', 'of', 'the', 'turtledove', 'is', 'heard', 'in', 'our', 'land.']","Go, Shepherd, and untie the wattled cotes:
No longer leave thy wistful flock unfed,
Nor let thy bawling fellows rack their",tensor([[0.8103]]),15,"[tensor([[0.7697]]), tensor([[0.7687]]), tensor([[0.7977]]), tensor([[0.7948]]), tensor([[0.7780]]), tensor([[0.7792]]), tensor([[0.8008]]), tensor([[0.8020]]), tensor([[0.7874]]), tensor([[0.7873]]), tensor([[0.8015]]), tensor([[0.8048]]), tensor([[0.8052]]), tensor([[0.8099]]), tensor([[0.8103]]), tensor([[0.8079]]), tensor([[0.8050]]), tensor([[0.8024]]), tensor([[0.7927]]), tensor([[0.7915]]), tensor([[0.7963]]), tensor([[0.7942]]), tensor([[0.8015]]), tensor([[0.8020]]), tensor([[0.8087]]), tensor([[0.8088]]), tensor([[0.8069]]), tensor([[0.8091]]), tensor([[0.8047]]), tensor([[0.8062]]), tensor([[0.7937]]), tensor([[0.7844]]), tensor([[0.7913]]), tensor([[0.7885]]), tensor([[0.7910]]), tensor([[0.8007]])]",4,40
304,gpt-3.5-turbo,The Scholar-Gypsy,5,30,"call you, Shepherd, from the hill;
Go, Shepherd, and untie the wattled cotes:
No longer leave thy wistful flock unfed,
","['call', 'you', ',', 'Shepherd', ',', 'from', 'the', 'hill', ';']","['Come', ',', 'let', 'us', 'hasten', 'to', 'a', 'higher', 'plane', ',', 'Where', 'dyads', 'tread', 'the', 'fairy', 'fields', 'of', 'Venn', ',', 'Their', 'indices']","['\n', 'Go', ',', 'Shepherd', ',', 'and', 'untie', 'the', 'wattled', 'cotes', ':', '\n', 'No', 'longer', 'leave', 'thy', 'wistful', 'flock', 'unfed', ',', '\n']",0.9523809523809524,"['Come,', 'let', 'us', 'hasten', 'to', 'a', 'higher', 'plane,', 'Where', 'dyads', 'tread', 'the', 'fairy', 'fields', 'of', 'Venn,', 'Their', 'indices', 'bedecked', 'from', 'one', 'to', 'n.']","
Go, Shepherd, and untie the wattled cotes:
No longer leave thy wistful flock unfed,
",tensor([[0.8337]]),23,"[tensor([[0.7708]]), tensor([[0.8051]]), tensor([[0.7926]]), tensor([[0.7878]]), tensor([[0.8111]]), tensor([[0.8159]]), tensor([[0.8196]]), tensor([[0.8099]]), tensor([[0.8051]]), tensor([[0.7970]]), tensor([[0.8258]]), tensor([[0.8284]]), tensor([[0.8296]]), tensor([[0.8274]]), tensor([[0.8262]]), tensor([[0.8278]]), tensor([[0.8229]]), tensor([[0.8266]]), tensor([[0.8242]]), tensor([[0.8304]]), tensor([[0.8301]]), tensor([[0.8316]]), tensor([[0.8337]]), tensor([[0.8326]])]",4,33
1057,gpt-3.5-turbo,Acrostic,5,28,"you look
On this little story-book,
Reading with attentive eye
Its enticing history,
Never think that hours of play
","['you', 'look', '\n', 'On', 'this', 'little', 'story', '-', 'book']","['And', 'learn', 'from', 'them', ',', 'and', 'from', 'what', 'you', 'discover', ',', 'make', 'poetry', 'that', 'no', 'one', 'else', 'can', '.']","[',', '\n', 'Reading', 'with', 'attentive', 'eye', '\n', 'Its', 'enticing', 'history', ',', '\n', 'Never', 'think', 'that', 'hours', 'of', 'play', '\n']",0.9473684210526316,"['And', 'learn', 'from', 'them,', 'and', 'from', 'what', 'you', 'discover,', 'make', 'poetry', 'that', 'no', 'one', 'else', 'can.']",",
Reading with attentive eye
Its enticing history,
Never think that hours of play
",tensor([[0.8238]]),15,"[tensor([[0.7708]]), tensor([[0.7848]]), tensor([[0.7965]]), tensor([[0.8007]]), tensor([[0.7927]]), tensor([[0.7913]]), tensor([[0.7989]]), tensor([[0.7976]]), tensor([[0.7934]]), tensor([[0.8157]]), tensor([[0.8162]]), tensor([[0.8086]]), tensor([[0.8030]]), tensor([[0.8044]]), tensor([[0.8238]]), tensor([[0.8179]]), tensor([[0.8124]])]",4,31
