,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1364,gpt-4-1106-preview,Sandman Slim ,6,35," a pile of smoldering garbage and leaves in the old Hollywood Forever cemetery behind the Paramount Studio lot on Melrose, though these last details don't come to me until later","[' a', ' pile', ' of', ' sm', 'older', 'ing', ' garbage', ' and', ' leaves', ' in', ' the', ' old', ' Hollywood', ' Forever', ' cemetery']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' a', ' continuation', ' as', ' the', ' prompt', ' does', ' not', ' correspond', ' to', ' a', ' well', '-known']","[' behind', ' the', ' Paramount', ' Studio', ' lot', ' on', ' Mel', 'rose', ',', ' though', ' these', ' last', ' details', ' don', ""'t"", ' come', ' to', ' me', ' until', ' later']",0.95,"I'm sorry, but I cannot provide a continuation as the prompt does not correspond to a well-known text source or quote that I can reference. If you have a specific quote from a recognized text that you would like me to complete, please provide it, and I will do my best to assist you."," behind the Paramount Studio lot on Melrose, though these last details don't come to me until later",tensor([[0.8153]]),11,"[tensor([[0.7780]]), tensor([[0.7655]]), tensor([[0.7738]]), tensor([[0.7759]]), tensor([[0.7841]]), tensor([[0.7679]]), tensor([[0.7911]]), tensor([[0.8009]]), tensor([[0.8088]]), tensor([[0.8126]]), tensor([[0.8153]]), tensor([[0.8094]]), tensor([[0.8074]]), tensor([[0.8077]]), tensor([[0.8076]]), tensor([[0.8082]]), tensor([[0.8082]]), tensor([[0.8105]]), tensor([[0.8019]]), tensor([[0.7979]]), tensor([[0.8036]]), tensor([[0.7921]]), tensor([[0.7915]]), tensor([[0.7976]]), tensor([[0.7913]]), tensor([[0.7919]]), tensor([[0.7951]]), tensor([[0.7902]]), tensor([[0.7930]]), tensor([[0.7997]]), tensor([[0.7833]]), tensor([[0.7834]]), tensor([[0.7810]]), tensor([[0.7930]]), tensor([[0.7834]]), tensor([[0.7838]]), tensor([[0.7904]]), tensor([[0.7843]]), tensor([[0.7819]]), tensor([[0.7829]]), tensor([[0.7837]]), tensor([[0.7838]]), tensor([[0.7896]]), tensor([[0.7850]]), tensor([[0.7868]]), tensor([[0.7856]]), tensor([[0.7893]]), tensor([[0.7914]]), tensor([[0.7873]]), tensor([[0.7867]]), tensor([[0.7889]]), tensor([[0.7848]]), tensor([[0.7855]]), tensor([[0.7854]]), tensor([[0.7886]])]",5,39
211,gpt-4-1106-preview,The Corrections by Jonathan Franzen ,7,30,"airie cold front coming through. You could feel it: something terrible was going to happen. The sun low in the sky, a minor light, a","['airie', ' cold', ' front', ' coming', ' through', '.', ' You', ' could', ' feel']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' or', ' information', ' to', ' complete', ' the', ' quote', '.', ' Could', ' you', ' please', ' provide', ' the']","[' it', ':', ' something', ' terrible', ' was', ' going', ' to', ' happen', '.', ' The', ' sun', ' low', ' in', ' the', ' sky', ',', ' a', ' minor', ' light', ',', ' a']",0.9523809523809524,"I'm sorry, but I need more context or information to complete the quote. Could you please provide the source or more details about the quote you're referring to?"," it: something terrible was going to happen. The sun low in the sky, a minor light, a",tensor([[0.8111]]),4,"[tensor([[0.7734]]), tensor([[0.7670]]), tensor([[0.8068]]), tensor([[0.8111]]), tensor([[0.8044]]), tensor([[0.8045]]), tensor([[0.7872]]), tensor([[0.7935]]), tensor([[0.8036]]), tensor([[0.7920]]), tensor([[0.8008]]), tensor([[0.7937]]), tensor([[0.8062]]), tensor([[0.7905]]), tensor([[0.8073]]), tensor([[0.7964]]), tensor([[0.7933]]), tensor([[0.7843]]), tensor([[0.7889]]), tensor([[0.7750]]), tensor([[0.7744]]), tensor([[0.7751]]), tensor([[0.7753]]), tensor([[0.7770]]), tensor([[0.7824]]), tensor([[0.7735]]), tensor([[0.7764]]), tensor([[0.7713]]), tensor([[0.7657]])]",6,35
1819,gpt-4-1106-preview,The Firm ,8,21," the hundredth time and again found nothing he disliked about Mitchell Y. McDeere, at least not","[' the', ' hundred', 'th', ' time', ' and', ' again', ' found', ' nothing', ' he']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' complete', ' the']","[' disliked', ' about', ' Mitchell', ' Y', '.', ' Mc', 'De', 'ere', ',', ' at', ' least', ' not']",1.0,"I'm sorry, but I need more context to complete the quote. Could you please provide the beginning of the quote or the source it comes from?"," disliked about Mitchell Y. McDeere, at least not",tensor([[0.7729]]),13,"[tensor([[0.7384]]), tensor([[0.7137]]), tensor([[0.7474]]), tensor([[0.7647]]), tensor([[0.7502]]), tensor([[0.7148]]), tensor([[0.7267]]), tensor([[0.7555]]), tensor([[0.7479]]), tensor([[0.7558]]), tensor([[0.7527]]), tensor([[0.7546]]), tensor([[0.7729]]), tensor([[0.7616]]), tensor([[0.7536]]), tensor([[0.7618]]), tensor([[0.7656]]), tensor([[0.7605]]), tensor([[0.7580]]), tensor([[0.7587]]), tensor([[0.7621]]), tensor([[0.7545]]), tensor([[0.7600]]), tensor([[0.7627]]), tensor([[0.7616]]), tensor([[0.7605]]), tensor([[0.7558]])]",7,27
1027,gpt-4-1106-preview,The Codex by Douglas Preston ,8,30," corner of the winding drive and found his two brothers already waiting at the great iron gates of the Broadbent compound. Philip, irritated, was knocking","[' corner', ' of', ' the', ' winding', ' drive', ' and', ' found']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' complete', ' this', ' quote', '.', ' Could', ' you', ' please', ' provide', ' the', ' preceding', ' text', ' or', ' the']","[' his', ' two', ' brothers', ' already', ' waiting', ' at', ' the', ' great', ' iron', ' gates', ' of', ' the', ' Broad', 'b', 'ent', ' compound', '.', ' Philip', ',', ' irritated', ',', ' was', ' knocking']",1.0,"I'm sorry, but I need more context to complete this quote. Could you please provide the preceding text or the source of the quote?"," his two brothers already waiting at the great iron gates of the Broadbent compound. Philip, irritated, was knocking",tensor([[0.7872]]),10,"[tensor([[0.7379]]), tensor([[0.7488]]), tensor([[0.7653]]), tensor([[0.7609]]), tensor([[0.7593]]), tensor([[0.7647]]), tensor([[0.7639]]), tensor([[0.7847]]), tensor([[0.7864]]), tensor([[0.7872]]), tensor([[0.7808]]), tensor([[0.7832]]), tensor([[0.7867]]), tensor([[0.7782]]), tensor([[0.7742]]), tensor([[0.7664]]), tensor([[0.7720]]), tensor([[0.7817]]), tensor([[0.7765]]), tensor([[0.7724]]), tensor([[0.7765]]), tensor([[0.7736]]), tensor([[0.7770]]), tensor([[0.7767]]), tensor([[0.7702]])]",7,36
1199,gpt-4-1106-preview,The Codex by Douglas Preston ,10,37," the winding drive and found his two brothers already waiting at the great iron gates of the Broadbent compound. Philip, irritated, was knocking the dottle out of his pipe on one","[' the', ' winding', ' drive', ' and', ' found', ' his', ' two', ' brothers', ' already', ' waiting', ' at', ' the', ' great', ' iron', ' gates']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' the', ' continuation', ' of', ' the', ' text', ' as', ' it', ' appears', ' to', ' be', ' from', ' an', ' unspecified', ' source']","[' of', ' the', ' Broad', 'b', 'ent', ' compound', '.', ' Philip', ',', ' irritated', ',', ' was', ' knocking', ' the', ' d', 'ottle', ' out', ' of', ' his', ' pipe', ' on', ' one']",1.0,"I'm sorry, but I cannot provide the continuation of the text as it appears to be from an unspecified source and not a well-known text or quote. If you provide a well-known quote or the source of the text, I would be happy to help!"," of the Broadbent compound. Philip, irritated, was knocking the dottle out of his pipe on one",tensor([[0.7970]]),30,"[tensor([[0.7635]]), tensor([[0.7633]]), tensor([[0.7890]]), tensor([[0.7818]]), tensor([[0.7788]]), tensor([[0.7546]]), tensor([[0.7611]]), tensor([[0.7755]]), tensor([[0.7796]]), tensor([[0.7815]]), tensor([[0.7857]]), tensor([[0.7842]]), tensor([[0.7848]]), tensor([[0.7883]]), tensor([[0.7862]]), tensor([[0.7864]]), tensor([[0.7877]]), tensor([[0.7869]]), tensor([[0.7927]]), tensor([[0.7876]]), tensor([[0.7837]]), tensor([[0.7847]]), tensor([[0.7839]]), tensor([[0.7835]]), tensor([[0.7888]]), tensor([[0.7886]]), tensor([[0.7885]]), tensor([[0.7841]]), tensor([[0.7935]]), tensor([[0.7970]]), tensor([[0.7924]]), tensor([[0.7937]]), tensor([[0.7948]]), tensor([[0.7945]]), tensor([[0.7935]]), tensor([[0.7956]]), tensor([[0.7919]]), tensor([[0.7934]]), tensor([[0.7944]]), tensor([[0.7907]]), tensor([[0.7948]]), tensor([[0.7952]]), tensor([[0.7968]]), tensor([[0.7885]]), tensor([[0.7933]]), tensor([[0.7905]])]",9,45
1808,gpt-4-1106-preview,The Firm ,10,22,"th time and again found nothing he disliked about Mitchell Y. McDeere, at least not on paper.","['th', ' time', ' and', ' again', ' found']","['I', ""'m"", ' sorry', ',', ' but', ' without', ' additional', ' context', ',', ' I', ' cannot', ' complete', ' the', ' quote', '.', ' Could', ' you']","[' nothing', ' he', ' disliked', ' about', ' Mitchell', ' Y', '.', ' Mc', 'De', 'ere', ',', ' at', ' least', ' not', ' on', ' paper', '.']",1.0,"I'm sorry, but without additional context, I cannot complete the quote. Could you please provide more information or specify the source of the quote?"," nothing he disliked about Mitchell Y. McDeere, at least not on paper.",tensor([[0.7748]]),6,"[tensor([[0.7324]]), tensor([[0.6844]]), tensor([[0.7075]]), tensor([[0.7160]]), tensor([[0.7690]]), tensor([[0.7748]]), tensor([[0.7569]]), tensor([[0.7398]]), tensor([[0.7174]]), tensor([[0.7219]]), tensor([[0.7178]]), tensor([[0.7277]]), tensor([[0.7330]]), tensor([[0.7315]]), tensor([[0.7287]]), tensor([[0.7327]]), tensor([[0.7383]]), tensor([[0.7336]]), tensor([[0.7300]]), tensor([[0.7336]]), tensor([[0.7312]]), tensor([[0.7376]]), tensor([[0.7356]]), tensor([[0.7341]]), tensor([[0.7379]])]",9,30
92,gpt-4-1106-preview,The Island by Elin Hilderbrand ,12,35," without warning.  It was a summer house, a cottage, though it had been built well, with high-quality lumber and square-headed steel nails. This was back in ","[' without', ' warning', '.', ' ', ' It', ' was', ' a', ' summer', ' house', ',', ' a', ' cottage', ',', ' though']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' complete', ' this', ' quote', '.', ' Could', ' you', ' please', ' provide', ' more', ' details', ' or']","[' it', ' had', ' been', ' built', ' well', ',', ' with', ' high', '-quality', ' lumber', ' and', ' square', '-headed', ' steel', ' nails', '.', ' This', ' was', ' back', ' in', ' ']",1.0,"I'm sorry, but I need more context to complete this quote. Could you please provide more details or specify the source of the quote?"," it had been built well, with high-quality lumber and square-headed steel nails. This was back in ",tensor([[0.7704]]),13,"[tensor([[0.7529]]), tensor([[0.7456]]), tensor([[0.7267]]), tensor([[0.7199]]), tensor([[0.7207]]), tensor([[0.7286]]), tensor([[0.7299]]), tensor([[0.7582]]), tensor([[0.7574]]), tensor([[0.7649]]), tensor([[0.7667]]), tensor([[0.7628]]), tensor([[0.7704]]), tensor([[0.7691]]), tensor([[0.7628]]), tensor([[0.7615]]), tensor([[0.7625]]), tensor([[0.7606]]), tensor([[0.7593]]), tensor([[0.7626]]), tensor([[0.7610]]), tensor([[0.7614]]), tensor([[0.7606]]), tensor([[0.7597]]), tensor([[0.7569]])]",11,45
1552,gpt-4-1106-preview,The Cabin at the End of the World ,15,20, herself into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades,"[' herself', ' into', ' the', ' yellow', 'ing', ' l', 'agoon']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' complete', ' the', ' quote']","[' of', ' ankle', '-high', ' grass', '.', ' A', ' warm', ' breeze', ' r', 'ipples', ' through', ' the', ' blades']",0.9230769230769232,"I'm sorry, but I need more context to complete the quote. Could you please provide the beginning of the quote or the source it comes from?", of ankle-high grass. A warm breeze ripples through the blades,tensor([[0.7572]]),2,"[tensor([[0.7551]]), tensor([[0.7572]]), tensor([[0.7285]]), tensor([[0.7209]]), tensor([[0.7170]]), tensor([[0.7275]]), tensor([[0.7286]]), tensor([[0.7304]]), tensor([[0.7272]]), tensor([[0.7261]]), tensor([[0.7299]]), tensor([[0.7167]]), tensor([[0.7251]]), tensor([[0.7174]]), tensor([[0.7163]]), tensor([[0.7111]]), tensor([[0.7114]]), tensor([[0.7077]]), tensor([[0.7058]]), tensor([[0.7057]]), tensor([[0.7051]]), tensor([[0.7029]]), tensor([[0.7057]]), tensor([[0.7029]]), tensor([[0.7035]]), tensor([[0.7062]]), tensor([[0.7042]])]",14,33
1548,gpt-4-1106-preview,The Cabin at the End of the World ,22,32," of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover flowers. She studies the front yard, watching","[' of', ' ankle', '-high', ' grass', '.', ' A', ' warm']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' need', ' more', ' context', ' to', ' complete', ' the', ' quote', '.', ' Could', ' you', ' please', ' provide', ' the', ' beginning', ' of', ' the', ' quote', ' or', ' the']","[' breeze', ' r', 'ipples', ' through', ' the', ' blades', ',', ' leaves', ',', ' and', ' crab', 'like', ' petals', ' of', ' clo', 'ver', ' flowers', '.', ' She', ' studies', ' the', ' front', ' yard', ',', ' watching']",1.0,"I'm sorry, but I need more context to complete the quote. Could you please provide the beginning of the quote or the source it comes from?"," breeze ripples through the blades, leaves, and crablike petals of clover flowers. She studies the front yard, watching",tensor([[0.7598]]),2,"[tensor([[0.7556]]), tensor([[0.7598]]), tensor([[0.7192]]), tensor([[0.7132]]), tensor([[0.7120]]), tensor([[0.7159]]), tensor([[0.7306]]), tensor([[0.7415]]), tensor([[0.7397]]), tensor([[0.7408]]), tensor([[0.7395]]), tensor([[0.7283]]), tensor([[0.7389]]), tensor([[0.7335]]), tensor([[0.7338]]), tensor([[0.7273]]), tensor([[0.7288]]), tensor([[0.7332]]), tensor([[0.7334]]), tensor([[0.7320]]), tensor([[0.7317]]), tensor([[0.7271]]), tensor([[0.7289]]), tensor([[0.7258]]), tensor([[0.7252]]), tensor([[0.7283]]), tensor([[0.7222]])]",21,52
1623,gpt-4-1106-preview,The Bedwetter ,24,32, a parent loses self-control. That is typically followed by the parent stressing that such words are bad and shouldn’t be repeated outside the home. When I was three,"[' a', ' parent', ' loses', ' self', '-control', '.', ' That', ' is', ' typically', ' followed']","['I', ""'m"", ' sorry', ',', ' but', ' I', ' cannot', ' provide', ' the', ' continuation', ' without', ' more', ' context', '.', ' Could', ' you', ' please', ' provide', ' the', ' beginning', ' of', ' the']","[' by', ' the', ' parent', ' stressing', ' that', ' such', ' words', ' are', ' bad', ' and', ' shouldn', '’t', ' be', ' repeated', ' outside', ' the', ' home', '.', ' When', ' I', ' was', ' three']",1.0,"I'm sorry, but I cannot provide the continuation without more context. Could you please provide the beginning of the quote or the source it comes from?", by the parent stressing that such words are bad and shouldn’t be repeated outside the home. When I was three,tensor([[0.8428]]),13,"[tensor([[0.7870]]), tensor([[0.7892]]), tensor([[0.7973]]), tensor([[0.7914]]), tensor([[0.7947]]), tensor([[0.7783]]), tensor([[0.7918]]), tensor([[0.8054]]), tensor([[0.8126]]), tensor([[0.8131]]), tensor([[0.8105]]), tensor([[0.8341]]), tensor([[0.8428]]), tensor([[0.8365]]), tensor([[0.8277]]), tensor([[0.8297]]), tensor([[0.8362]]), tensor([[0.8377]]), tensor([[0.8405]]), tensor([[0.8393]]), tensor([[0.8310]]), tensor([[0.8319]]), tensor([[0.8372]]), tensor([[0.8289]]), tensor([[0.8292]]), tensor([[0.8288]]), tensor([[0.8290]])]",23,54
