,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
794,gpt-3.5-turbo,King Henry V ,3,35,"SCENE I.
London. An ante-chamber in the KING'S palace
Enter the ARCHBISHOP OF CANTERBURY and the BISHOP OF ELY
 CANTERBURY. My lord, I'll tell you","['SCENE', 'I.', '\n', 'London', '.']","['""', 'Once', 'more', 'unto', 'the', 'breach', ',', 'dear', 'friends', ',', 'once', 'more', ';', '""']","['An', 'ante', '-', 'chamber', 'in', 'the', 'KING', ""'S"", 'palace', '\n', 'Enter', 'the', 'ARCHBISHOP', 'OF']",1.0,2,20
783,gpt-3.5-turbo,King Henry V ,3,34,"SCENE I.
London. An ante-chamber in the KING'S palace
Enter the ARCHBISHOP OF CANTERBURY and the BISHOP OF ELY
 CANTERBURY. My lord, I'll tell","['SCENE', 'I.', '\n', 'London', '.', 'An', 'ante', '-', 'chamber']","['""', 'Once', 'more', 'unto', 'the', 'breach', ',', 'dear', 'friends', ',', 'once', 'more', ';', '""']","['in', 'the', 'KING', ""'S"", 'palace', '\n', 'Enter', 'the', 'ARCHBISHOP', 'OF', 'CANTERBURY', 'and', 'the', 'BISHOP']",1.0,2,24
810,gpt-3.5-turbo,King Lear,18,27,", Gloucester and Edmund.
KENT.
I thought the King had more affected the Duke of Albany than Cornwall.
GLOUCESTER.
","[',', 'Gloucester', 'and', 'Edmund', '.', '\n', 'KENT', '.', '\n', 'I', 'thought', 'the']","['king', 'had', 'more', 'affected', 'the', 'Duke', 'of', 'Albany', 'than', 'Cornwall', '.']","['King', 'had', 'more', 'affected', 'the', 'Duke', 'of', 'Albany', 'than', 'Cornwall', '.']",0.0909090909090909,17,39
17,gpt-3.5-turbo,Julius Caesar,20,30,".

  FLAVIUS. Hence, home, you idle creatures, get you home.
    Is this a holiday? What, know you not,
    Being","['.', '\n\n  ', 'FLAVIUS', '.', 'Hence', ',', 'home']","[',', 'you', 'idle', 'creatures', ',', 'get', 'you', 'home', '!', '\n', 'Is', 'this', 'a', 'holiday', '?', 'What', '!', 'know', 'you', 'not', ',', '\n', 'Being']","[',', 'you', 'idle', 'creatures', ',', 'get', 'you', 'home', '.', '\n    ', 'Is', 'this', 'a', 'holiday', '?', 'What', ',', 'know', 'you', 'not', ',', '\n    ', 'Being']",0.1739130434782608,19,48
1470,gpt-3.5-turbo,Antony and Cleopatra,23,30,"dotage of our general's
    O'erflows the measure. Those his goodly eyes,
    That o'er the files and musters of the war
    Have glow'd like plated","['dotage', 'of', 'our', 'general', ""'s""]","['dotage', 'of', 'our', 'general', ""'s"", 'O', 'Antony', ',', 'Antony', ',', 'Antony', '!']","['\n    ', ""O'erflows"", 'the', 'measure', '.', 'Those', 'his', 'goodly', 'eyes', ',', '\n    ', 'That']",0.9166666666666666,22,38
1267,gpt-3.5-turbo,A Midsummer Night's Dream,24,20,".

THESEUS.
Now, fair Hippolyta, our nuptial hour
Draws on apace; four happy","['.', '\n\n', 'THESEUS', '.', '\n', 'Now', ',']","['fair', 'Hippolyta', ',', 'our', 'nuptial', 'hour', '\n', 'Draws', 'on', 'apace', ';', 'four', 'happy']","['fair', 'Hippolyta', ',', 'our', 'nuptial', 'hour', '\n', 'Draws', 'on', 'apace', ';', 'four', 'happy']",0.0,23,42
1297,gpt-3.5-turbo,A Midsummer Night's Dream,26,28,"THESEUS.
Now, fair Hippolyta, our nuptial hour
Draws on apace; four happy days bring in
Another moon; but oh,","['THESEUS', '.', '\n', 'Now', ',', 'fair', 'Hippolyta', ',', 'our', 'nuptial', 'hour', '\n', 'Draws', 'on']","['apace', ';', 'four', 'happy', 'days', 'bring', 'in', '\n', 'Another', 'moon', ':', 'but', ',', 'O']","['apace', ';', 'four', 'happy', 'days', 'bring', 'in', '\n', 'Another', 'moon', ';', 'but', 'oh', ',']",0.2142857142857142,25,52
1437,gpt-3.5-turbo,Antony and Cleopatra,27,27,"'s
    O'erflows the measure. Those his goodly eyes,
    That o'er the files and musters of the war
    Have glow'd like plated Mars","[""'s"", '\n    ', ""O'erflows"", 'the', 'measure', '.', 'Those', 'his', 'goodly']","['eyes', ',', '\n', 'That', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war', '\n', 'Have', 'glowed', 'like', 'plated', 'Mars']","['eyes', ',', '\n    ', 'That', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war', '\n    ', 'Have', ""glow'd"", 'like', 'plated', 'Mars']",0.1666666666666666,26,52
410,gpt-3.5-turbo,Othello,32,31,"That thou, Iago, who hast had my purse
    As if the strings were thine, shouldst know of this.
  IAGO. 'Sblood, but you","['That', 'thou', ',', 'Iago', ',', 'who', 'hast']","['that', 'thou', ',', 'Iago', ',', 'who', 'hast', 'had', 'my', 'purse']","['had', 'my', 'purse', '\n    ', 'As', 'if', 'the', 'strings', 'were', 'thine']",1.0,31,47
1198,gpt-3.5-turbo,A Midsummer Night's Dream,37,24,"
Draws on apace; four happy days bring in
Another moon; but oh, methinks, how slow
This old","['\n', 'Draws', 'on', 'apace', ';', 'four', 'happy', 'days']","['To', 'fill', 'up', 'with', 'more', 'delight']","['bring', 'in', '\n', 'Another', 'moon', ';']",1.0,36,49
