,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1524,gpt-3.5-turbo,McCulloch v. Maryland (1819),1,37,"Chief Justice Marshall delivered the opinion of the Court.
In the case now to be determined, the defendant, a sovereign State, denies the obligation of a law enacted by the legislature of","['Chief', 'Justice', 'Marshall', 'delivered', 'the', 'opinion', 'of', 'the', 'Court', '.', '\n']","['""', 'The', 'power', 'to', 'tax', 'involves', 'the', 'power', 'to', 'destroy', '.', '""']","['In', 'the', 'case', 'now', 'to', 'be', 'determined', ',', 'the', 'defendant', ',', 'a']",1.0,"['""The', 'power', 'to', 'tax', 'involves', 'the', 'power', 'to', 'destroy.""']","In the case now to be determined, the defendant, a sovereign State, denies the obligation of a law enacted by the legislature of",tensor([[0.7848]]),7,"[tensor([[0.7391]]), tensor([[0.7730]]), tensor([[0.7564]]), tensor([[0.7802]]), tensor([[0.7629]]), tensor([[0.7739]]), tensor([[0.7848]]), tensor([[0.7705]]), tensor([[0.7772]]), tensor([[0.7727]])]",0,22
245,gpt-3.5-turbo,Tinker vs. Des Moines (1969),1,38,"Petitioners, three public school pupils in Des Moines, Iowa, were suspended from school for wearing black armbands to protest the Government's policy in Vietnam. They sought nominal dam-
ages and an injunction","['Petitioners', ',', 'three', 'public', 'school', 'pupils', 'in', 'Des', 'Moines', ',', 'Iowa', ',']","['were', 'suspended', 'for', 'wearing', 'black', 'armbands', 'to', 'protest', 'the', 'Vietnam', 'War', '.', 'The', 'Supreme', 'Court', 'ruled', 'that', 'students', 'do', 'not', '""', 'shed', 'their', 'constitutional', 'rights', 'to']","['were', 'suspended', 'from', 'school', 'for', 'wearing', 'black', 'armbands', 'to', 'protest', 'the', 'Government', ""'s"", 'policy', 'in', 'Vietnam', '.', 'They', 'sought', 'nominal', 'dam-', '\n', 'ages', 'and', 'an', 'injunction']",0.7307692307692307,"['were', 'suspended', 'for', 'wearing', 'black', 'armbands', 'to', 'protest', 'the', 'Vietnam', 'War.', 'The', 'Supreme', 'Court', 'ruled', 'that', 'students', 'do', 'not', '""shed', 'their', 'constitutional', 'rights', 'to', 'freedom', 'of', 'speech', 'or', 'expression', 'at', 'the', 'schoolhouse', 'gate.""']","were suspended from school for wearing black armbands to protest the Government's policy in Vietnam. They sought nominal dam-
ages and an injunction",tensor([[0.9492]]),13,"[tensor([[0.7645]]), tensor([[0.8132]]), tensor([[0.8622]]), tensor([[0.8695]]), tensor([[0.8823]]), tensor([[0.8946]]), tensor([[0.9183]]), tensor([[0.9221]]), tensor([[0.9277]]), tensor([[0.9286]]), tensor([[0.9482]]), tensor([[0.9438]]), tensor([[0.9492]]), tensor([[0.9468]]), tensor([[0.9418]]), tensor([[0.9388]]), tensor([[0.9455]]), tensor([[0.9478]]), tensor([[0.9435]]), tensor([[0.9454]]), tensor([[0.9446]]), tensor([[0.9436]]), tensor([[0.9438]]), tensor([[0.9429]]), tensor([[0.9420]]), tensor([[0.9419]]), tensor([[0.9393]]), tensor([[0.9379]]), tensor([[0.9340]]), tensor([[0.9358]]), tensor([[0.9346]]), tensor([[0.9319]]), tensor([[0.9342]]), tensor([[0.9303]])]",0,37
1586,gpt-3.5-turbo,McCulloch v. Maryland (1819),3,23,"Marshall delivered the opinion of the Court.
In the case now to be determined, the defendant, a sovereign State","['Marshall', 'delivered', 'the', 'opinion', 'of', 'the', 'Court', '.', '\n']","['""', 'Education', 'is', 'the', 'most', 'powerful', 'weapon', 'which', 'you', 'can', 'use', 'to', 'change', 'the']","['In', 'the', 'case', 'now', 'to', 'be', 'determined', ',', 'the', 'defendant', ',', 'a', 'sovereign', 'State']",1.0,"['""Education', 'is', 'the', 'most', 'powerful', 'weapon', 'which', 'you', 'can', 'use', 'to', 'change', 'the', 'world.""', '-', 'Nelson', 'Mandela']","In the case now to be determined, the defendant, a sovereign State",tensor([[0.7687]]),14,"[tensor([[0.7531]]), tensor([[0.7334]]), tensor([[0.7590]]), tensor([[0.7653]]), tensor([[0.7388]]), tensor([[0.7364]]), tensor([[0.7493]]), tensor([[0.7632]]), tensor([[0.7605]]), tensor([[0.7516]]), tensor([[0.7552]]), tensor([[0.7582]]), tensor([[0.7613]]), tensor([[0.7687]]), tensor([[0.7664]]), tensor([[0.7631]]), tensor([[0.7640]]), tensor([[0.7623]])]",2,24
163,gpt-3.5-turbo,Gideon v. Wainwright (1963),4,29,"BLACK delivered the oninion of the Court.
Petitioner was charged in a Florida state court with having broken and entered a .poolroom with intent to commit a","['BLACK', 'delivered', 'the', 'oninion', 'of', 'the', 'Court', '.', '\n', 'Petitioner', 'was', 'charged', 'in']","['the', 'indictment', 'with', 'the', 'commission', 'of', 'the', 'crime', 'of', 'murder', 'in', 'the', 'first', 'degree', ',', 'and']","['a', 'Florida', 'state', 'court', 'with', 'having', 'broken', 'and', 'entered', 'a', '.poolroom', 'with', 'intent', 'to', 'commit', 'a']",1.0,"['the', 'indictment', 'with', 'the', 'commission', 'of', 'the', 'crime', 'of', 'murder', 'in', 'the', 'first', 'degree,', 'and', 'the', 'jury', 'found', 'him', 'guilty', 'as', 'charged.']",a Florida state court with having broken and entered a .poolroom with intent to commit a,tensor([[0.7995]]),15,"[tensor([[0.7477]]), tensor([[0.7798]]), tensor([[0.7751]]), tensor([[0.7822]]), tensor([[0.7844]]), tensor([[0.7807]]), tensor([[0.7899]]), tensor([[0.7890]]), tensor([[0.7796]]), tensor([[0.7862]]), tensor([[0.7801]]), tensor([[0.7824]]), tensor([[0.7875]]), tensor([[0.7831]]), tensor([[0.7995]]), tensor([[0.7961]]), tensor([[0.7970]]), tensor([[0.7985]]), tensor([[0.7896]]), tensor([[0.7923]]), tensor([[0.7906]]), tensor([[0.7898]]), tensor([[0.7886]])]",3,31
646,gpt-3.5-turbo,Marbury v. Madison (1803),6,32,"opinion of the Court.
At the last term on the affidavits then read and filed with the clerk, a rule was granted in this case, requiring the Secretary","['opinion', 'of', 'the', 'Court', '.']","['I', 'have', 'a', 'dream', 'that', 'one', 'day', 'this', 'nation', 'will', 'rise', 'up', 'and', 'live', 'out', 'the', 'true', 'meaning', 'of', 'its', 'creed', ':', '""', 'We', 'hold', 'these', 'truths']","['\n', 'At', 'the', 'last', 'term', 'on', 'the', 'affidavits', 'then', 'read', 'and', 'filed', 'with', 'the', 'clerk', ',', 'a', 'rule', 'was', 'granted', 'in', 'this', 'case', ',', 'requiring', 'the', 'Secretary']",1.0,"['I', 'have', 'a', 'dream', 'that', 'one', 'day', 'this', 'nation', 'will', 'rise', 'up', 'and', 'live', 'out', 'the', 'true', 'meaning', 'of', 'its', 'creed:', '""We', 'hold', 'these', 'truths', 'to', 'be', 'self-evident,', 'that', 'all', 'men', 'are', 'created', 'equal.""']","
At the last term on the affidavits then read and filed with the clerk, a rule was granted in this case, requiring the Secretary",tensor([[0.7531]]),25,"[tensor([[0.7336]]), tensor([[0.7478]]), tensor([[0.7370]]), tensor([[0.7453]]), tensor([[0.7198]]), tensor([[0.7336]]), tensor([[0.7408]]), tensor([[0.7305]]), tensor([[0.7444]]), tensor([[0.7269]]), tensor([[0.7309]]), tensor([[0.7132]]), tensor([[0.7108]]), tensor([[0.7139]]), tensor([[0.7175]]), tensor([[0.7216]]), tensor([[0.7223]]), tensor([[0.7254]]), tensor([[0.7307]]), tensor([[0.7363]]), tensor([[0.7378]]), tensor([[0.7528]]), tensor([[0.7479]]), tensor([[0.7453]]), tensor([[0.7531]]), tensor([[0.7426]]), tensor([[0.7450]]), tensor([[0.7431]]), tensor([[0.7522]]), tensor([[0.7472]]), tensor([[0.7464]]), tensor([[0.7460]]), tensor([[0.7432]]), tensor([[0.7381]]), tensor([[0.7514]])]",5,36
1346,gpt-3.5-turbo,Brown vs. Board of Education (1954),7,22,"Negro children in the public schools of a State solely on the basis of race, pursuant to state laws permitting or","['Negro', 'children', 'in', 'the', 'public', 'schools', 'of', 'a', 'State', 'solely']","['on', 'account', 'of', 'their', 'race', ',', 'there', 'is', 'a', 'discrimination', 'among', 'citizens']","['on', 'the', 'basis', 'of', 'race', ',', 'pursuant', 'to', 'state', 'laws', 'permitting', 'or']",0.75,"['on', 'account', 'of', 'their', 'race,', 'there', 'is', 'a', 'discrimination', 'among', 'citizens', 'of', 'the', 'United', 'States,', 'and', 'the', 'denial', 'of', 'equal', 'protection', 'of', 'the', 'laws', 'guaranteed', 'by', 'the', 'Fourteenth', 'Amendment.']","on the basis of race, pursuant to state laws permitting or",tensor([[0.8859]]),9,"[tensor([[0.7677]]), tensor([[0.7854]]), tensor([[0.7749]]), tensor([[0.8176]]), tensor([[0.8316]]), tensor([[0.8794]]), tensor([[0.8848]]), tensor([[0.8828]]), tensor([[0.8859]]), tensor([[0.8704]]), tensor([[0.8736]]), tensor([[0.8582]]), tensor([[0.8641]]), tensor([[0.8628]]), tensor([[0.8433]]), tensor([[0.8524]]), tensor([[0.8563]]), tensor([[0.8579]]), tensor([[0.8503]]), tensor([[0.8520]]), tensor([[0.8581]]), tensor([[0.8548]]), tensor([[0.8559]]), tensor([[0.8555]]), tensor([[0.8639]]), tensor([[0.8689]]), tensor([[0.8667]]), tensor([[0.8648]]), tensor([[0.8721]]), tensor([[0.8635]])]",6,27
135,gpt-3.5-turbo,Gideon v. Wainwright (1963),10,34,"Court.
Petitioner was charged in a Florida state court with having broken and entered a .poolroom with intent to commit a misdemeanor. This offense is a felony under Florida law.","['Court', '.', '\n', 'Petitioner', 'was', 'charged', 'in', 'a', 'Florida']","['court', 'with', 'carrying', 'a', 'concealed', 'firearm', '.']","['state', 'court', 'with', 'having', 'broken', 'and', 'entered']",0.8571428571428571,"['court', 'with', 'carrying', 'a', 'concealed', 'firearm.']",state court with having broken and entered a .poolroom with intent to commit a misdemeanor. This offense is a felony under Florida law.,tensor([[0.7932]]),3,"[tensor([[0.7673]]), tensor([[0.7760]]), tensor([[0.7932]]), tensor([[0.7658]]), tensor([[0.7737]]), tensor([[0.7636]]), tensor([[0.7727]])]",9,24
1291,gpt-3.5-turbo,Brown vs. Board of Education (1954),17,37,"on the basis of race, pursuant to state laws permitting or requiring such segregation, denies to Negro children the equal protection of the laws guaranteed by the Fourteenth Amendment -- even though the physical facilities","['on', 'the', 'basis', 'of', 'race', ',', 'pursuant', 'to', 'state', 'laws']","['that', 'is', 'the', 'question', ':', 'Whether', ""'"", 'tis', 'nobler', 'in', 'the', 'mind', 'to', 'suffer', 'The', 'slings', 'and', 'arrows', 'of', 'outrageous', 'fortune', ',', 'Or', 'to', 'take', 'arms', 'against']","['permitting', 'or', 'requiring', 'such', 'segregation', ',', 'denies', 'to', 'Negro', 'children', 'the', 'equal', 'protection', 'of', 'the', 'laws', 'guaranteed', 'by', 'the', 'Fourteenth', 'Amendment', '--', 'even', 'though', 'the', 'physical', 'facilities']",0.9629629629629628,"['that', 'is', 'the', 'question:', 'Whether', ""'tis"", 'nobler', 'in', 'the', 'mind', 'to', 'suffer', 'The', 'slings', 'and', 'arrows', 'of', 'outrageous', 'fortune,', 'Or', 'to', 'take', 'arms', 'against', 'a', 'sea', 'of', 'troubles,', 'And', 'by', 'opposing', 'end', 'them?']","permitting or requiring such segregation, denies to Negro children the equal protection of the laws guaranteed by the Fourteenth Amendment -- even though the physical facilities",tensor([[0.7864]]),5,"[tensor([[0.7327]]), tensor([[0.7546]]), tensor([[0.7591]]), tensor([[0.7547]]), tensor([[0.7864]]), tensor([[0.7637]]), tensor([[0.7597]]), tensor([[0.7635]]), tensor([[0.7743]]), tensor([[0.7806]]), tensor([[0.7584]]), tensor([[0.7617]]), tensor([[0.7549]]), tensor([[0.7591]]), tensor([[0.7645]]), tensor([[0.7673]]), tensor([[0.7659]]), tensor([[0.7681]]), tensor([[0.7663]]), tensor([[0.7628]]), tensor([[0.7675]]), tensor([[0.7686]]), tensor([[0.7664]]), tensor([[0.7708]]), tensor([[0.7746]]), tensor([[0.7764]]), tensor([[0.7680]]), tensor([[0.7709]]), tensor([[0.7688]]), tensor([[0.7684]]), tensor([[0.7692]]), tensor([[0.7731]]), tensor([[0.7694]]), tensor([[0.7670]])]",16,52
1373,gpt-3.5-turbo,Brown vs. Board of Education (1954),19,34,"basis of race, pursuant to state laws permitting or requiring such segregation, denies to Negro children the equal protection of the laws guaranteed by the Fourteenth Amendment -- even though the physical","['basis', 'of', 'race', ',', 'pursuant']","['to', 'the', 'principle', 'of', 'equal', 'protection', 'of', 'the', 'laws', '.']","['to', 'state', 'laws', 'permitting', 'or', 'requiring', 'such', 'segregation', ',', 'denies']",0.9,"['to', 'the', 'principle', 'of', 'equal', 'protection', 'of', 'the', 'laws.']","to state laws permitting or requiring such segregation, denies to Negro children the equal protection of the laws guaranteed by the Fourteenth Amendment -- even though the physical",tensor([[0.8506]]),10,"[tensor([[0.7390]]), tensor([[0.7187]]), tensor([[0.7413]]), tensor([[0.7597]]), tensor([[0.7844]]), tensor([[0.8059]]), tensor([[0.8419]]), tensor([[0.8498]]), tensor([[0.8489]]), tensor([[0.8506]])]",18,32
708,gpt-3.5-turbo,Marbury v. Madison (1803),22,40,"filed with the clerk, a rule was granted in this case, requiring the Secretary of State to show cause why a mandamus should not issue, directing him to deliver to William Marbury his commission as a justice","['filed', 'with', 'the', 'clerk', ',', 'a', 'rule']","['of', 'reason', 'and', 'equity', ',', 'not', 'of', 'strict', 'law', '.']","['was', 'granted', 'in', 'this', 'case', ',', 'requiring', 'the', 'Secretary', 'of']",1.0,"['of', 'reason', 'and', 'equity,', 'not', 'of', 'strict', 'law.']","was granted in this case, requiring the Secretary of State to show cause why a mandamus should not issue, directing him to deliver to William Marbury his commission as a justice",tensor([[0.7916]]),4,"[tensor([[0.7309]]), tensor([[0.7586]]), tensor([[0.7654]]), tensor([[0.7916]]), tensor([[0.7837]]), tensor([[0.7720]]), tensor([[0.7732]]), tensor([[0.7753]]), tensor([[0.7705]])]",21,37
