,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
0,gpt-3.5-turbo,Bohemian Rhapsody by Queen,1,38,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just a","['Is', 'this', 'the', 'real', 'life', '?', 'Is', 'this', 'just', 'fantasy', '?', '\n', 'Caught', 'in', 'a', 'landslide', ',', 'no']","['escape', 'from', 'reality', '.']","['escape', 'from', 'reality', '\n']",0.25,"['escape', 'from', 'reality.']","escape from reality
Open your eyes, look up to the skies and see
I'm just a",tensor([[0.8958]]),4,"[tensor([[0.7856]]), tensor([[0.8389]]), tensor([[0.8481]]), tensor([[0.8958]])]",0,21
2531,gpt-3.5-turbo,Like A Rolling Stone by Bob Dylan,1,36,"Once upon a time you dressed so fine
Threw the bums a dime in your prime, didn't you?
People call say 'beware doll, you're bound to fall'","['Once', 'upon', 'a', 'time', 'you', 'dressed', 'so', 'fine', '\n', 'Threw', 'the', 'bums']","['a', 'dime', 'in', 'your', 'prime', ',', 'did', ""n't"", 'you', '?']","['a', 'dime', 'in', 'your', 'prime', ',', 'did', ""n't"", 'you', '?']",0.0,"['a', 'dime', 'in', 'your', 'prime,', ""didn't"", 'you?']","a dime in your prime, didn't you?
People call say 'beware doll, you're bound to fall'",tensor([[0.9078]]),8,"[tensor([[0.7859]]), tensor([[0.7981]]), tensor([[0.8433]]), tensor([[0.8509]]), tensor([[0.8606]]), tensor([[0.9028]]), tensor([[0.8895]]), tensor([[0.9078]])]",0,21
90,gpt-3.5-turbo,Bohemian Rhapsody by Queen,1,37,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just","['Is', 'this', 'the', 'real', 'life', '?', 'Is']","['this', 'just', 'fantasy', '?']","['this', 'just', 'fantasy', '?']",0.0,"['this', 'just', 'fantasy?']","this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just",tensor([[0.8966]]),4,"[tensor([[0.7932]]), tensor([[0.8066]]), tensor([[0.8217]]), tensor([[0.8966]])]",0,10
2056,gpt-3.5-turbo,Stairway To Heaven by Led Zeppelin,1,26,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to Heaven
When she gets there","['There', ""'s"", 'a', 'lady', 'who', ""'s"", 'sure', 'all', 'that', 'glitters', 'is', 'gold']","['And', 'she', ""'s"", 'buying', 'a', 'stairway', 'to', 'heaven', '.']","['\n', 'And', 'she', ""'s"", 'buying', 'a', 'stairway', 'to', 'Heaven']",0.3333333333333333,"['And', ""she's"", 'buying', 'a', 'stairway', 'to', 'heaven.']","
And she's buying a stairway to Heaven
When she gets there",tensor([[0.9848]]),8,"[tensor([[0.7327]]), tensor([[0.7708]]), tensor([[0.8130]]), tensor([[0.8885]]), tensor([[0.8967]]), tensor([[0.9594]]), tensor([[0.9608]]), tensor([[0.9848]])]",0,20
1960,gpt-3.5-turbo,Hey Jude by the Beatles,1,26,"Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her into your","['Hey', 'Jude', ',', 'do', ""n't"", 'make']","['it', 'bad', '.']","['it', 'bad', '.']",0.0,"['it', 'bad.']","it bad.
Take a sad song and make it better.
Remember to let her into your",tensor([[0.8615]]),3,"[tensor([[0.7851]]), tensor([[0.8227]]), tensor([[0.8615]])]",0,8
1917,gpt-3.5-turbo,Hey Jude by the Beatles,1,26,"Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her into your","['Hey', 'Jude', ',', 'do', ""n't"", 'make', 'it', 'bad', '.', '\n']","['Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better', '.']","['Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better', '.']",0.0,"['Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better.']","Take a sad song and make it better.
Remember to let her into your",tensor([[0.9292]]),9,"[tensor([[0.7706]]), tensor([[0.7810]]), tensor([[0.8156]]), tensor([[0.8710]]), tensor([[0.8993]]), tensor([[0.9084]]), tensor([[0.9082]]), tensor([[0.9115]]), tensor([[0.9292]])]",0,18
216,gpt-3.5-turbo,I Can't Get No Satisfaction by Rolling Stones,1,28,"I can't get no satisfaction
I can't get no satisfaction
'Cause I try, and I try, and I try, and I","['I', 'ca', ""n't"", 'get', 'no', 'satisfaction', '\n', 'I', 'ca', ""n't"", 'get']","['no', 'satisfaction', ',', 'I', 'ca', ""n't"", 'get', 'no', 'satisfaction', ',', ""'cause"", 'I', 'try', 'and', 'I', 'try', 'and']","['no', 'satisfaction', '\n', ""'Cause"", 'I', 'try', ',', 'and', 'I', 'try', ',', 'and', 'I', 'try', ',', 'and', 'I']",0.6470588235294118,"['no', 'satisfaction,', 'I', ""can't"", 'get', 'no', 'satisfaction,', ""'cause"", 'I', 'try', 'and', 'I', 'try', 'and', 'I', 'try', 'and', 'I', 'try.']","no satisfaction
'Cause I try, and I try, and I try, and I",tensor([[0.9818]]),16,"[tensor([[0.7521]]), tensor([[0.7657]]), tensor([[0.9101]]), tensor([[0.9400]]), tensor([[0.9228]]), tensor([[0.9168]]), tensor([[0.9226]]), tensor([[0.9388]]), tensor([[0.9466]]), tensor([[0.9544]]), tensor([[0.9746]]), tensor([[0.9727]]), tensor([[0.9772]]), tensor([[0.9802]]), tensor([[0.9804]]), tensor([[0.9818]]), tensor([[0.9809]]), tensor([[0.9813]]), tensor([[0.9809]]), tensor([[0.9748]])]",0,27
1506,gpt-3.5-turbo,Imagine by John Lennon,1,28,"Imagine there's no heaven
It's easy if you try
No hell below us
Above us, only sky
Imagine all the people","['Imagine', 'there', ""'s"", 'no', 'heaven', '\n', 'It', ""'s"", 'easy', 'if', 'you']","['try', '\n', 'No', 'hell', 'below', 'us', '\n', 'Above', 'us', 'only']","['try', '\n', 'No', 'hell', 'below', 'us', '\n', 'Above', 'us', ',']",0.1,"['try\nNo', 'hell', 'below', 'us\nAbove', 'us', 'only']","try
No hell below us
Above us, only sky
Imagine all the people",tensor([[0.9422]]),7,"[tensor([[0.8027]]), tensor([[0.8315]]), tensor([[0.8775]]), tensor([[0.9000]]), tensor([[0.9288]]), tensor([[0.9338]]), tensor([[0.9422]])]",0,20
1284,gpt-3.5-turbo,Smells Like Teen Spirit by Nirvana,1,29,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh","['Load', 'up', 'on', 'guns', ',', 'bring', 'your', 'friends', '\n', 'It', ""'s"", 'fun', 'to']","['lose', 'and', 'to', 'pretend', '.']","['lose', 'and', 'to', 'pretend', '\n']",0.2,"['lose', 'and', 'to', 'pretend.']","lose and to pretend
She's over-bored and self-assured
Oh",tensor([[0.9120]]),5,"[tensor([[0.7605]]), tensor([[0.8263]]), tensor([[0.8470]]), tensor([[0.8368]]), tensor([[0.9120]])]",0,17
1422,gpt-3.5-turbo,Imagine by John Lennon,1,30,"Imagine there's no heaven
It's easy if you try
No hell below us
Above us, only sky
Imagine all the people
Livin","['Imagine', 'there', ""'s"", 'no', 'heaven', '\n', 'It', ""'s"", 'easy']","['if', 'you', 'try', '.']","['if', 'you', 'try', '\n']",0.25,"['if', 'you', 'try.']","if you try
No hell below us
Above us, only sky
Imagine all the people
Livin",tensor([[0.8057]]),4,"[tensor([[0.8020]]), tensor([[0.7873]]), tensor([[0.7768]]), tensor([[0.8057]])]",0,12
2673,gpt-3.5-turbo,God Save the Queen by the Sex Pistols,1,30,"God save the queen
The fascist regime
They made you a moron
A potential H bomb
God save the queen
She's not a human","['God', 'save', 'the', 'queen', '\n', 'The', 'fascist', 'regime', '\n', 'They', 'made']","['you', 'a', 'moron', '\n', 'Potential', 'has', 'a', 'shelf', 'life', '.']","['you', 'a', 'moron', '\n', 'A', 'potential', 'H', 'bomb', '\n', 'God']",0.6,"['you', 'a', 'moron\nPotential', 'has', 'a', 'shelf', 'life.']","you a moron
A potential H bomb
God save the queen
She's not a human",tensor([[0.8882]]),6,"[tensor([[0.7992]]), tensor([[0.8185]]), tensor([[0.8412]]), tensor([[0.8843]]), tensor([[0.8802]]), tensor([[0.8882]]), tensor([[0.8605]]), tensor([[0.8590]])]",0,20
517,gpt-3.5-turbo,Waterloo Sunset by The Kinks,1,27,"Dirty old river, must you keep rolling
Flowing into the night?
People so busy, make me feel dizzy
Taxi light shines","['Dirty', 'old', 'river', ',', 'must', 'you', 'keep', 'rolling', '\n', 'Flowing', 'into', 'the']","['night', '?']","['night', '?']",0.0,['night?'],"night?
People so busy, make me feel dizzy
Taxi light shines",tensor([[0.8728]]),2,"[tensor([[0.7863]]), tensor([[0.8728]])]",0,13
598,gpt-3.5-turbo,Sweet Child O'Mine by Guns N' Roses,1,23,"She's got a smile that it seems to me
Reminds me of childhood memories
Where everything was as fresh as","['She', ""'s"", 'got', 'a', 'smile']","['that', 'it', 'seems', 'to', 'me', ',', 'reminds', 'me', 'of', 'childhood', 'memories', '.']","['that', 'it', 'seems', 'to', 'me', '\n', 'Reminds', 'me', 'of', 'childhood', 'memories', '\n']",0.25,"['that', 'it', 'seems', 'to', 'me,', 'reminds', 'me', 'of', 'childhood', 'memories.']","that it seems to me
Reminds me of childhood memories
Where everything was as fresh as",tensor([[0.9266]]),10,"[tensor([[0.7843]]), tensor([[0.8047]]), tensor([[0.7969]]), tensor([[0.8152]]), tensor([[0.8350]]), tensor([[0.8325]]), tensor([[0.8859]]), tensor([[0.8858]]), tensor([[0.9015]]), tensor([[0.9266]]), tensor([[0.9263]])]",0,16
922,gpt-3.5-turbo,Hotel California by The Eagles,1,36,"On a dark desert highway
Cool wind in my hair
Warm smell of colitas
Rising up through the air
Up ahead in the distance
I saw a shimmering light
My","['On', 'a', 'dark', 'desert', 'highway', '\n', 'Cool']","['wind', 'in', 'my', 'hair', '\n', 'Warm', 'smell', 'of', 'colitas', '\n', 'Rising', 'up', 'through', 'the', 'air']","['wind', 'in', 'my', 'hair', '\n', 'Warm', 'smell', 'of', 'colitas', '\n', 'Rising', 'up', 'through', 'the', 'air']",0.0,"['wind', 'in', 'my', 'hair\nWarm', 'smell', 'of', 'colitas\nRising', 'up', 'through', 'the', 'air']","wind in my hair
Warm smell of colitas
Rising up through the air
Up ahead in the distance
I saw a shimmering light
My",tensor([[0.9694]]),12,"[tensor([[0.7748]]), tensor([[0.7943]]), tensor([[0.7982]]), tensor([[0.8478]]), tensor([[0.8939]]), tensor([[0.9030]]), tensor([[0.9108]]), tensor([[0.9618]]), tensor([[0.9629]]), tensor([[0.9607]]), tensor([[0.9679]]), tensor([[0.9694]])]",0,21
1025,gpt-3.5-turbo,Billie Jean by Michael Jackson,1,35,"She was more like a beauty queen from a movie scene
I said don't mind, but what do you mean, I am the one
Who will dance on the floor","['She', 'was', 'more', 'like', 'a', 'beauty', 'queen', 'from', 'a', 'movie', 'scene', '\n', 'I', 'said']","['""', 'do', ""n't"", 'stop', 'believin', ""'"", ',', 'hold', 'on', 'to', 'that', 'feeling', '.', '""']","['do', ""n't"", 'mind', ',', 'but', 'what', 'do', 'you', 'mean', ',', 'I', 'am', 'the', 'one']",0.9285714285714286,"['""don\'t', 'stop', ""believin',"", 'hold', 'on', 'to', 'that', 'feeling.""']","don't mind, but what do you mean, I am the one
Who will dance on the floor",tensor([[0.7986]]),9,"[tensor([[0.7726]]), tensor([[0.7729]]), tensor([[0.7791]]), tensor([[0.7953]]), tensor([[0.7787]]), tensor([[0.7901]]), tensor([[0.7935]]), tensor([[0.7932]]), tensor([[0.7986]])]",0,27
