,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1671,gpt-3.5-turbo,The Bedwetter ,1,27,"Like most children, I learned to swear from a parent. But most children learn to swear by mimicking moments when a parent loses self-","['Like', 'most', 'children', ',', 'I', 'learned']","['to', 'be', 'brave', 'from', 'the', 'brave', 'people', 'around', 'me', '.']","['to', 'swear', 'from', 'a', 'parent', '.', 'But', 'most', 'children', 'learn']",0.9,"['to', 'be', 'brave', 'from', 'the', 'brave', 'people', 'around', 'me.']",to swear from a parent. But most children learn to swear by mimicking moments when a parent loses self-,tensor([[0.8443]]),6,"[tensor([[0.7689]]), tensor([[0.7802]]), tensor([[0.8075]]), tensor([[0.8296]]), tensor([[0.8387]]), tensor([[0.8443]]), tensor([[0.8291]]), tensor([[0.8289]]), tensor([[0.8312]]), tensor([[0.8351]])]",0,15
1053,gpt-3.5-turbo,The Codex by Douglas Preston ,6,25,"corner of the winding drive and found his two brothers already waiting at the great iron gates of the Broadbent compound. Philip, irritated","['corner', 'of', 'the', 'winding', 'drive', 'and', 'found', 'his', 'two', 'brothers', 'already', 'waiting']","['for', 'him', ',', 'standing', 'in', 'the', 'shadow', 'of', 'the', 'old', 'oak', 'tree', '.']","['at', 'the', 'great', 'iron', 'gates', 'of', 'the', 'Broadbent', 'compound', '.', 'Philip', ',', 'irritated']",1.0,"['for', 'him,', 'standing', 'in', 'the', 'shadow', 'of', 'the', 'old', 'oak', 'tree.']","at the great iron gates of the Broadbent compound. Philip, irritated",tensor([[0.8079]]),11,"[tensor([[0.7622]]), tensor([[0.7758]]), tensor([[0.7956]]), tensor([[0.7837]]), tensor([[0.7829]]), tensor([[0.7959]]), tensor([[0.7769]]), tensor([[0.7934]]), tensor([[0.7963]]), tensor([[0.8034]]), tensor([[0.8079]]), tensor([[0.7747]])]",5,29
8,gpt-3.5-turbo,The Island by Elin Hilderbrand ,9,32,"This had happened without warning.  It was a summer house, a cottage, though it had been built well, with high-quality lumber and square-headed","['This', 'had', 'happened', 'without', 'warning', '.', ' ', 'It', 'was', 'a', 'summer', 'house', ',', 'a']","['place', 'of', 'joy', 'and', 'happiness', ',', 'now', 'reduced', 'to', 'ashes', 'and', 'memories', '.']","['cottage', ',', 'though', 'it', 'had', 'been', 'built', 'well', ',', 'with', 'high', '-', 'quality']",1.0,"['place', 'of', 'joy', 'and', 'happiness,', 'now', 'reduced', 'to', 'ashes', 'and', 'memories.']","cottage, though it had been built well, with high-quality lumber and square-headed",tensor([[0.8040]]),6,"[tensor([[0.7266]]), tensor([[0.7264]]), tensor([[0.7465]]), tensor([[0.7484]]), tensor([[0.7780]]), tensor([[0.8040]]), tensor([[0.7998]]), tensor([[0.7672]]), tensor([[0.7716]]), tensor([[0.7714]]), tensor([[0.7755]]), tensor([[0.7704]])]",8,34
729,gpt-3.5-turbo,Game of Thrones Prologue Excerpt ,9,26,urged as the woods began to grow dark around them.  “The wildlings are dead.” “Do the dead frighten you?,"['urged', 'as', 'the', 'woods', 'began', 'to', 'grow', 'dark', 'around', 'them', '.']","['The', 'only', 'way', 'to', 'do', 'great', 'work', 'is', 'to', 'love', 'what', 'you', 'do', '.']","[' ', '“', 'The', 'wildlings', 'are', 'dead', '.', '”', '“', 'Do', 'the', 'dead', 'frighten', 'you']",1.0,"['The', 'only', 'way', 'to', 'do', 'great', 'work', 'is', 'to', 'love', 'what', 'you', 'do.']", “The wildlings are dead.” “Do the dead frighten you?,tensor([[0.8059]]),2,"[tensor([[0.7945]]), tensor([[0.8059]]), tensor([[0.7843]]), tensor([[0.7554]]), tensor([[0.7671]]), tensor([[0.7652]]), tensor([[0.7719]]), tensor([[0.7782]]), tensor([[0.7800]]), tensor([[0.7834]]), tensor([[0.7772]]), tensor([[0.7853]]), tensor([[0.7816]]), tensor([[0.7686]])]",8,32
1568,gpt-3.5-turbo,The Cabin at the End of the World ,10,34,"wooden front stairs and lowers herself into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover flowers. She","['wooden', 'front', 'stairs', 'and', 'lowers']","['are', 'a', 'classic', 'and', 'timeless', 'addition', 'to', 'any', 'home', ',', 'adding', 'charm', 'and', 'character', 'to', 'the', 'entrance', '.']","['herself', 'into', 'the', 'yellowing', 'lagoon', 'of', 'ankle', '-', 'high', 'grass', '.', 'A', 'warm', 'breeze', 'ripples', 'through', 'the', 'blades']",1.0,"['are', 'a', 'classic', 'and', 'timeless', 'addition', 'to', 'any', 'home,', 'adding', 'charm', 'and', 'character', 'to', 'the', 'entrance.']","herself into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover flowers. She",tensor([[0.7679]]),3,"[tensor([[0.7612]]), tensor([[0.7612]]), tensor([[0.7679]]), tensor([[0.7378]]), tensor([[0.7389]]), tensor([[0.7263]]), tensor([[0.7337]]), tensor([[0.7361]]), tensor([[0.7351]]), tensor([[0.7372]]), tensor([[0.7373]]), tensor([[0.7467]]), tensor([[0.7494]]), tensor([[0.7447]]), tensor([[0.7455]]), tensor([[0.7484]]), tensor([[0.7482]])]",9,31
1615,gpt-3.5-turbo,The Bedwetter ,11,24,parent. But most children learn to swear by mimicking moments when a parent loses self-control. That is typically followed by,"['parent', '.', 'But', 'most', 'children', 'learn', 'to', 'swear', 'by', 'mimicking', 'moments', 'when']","['their', 'parents', 'lose', 'their', 'temper', ',', 'not', 'by', 'being', 'taught', 'the', 'words']","['a', 'parent', 'loses', 'self', '-', 'control', '.', 'That', 'is', 'typically', 'followed', 'by']",1.0,"['their', 'parents', 'lose', 'their', 'temper,', 'not', 'by', 'being', 'taught', 'the', 'words.']",a parent loses self-control. That is typically followed by,tensor([[0.8899]]),5,"[tensor([[0.7773]]), tensor([[0.8110]]), tensor([[0.8306]]), tensor([[0.8663]]), tensor([[0.8899]]), tensor([[0.8523]]), tensor([[0.8446]]), tensor([[0.8508]]), tensor([[0.8605]]), tensor([[0.8565]]), tensor([[0.8564]]), tensor([[0.8360]])]",10,33
1016,gpt-3.5-turbo,The Codex by Douglas Preston ,13,33,"his two brothers already waiting at the great iron gates of the Broadbent compound. Philip, irritated, was knocking the dottle out of his pipe on one of the gateposts while","['his', 'two', 'brothers', 'already', 'waiting', 'at', 'the', 'great', 'iron', 'gates', 'of', 'the', 'Broadbent']","['In', 'the', 'end', ',', 'it', ""'s"", 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count', '.', 'It', ""'s"", 'the', 'life', 'in']","['compound', '.', 'Philip', ',', 'irritated', ',', 'was', 'knocking', 'the', 'dottle', 'out', 'of', 'his', 'pipe', 'on', 'one', 'of', 'the', 'gateposts', 'while']",0.9,"['In', 'the', 'end,', ""it's"", 'not', 'the', 'years', 'in', 'your', 'life', 'that', 'count.', ""It's"", 'the', 'life', 'in', 'your', 'years.']","compound. Philip, irritated, was knocking the dottle out of his pipe on one of the gateposts while",tensor([[0.8102]]),3,"[tensor([[0.7665]]), tensor([[0.7840]]), tensor([[0.8102]]), tensor([[0.7855]]), tensor([[0.7782]]), tensor([[0.7665]]), tensor([[0.7723]]), tensor([[0.7611]]), tensor([[0.7638]]), tensor([[0.7704]]), tensor([[0.7581]]), tensor([[0.7549]]), tensor([[0.7536]]), tensor([[0.7648]]), tensor([[0.7711]]), tensor([[0.7647]]), tensor([[0.7713]]), tensor([[0.7736]]), tensor([[0.7636]])]",12,44
1744,gpt-3.5-turbo,The Bedwetter ,16,32,learn to swear by mimicking moments when a parent loses self-control. That is typically followed by the parent stressing that such words are bad and shouldn’t be repeated,"['learn', 'to', 'swear', 'by', 'mimicking', 'moments', 'when', 'a']","['person', 'is', 'angry', 'or', 'frustrated', ',', 'but', 'it', ""'s"", 'important', 'to', 'remember', 'that', 'using', 'profanity', 'is', 'not', 'a', 'productive', 'or', 'respectful', 'way', 'to', 'communicate']","['parent', 'loses', 'self', '-', 'control', '.', 'That', 'is', 'typically', 'followed', 'by', 'the', 'parent', 'stressing', 'that', 'such', 'words', 'are', 'bad', 'and', 'should', 'n’t', 'be', 'repeated']",1.0,"['person', 'is', 'angry', 'or', 'frustrated,', 'but', ""it's"", 'important', 'to', 'remember', 'that', 'using', 'profanity', 'is', 'not', 'a', 'productive', 'or', 'respectful', 'way', 'to', 'communicate.']",parent loses self-control. That is typically followed by the parent stressing that such words are bad and shouldn’t be repeated,tensor([[0.8595]]),21,"[tensor([[0.7765]]), tensor([[0.7239]]), tensor([[0.7688]]), tensor([[0.8152]]), tensor([[0.8342]]), tensor([[0.8335]]), tensor([[0.8318]]), tensor([[0.8316]]), tensor([[0.8351]]), tensor([[0.8372]]), tensor([[0.8371]]), tensor([[0.8371]]), tensor([[0.8381]]), tensor([[0.8542]]), tensor([[0.8476]]), tensor([[0.8418]]), tensor([[0.8380]]), tensor([[0.8568]]), tensor([[0.8530]]), tensor([[0.8588]]), tensor([[0.8595]]), tensor([[0.8591]]), tensor([[0.8587]])]",15,46
1425,gpt-3.5-turbo,The Cabin at the End of the World ,16,22,"into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike","['into', 'the', 'yellowing', 'lagoon', 'of', 'ankle', '-', 'high', 'grass']","[',', 'the', 'sun', 'sets', 'on', 'another', 'day', 'of', 'endless', 'possibilities', '.']","['.', 'A', 'warm', 'breeze', 'ripples', 'through', 'the', 'blades', ',', 'leaves', ',']",1.0,"[',', 'the', 'sun', 'sets', 'on', 'another', 'day', 'of', 'endless', 'possibilities.']",". A warm breeze ripples through the blades, leaves, and crablike",tensor([[0.8367]]),4,"[tensor([[0.7697]]), tensor([[0.8061]]), tensor([[0.8164]]), tensor([[0.8367]]), tensor([[0.8354]]), tensor([[0.8327]]), tensor([[0.8215]]), tensor([[0.8153]]), tensor([[0.8200]]), tensor([[0.8188]]), tensor([[0.8234]])]",15,34
127,gpt-3.5-turbo,The Island by Elin Hilderbrand ,18,25,"a summer house, a cottage, though it had been built well, with high-quality lumber and square-headed steel nails","['a', 'summer', 'house', ',', 'a', 'cottage']","['is', 'a', 'dream', ',', 'a', 'goal', ',', 'a', 'destination', '.']","[',', 'though', 'it', 'had', 'been', 'built', 'well', ',', 'with', 'high']",1.0,"['is', 'a', 'dream,', 'a', 'goal,', 'a', 'destination.']",", though it had been built well, with high-quality lumber and square-headed steel nails",tensor([[0.7825]]),8,"[tensor([[0.7363]]), tensor([[0.7581]]), tensor([[0.7709]]), tensor([[0.7642]]), tensor([[0.7460]]), tensor([[0.7644]]), tensor([[0.7577]]), tensor([[0.7825]])]",17,32
