,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
1585,gpt-3.5-turbo,London Calling by The Clash,1,39,"London calling to the faraway towns
Now war is declared and battle come down
London calling to the underworld
Come out of the cupboard, you boys and girls
London calling, now don't","['London', 'calling', 'to', 'the', 'faraway', 'towns', '\n', 'Now', 'war', 'is', 'declared', 'and', 'battle', 'come', 'down', '\n', 'London', 'calling', 'to']","['the', 'underworld', 'come', 'out', 'of', 'the', 'cupboard']","['the', 'underworld', '\n', 'Come', 'out', 'of', 'the']",0.4285714285714285,0,25
1916,gpt-3.5-turbo,Hey Jude by the Beatles,1,31,"Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her into your heart,
Then you","['Hey', 'Jude', ',', 'do', ""n't"", 'make', 'it']","['bad', '.', 'Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better', '.']","['bad', '.', '\n', 'Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better']",0.1818181818181818,0,17
27,gpt-3.5-turbo,Bohemian Rhapsody by Queen,1,35,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I","['Is', 'this', 'the', 'real', 'life', '?', 'Is']","['this', 'just', 'fantasy', '?']","['this', 'just', 'fantasy', '?']",0.0,0,10
1107,gpt-3.5-turbo,Billie Jean by Michael Jackson,1,30,"She was more like a beauty queen from a movie scene
I said don't mind, but what do you mean, I am the one
Who","['She', 'was', 'more', 'like', 'a', 'beauty', 'queen', 'from', 'a', 'movie']","['scene', '\n']","['scene', '\n']",0.0,0,11
1734,gpt-3.5-turbo,London Calling by The Clash,1,29,"London calling to the faraway towns
Now war is declared and battle come down
London calling to the underworld
Come out of the cupboard, you","['London', 'calling', 'to', 'the', 'faraway', 'towns', '\n', 'Now', 'war']","['is', 'declared', ',', 'and', 'battle', 'come', 'down']","['is', 'declared', 'and', 'battle', 'come', 'down', '\n']",0.2857142857142857,0,15
2591,gpt-3.5-turbo,God Save the Queen by the Sex Pistols,2,27,"save the queen
The fascist regime
They made you a moron
A potential H bomb
God save the queen
She's not","['save', 'the', 'queen', '\n', 'The', 'fascist', 'regime', '\n', 'They']","['made', 'you', 'a', 'moron', '\n', 'Potential', 'H', '-', 'bomb']","['made', 'you', 'a', 'moron', '\n', 'A', 'potential', 'H', 'bomb']",0.3333333333333333,1,18
2839,gpt-3.5-turbo,One by U2,2,37,"it getting better
Or do you feel the same?
Will it make it easier on you now
You got someone to blame?
You say, one love, one life
","['it', 'getting', 'better', '\n', 'Or', 'do', 'you', 'feel', 'the', 'same', '?', '\n', 'Will', 'it', 'make', 'it']","['any', 'easier', 'on', 'you', 'now', '\n', 'You', 'got', 'someone', 'to', 'blame']","['easier', 'on', 'you', 'now', '\n', 'You', 'got', 'someone', 'to', 'blame', '?']",0.1818181818181818,1,27
2195,gpt-3.5-turbo,Your Song by Elton John,2,26,"'s a little bit funny
This feelin' inside
I'm not one of those who can easily hide
I don't have","[""'s"", 'a', 'little', 'bit', 'funny', '\n', 'This', 'feelin', ""'"", 'inside', '\n', 'I']","['do', ""n't"", 'have', 'much', 'money', '\n', 'But', 'boy', ',', 'if', 'I', 'did', '\n', 'I']","[""'m"", 'not', 'one', 'of', 'those', 'who', 'can', 'easily', 'hide', '\n', 'I', 'do', ""n't"", 'have']",0.9285714285714286,1,26
505,gpt-3.5-turbo,Waterloo Sunset by The Kinks,2,35,"old river, must you keep rolling
Flowing into the night?
People so busy, make me feel dizzy
Taxi light shines so bright
But I don't need no","['old', 'river', ',', 'must', 'you', 'keep', 'rolling']","['old', 'river', ',', 'must', 'you', 'keep', 'rolling', '\n', 'Flowing', 'into', 'the', 'night']","['\n', 'Flowing', 'into', 'the', 'night', '?', '\n', 'People', 'so', 'busy', ',', 'make']",1.0,1,19
1973,gpt-3.5-turbo,Hey Jude by the Beatles,2,21,"Jude, don't make it bad.
Take a sad song and make it better.
Remember to","['Jude', ',', 'do', ""n't"", 'make', 'it', 'bad', '.']","['Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better', '.']","['\n', 'Take', 'a', 'sad', 'song', 'and', 'make', 'it', 'better']",0.2222222222222222,1,17
