,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
781,gpt-3.5-turbo,King Henry V ,6,20,", I'll tell you: that self bill is urg'd
Which in th' eleventh year of the","[',', 'I', ""'ll"", 'tell', 'you', ':', 'that']","['he', 'which', 'hath', 'no', 'stomach', 'to', 'this', 'fight', ',', '\n', 'Let', 'him', 'depart']","['self', 'bill', 'is', ""urg'd"", '\n', 'Which', 'in', 'th', ""'"", 'eleventh', 'year', 'of', 'the']",1.0,5,24
906,gpt-3.5-turbo,King Lear,6,39,"the King had more affected the Duke of Albany than Cornwall.
GLOUCESTER.
It did always seem so to us; but now, in the division of the kingdom,
it appears not which","['the', 'King', 'had', 'more', 'affected', 'the', 'Duke', 'of', 'Albany', 'than', 'Cornwall', '.', '\n', 'GLOUCESTER', '.', '\n', 'It', 'did', 'always']","['It', 'did', 'always', 'seem', 'so', 'to', 'us', ',', 'but', 'now', 'I', 'see', 'it', 'plainly', '.']","['seem', 'so', 'to', 'us', ';', 'but', 'now', ',', 'in', 'the', 'division', 'of', 'the', 'kingdom', ',']",0.8,5,38
266,gpt-3.5-turbo,All's Well That Ends Well,7,23,"son from me, I bury a second husband.
BERTRAM.
And I in going, madam, weep o’er","['son', 'from', 'me', ',', 'I', 'bury', 'a', 'second', 'husband', '.', '\n']","['""', 'Son', 'from', 'me', ',', 'heaven', ""'s"", 'blessings', 'attend', 'thee', '!', '""']","['BERTRAM', '.', '\n', 'And', 'I', 'in', 'going', ',', 'madam', ',', 'weep', 'o’er']",1.0,6,28
1278,gpt-3.5-turbo,A Midsummer Night's Dream,7,28,"Hippolyta, our nuptial hour
Draws on apace; four happy days bring in
Another moon; but oh, methinks, how slow
This","['Hippolyta', ',', 'our', 'nuptial', 'hour', '\n', 'Draws', 'on', 'apace', ';']","['Four', 'happy', 'days', 'bring', 'in', '\n', 'Another', 'moon', ':', 'but', ',', 'O', ',', 'methinks', ',', 'how', 'slow', '\n']","['four', 'happy', 'days', 'bring', 'in', '\n', 'Another', 'moon', ';', 'but', 'oh', ',', 'methinks', ',', 'how', 'slow', '\n', 'This']",0.2777777777777778,6,33
1438,gpt-3.5-turbo,Antony and Cleopatra,7,31,"this dotage of our general's
O'erflows the measure. Those his goodly eyes,
That o'er the files and musters of the war
Have glow'd like plated","['this', 'dotage', 'of', 'our', 'general', ""'s"", '\n', ""O'erflows"", 'the', 'measure']","['of', 'our', 'treasure', '.']","['.', 'Those', 'his', 'goodly']",1.0,6,19
1636,gpt-3.5-turbo,Macbeth,19,38,"in rain?
SECOND WITCH.
When the hurlyburly’s done,
When the battle’s lost and won.
THIRD WITCH.
That will be ere the set of sun.
","['in', 'rain', '?', '\n', 'SECOND', 'WITCH', '.']","['When', 'shall', 'we', 'three', 'meet', 'again', '\n', 'In', 'thunder', ',', 'lightning', ',', 'or', 'in', 'rain', '?']","['\n', 'When', 'the', 'hurlyburly', '’s', 'done', ',', '\n', 'When', 'the', 'battle', '’s', 'lost', 'and', 'won', '.']",0.9375,18,40
294,gpt-3.5-turbo,All's Well That Ends Well,20,34,"
And I in going, madam, weep o’er my father’s death anew; but I must
attend his majesty’s command, to whom I am now in ward,","['\n', 'And', 'I', 'in', 'going', ',', 'madam', ',', 'weep', 'o’er', 'my']","['father', ""'s"", 'death', 'anew', ',', 'but', 'I', 'must', 'attend', 'his', 'funeral', '.']","['father', '’s', 'death', 'anew', ';', 'but', 'I', 'must', '\n', 'attend', 'his', 'majesty']",0.4166666666666667,19,41
505,gpt-3.5-turbo,Othello,24,38,"my purse
As if the strings were thine, shouldst know of this.
IAGO. 
'Sblood, but you will not hear me.
If ever I did dream of such a","['my', 'purse', '\n', 'As', 'if', 'the', 'strings', 'were', 'thine', ',', 'shouldst', 'know']","['my', 'purse', '\n', 'As', 'if', 'the', 'strings', 'were', 'thine', ',', 'shouldst', 'know', 'my', 'heart']","['of', 'this', '.', '\n', 'IAGO', '.', '\n', ""'"", 'Sblood', ',', 'but', 'you', 'will', 'not']",0.9285714285714286,23,48
790,gpt-3.5-turbo,King Henry V ,26,36,"last king's reign
Was like, and had indeed against us pass'd
But that the scambling and unquiet time
Did push it out of farther question.
ELY. 
But","['last', 'king', ""'s"", 'reign', '\n', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", '\n', 'But', 'that']","['we', ',', 'with', 'God', ""'s"", 'grace', 'and', 'the', 'valor', 'of', 'our', 'soldiers', ',', 'stood', 'strong', 'and', 'prevailed', '.']","['the', 'scambling', 'and', 'unquiet', 'time', '\n', 'Did', 'push', 'it', 'out', 'of', 'farther', 'question', '.', '\n', 'ELY', '.', '\n']",1.0,25,59
627,gpt-3.5-turbo,King Henry V ,28,31,"'s reign
Was like, and had indeed against us pass'd
But that the scambling and unquiet time
Did push it out of farther question.
ELY","[""'s"", 'reign', '\n', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd""]","['Into', 'the', 'very', 'May', '-', 'morn', 'of', 'his', 'days', ',', '\n', 'Before', 'young', 'Talbot', 'from', 'old', 'Talbot', 'parted', ',']","['\n', 'But', 'that', 'the', 'scambling', 'and', 'unquiet', 'time', '\n', 'Did', 'push', 'it', 'out', 'of', 'farther', 'question', '.', '\n', 'ELY']",1.0,27,57
789,gpt-3.5-turbo,King Henry V ,31,24,"Was like, and had indeed against us pass'd
But that the scambling and unquiet time
Did push it out of farther","['Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", '\n', 'But', 'that']","['we', ',', 'with', 'unwearied', 'spirits', ',', 'fought', 'so', 'long']","['the', 'scambling', 'and', 'unquiet', 'time', '\n', 'Did', 'push', 'it']",1.0,30,50
783,gpt-3.5-turbo,King Henry V ,31,40,"Was like, and had indeed against us pass'd
But that the scambling and unquiet time
Did push it out of farther question.
ELY. 
But how, my lord, shall we resist it","['Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", '\n', 'But', 'that', 'the', 'scambling', 'and', 'unquiet', 'time', '\n']","['Did', 'push', 'it', 'out', 'of', 'further', 'question', '.']","['Did', 'push', 'it', 'out', 'of', 'farther', 'question', '.']",0.125,30,55
1453,gpt-3.5-turbo,Antony and Cleopatra,31,28,"the war
Have glow'd like plated Mars, now bend, now turn,
The office and devotion of their view
Upon a tawny front","['the', 'war', '\n', 'Have', ""glow'd"", 'like', 'plated', 'Mars', ',', 'now']","['bids', 'me', 'to', 'rest']","['bend', ',', 'now', 'turn']",1.0,30,43
