,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
706,gpt-3.5-turbo,Covenant of Water ,1,28,"She is twelve years old, and she will be married in the morning. Mother and daughter lie on the mat, their wet cheeks glued together","['She', 'is', 'twelve', 'years', 'old', ',']","['but', 'her', 'eyes', 'hold', 'the', 'wisdom', 'of', 'a', 'thousand', 'lifetimes', '.']","['and', 'she', 'will', 'be', 'married', 'in', 'the', 'morning', '.', 'Mother', 'and']",1.0,0,16
1697,gpt-3.5-turbo,Bright Lights Big Christmas ,2,36,"Clare Tolliver couldn’t remember a time when the smell of a Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree, in this particular patch","['Clare', 'Tolliver', 'could', 'n’t', 'remember', 'a', 'time']","['when', 'she', 'had', 'been', 'so', 'excited', 'for', 'Christmas', '.']","['when', 'the', 'smell', 'of', 'a', 'Fraser', 'fir', 'tree', 'did']",0.8888888888888888,1,16
1671,gpt-3.5-turbo,Bright Lights Big Christmas ,6,31,"remember a time when the smell of a Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree, in this particular","['remember', 'a', 'time', 'when', 'the', 'smell', 'of', 'a', 'Fraser']","['fir', 'filled', 'the', 'air', 'and', 'the', 'twinkle', 'of', 'lights', 'danced', 'on', 'every', 'branch', '.']","['fir', 'tree', 'did', 'n’t', 'make', 'her', 'smile', '.', 'Tollivers', 'had', 'been', 'growing', 'this', 'particular']",0.9285714285714286,5,27
434,gpt-3.5-turbo,Five Star Weekend ,8,34,"us and, as usual, we have a lot to talk about. Chef Mario Subiaco proposed to Lizbet Keaton on the widow’s walk of the Hotel Nantucket; there’s a","['us', 'and', ',', 'as', 'usual', ',', 'we', 'have', 'a']","['blast', '!', '""']","['lot', 'to', 'talk']",1.0,7,18
1446,gpt-3.5-turbo,The Fraud by Zadie Smith ,9,37,"He might be scrubbed of all that dirt, eventually - but not of so many orange freckles. No more than fourteen, with skinny, unstable legs like a marionette, he kept pitching forward","['He', 'might', 'be', 'scrubbed', 'of', 'all', 'that', 'dirt', ',', 'eventually', '-', 'but', 'not', 'of', 'so', 'many', 'orange', 'freckles']","['that', 'marked', 'his', 'soul', '.']","['.', 'No', 'more', 'than', 'fourteen']",1.0,8,30
688,gpt-3.5-turbo,Covenant of Water ,10,27,"be married in the morning. Mother and daughter lie on the mat, their wet cheeks glued together.  “The saddest day of a","['be', 'married', 'in', 'the', 'morning', '.', 'Mother', 'and', 'daughter', 'lie', 'on', 'the', 'mat']","['be', 'married', 'in', 'the', 'morning', '.', 'Mother', 'and', 'daughter', 'lie', 'on', 'the', 'mat', ',']","[',', 'their', 'wet', 'cheeks', 'glued', 'together', '.', ' ', '“', 'The', 'saddest', 'day', 'of', 'a']",1.0,9,35
429,gpt-3.5-turbo,Five Star Weekend ,10,21,", as usual, we have a lot to talk about. Chef Mario Subiaco proposed to Lizbet Keaton on the","[',', 'as', 'usual', ',', 'we', 'have', 'a', 'lot']","['of', 'work', 'to', 'do', ',', 'but', 'let', ""'s"", 'not', 'forget', 'to', 'make', 'time']","['to', 'talk', 'about', '.', 'Chef', 'Mario', 'Subiaco', 'proposed', 'to', 'Lizbet', 'Keaton', 'on', 'the']",1.0,9,29
73,gpt-3.5-turbo,Demon Copperhead by Barbara Kingsolver ,11,39,"was on hand to watch, and they’ve always given me that much: the worst of the job was up to me, my mother being let’s just say out of it.  On any","['was', 'on', 'hand', 'to', 'watch']","['the', 'world', 'unravel', 'and', 'stitch', 'itself', 'back', 'together', 'again', '.', '""']","[',', 'and', 'they', '’ve', 'always', 'given', 'me', 'that', 'much', ':', 'the']",1.0,10,25
797,gpt-3.5-turbo,Covenant of Water ,12,38,"in the morning. Mother and daughter lie on the mat, their wet cheeks glued together.  “The saddest day of a girl’s life is the day of her wedding,” her mother","['in', 'the', 'morning', '.', 'Mother', 'and', 'daughter', 'lie', 'on']","['the', 'grass', ',', 'gazing', 'up', 'at', 'the', 'sky', ',', 'their', 'hearts', 'intertwined', 'with', 'the', 'beauty', 'of', 'nature', '.', '""']","['the', 'mat', ',', 'their', 'wet', 'cheeks', 'glued', 'together', '.', ' ', '“', 'The', 'saddest', 'day', 'of', 'a', 'girl', '’s', 'life']",0.8947368421052632,11,38
943,gpt-3.5-turbo,Things We Left Behind ,12,31,to push off against the porch floorboards. The chilly fingers of January slipped their way under the blanket and through the layers of my clothes. But the joke was,"['to', 'push', 'off', 'against', 'the', 'porch', 'floorboards', '.', 'The', 'chilly', 'fingers', 'of', 'January', 'slipped', 'their']","['way', 'through', 'the', 'cracks', ',', 'reminding', 'us', 'that', 'even', 'in', 'the', 'coldest', 'of', 'times', ',', 'warmth']","['way', 'under', 'the', 'blanket', 'and', 'through', 'the', 'layers', 'of', 'my', 'clothes', '.', 'But', 'the', 'joke', 'was']",0.875,11,41
33,gpt-3.5-turbo,Demon Copperhead by Barbara Kingsolver ,13,39,"hand to watch, and they’ve always given me that much: the worst of the job was up to me, my mother being let’s just say out of it.  On any other day","['hand', 'to', 'watch', ',', 'and', 'they', '’ve']","['hand', 'to', 'watch', ',', 'and', 'they', '’ve', 'got', 'a', 'heart', 'to', 'break', '.']","['always', 'given', 'me', 'that', 'much', ':', 'the', 'worst', 'of', 'the', 'job', 'was', 'up']",1.0,12,31
565,gpt-3.5-turbo,Five Star Weekend ,14,31,we have a lot to talk about. Chef Mario Subiaco proposed to Lizbet Keaton on the widow’s walk of the Hotel Nantucket; there’s a camera crew filming,"['we', 'have', 'a', 'lot', 'to', 'talk', 'about']","['""', 'we', 'have', 'a', 'lot', 'to', 'talk', 'about', ',', 'but', 'sometimes', 'the', 'most', 'important', 'conversations', 'are', 'the', 'ones', 'we', 'have', 'with', 'ourselves', '.', '""']","['.', 'Chef', 'Mario', 'Subiaco', 'proposed', 'to', 'Lizbet', 'Keaton', 'on', 'the', 'widow', '’s', 'walk', 'of', 'the', 'Hotel', 'Nantucket', ';', 'there', '’s', 'a', 'camera', 'crew', 'filming']",0.9583333333333334,13,43
1763,gpt-3.5-turbo,Bright Lights Big Christmas ,14,31,"Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree, in this particular patch of farmland in the mountains of western","['Fraser', 'fir', 'tree', 'did', 'n’t', 'make', 'her', 'smile', '.', 'Tollivers', 'had', 'been', 'growing', 'this']","['tree', 'for', 'years', ',', 'and', 'it', 'was', 'the', 'best', 'one', 'they', '’d', 'ever', 'had', '.']","['particular', 'variety', 'of', 'Christmas', 'tree', ',', 'in', 'this', 'particular', 'patch', 'of', 'farmland', 'in', 'the', 'mountains']",1.0,13,41
122,gpt-3.5-turbo,Demon Copperhead by Barbara Kingsolver ,14,27,"to watch, and they’ve always given me that much: the worst of the job was up to me, my mother being let’s","['to', 'watch', ',', 'and', 'they', '’ve', 'always', 'given', 'me', 'that', 'much', ':']","['a', 'sense', 'of', 'wonder', 'and', 'awe', '.']","['the', 'worst', 'of', 'the', 'job', 'was', 'up']",0.8571428571428571,13,31
760,gpt-3.5-turbo,Covenant of Water ,15,36,". Mother and daughter lie on the mat, their wet cheeks glued together.  “The saddest day of a girl’s life is the day of her wedding,” her mother says","['.', 'Mother', 'and', 'daughter', 'lie', 'on', 'the', 'mat', ',', 'their']","['hearts', 'intertwined', 'in', 'a', 'dance', 'of', 'love', 'and', 'understanding', '.']","['wet', 'cheeks', 'glued', 'together', '.', ' ', '“', 'The', 'saddest', 'day']",1.0,14,33
