,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
883,gpt-3.5-turbo,Ararat,2,22," past eight o’clock on the last morning of November, the mountain began to shake.  Feyiz froze","[' past', ' eight', ' o', '’', 'clock', ' on', ' the', ' last', ' morning', ' of']","['the', ' year', ',', ' and', ' I', ' was', ' alone', ' in', ' my', ' office', ',', ' when']","[' November', ',', ' the', ' mountain', ' began', ' to', ' shake', '.', ' ', ' Fey', 'iz', ' froze']",1.0,"the year, and I was alone in my office, when a telegraph operator brought me a message."," November, the mountain began to shake.  Feyiz froze",tensor([[0.7960]]),2,"[tensor([[0.7380]]), tensor([[0.7960]]), tensor([[0.7907]]), tensor([[0.7863]]), tensor([[0.7760]]), tensor([[0.7716]]), tensor([[0.7745]]), tensor([[0.7772]]), tensor([[0.7815]]), tensor([[0.7488]]), tensor([[0.7646]]), tensor([[0.7553]]), tensor([[0.7575]]), tensor([[0.7534]]), tensor([[0.7546]]), tensor([[0.7553]]), tensor([[0.7502]]), tensor([[0.7417]])]",1,22
499,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,3,22," was little, the great mystery to me wasn't how babies were made, but why. The mechanics I understood","[' was', ' little', ',', ' the', ' great', ' mystery', ' to', ' me', ' wasn']","[""'t"", ' how', ' I', ' could', ' be', ' expected', ' to', ' feel', ' anything', ' at', ' all', '.']","[""'t"", ' how', ' babies', ' were', ' made', ',', ' but', ' why', '.', ' The', ' mechanics', ' I']",0.8333333333333334,'t how I could be expected to feel anything at all.,"'t how babies were made, but why. The mechanics I understood",tensor([[0.8554]]),4,"[tensor([[0.7660]]), tensor([[0.8118]]), tensor([[0.8463]]), tensor([[0.8554]]), tensor([[0.8216]]), tensor([[0.8260]]), tensor([[0.8297]]), tensor([[0.8384]]), tensor([[0.8333]]), tensor([[0.8384]]), tensor([[0.8404]]), tensor([[0.8146]])]",2,22
588,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,5,27,", the great mystery to me wasn't how babies were made, but why. The mechanics I understood—my older brother Jesse had filled","[',', ' the', ' great', ' mystery', ' to', ' me', ' wasn', ""'t"", ' how', ' babies', ' were', ' made', ',']","['but', ' why', '.']","[' but', ' why', '.']",0.3333333333333333,but why., but why. The mechanics I understood—my older brother Jesse had filled,tensor([[0.8373]]),3,"[tensor([[0.7484]]), tensor([[0.8038]]), tensor([[0.8373]])]",4,19
26,gpt-3.5-turbo,The Island by Elin Hilderbrand ,6,27," thirteen years. This had happened without warning.  It was a summer house, a cottage, though it had been built well, with","[' thirteen', ' years', '.', ' This', ' had', ' happened', ' without', ' warning', '.']","['The', ' only', ' way', ' to', ' do', ' great', ' work', ' is', ' to', ' love', ' what', ' you', ' do', '.']","[' ', ' It', ' was', ' a', ' summer', ' house', ',', ' a', ' cottage', ',', ' though', ' it', ' had', ' been']",1.0,The only way to do great work is to love what you do.,"  It was a summer house, a cottage, though it had been built well, with",tensor([[0.7630]]),12,"[tensor([[0.7331]]), tensor([[0.7628]]), tensor([[0.7448]]), tensor([[0.7333]]), tensor([[0.7315]]), tensor([[0.7281]]), tensor([[0.7439]]), tensor([[0.7478]]), tensor([[0.7555]]), tensor([[0.7531]]), tensor([[0.7539]]), tensor([[0.7630]]), tensor([[0.7527]]), tensor([[0.7438]])]",5,27
1494,gpt-3.5-turbo,The Cabin at the End of the World ,10,35," wooden front stairs and lowers herself into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover","[' wooden', ' front', ' stairs', ' and', ' lowers', ' herself', ' into', ' the', ' yellow', 'ing', ' l', 'agoon', ' of', ' ankle', '-high']","['water', ',', ' her', ' fingers', ' trailing', ' through', ' the', ' cool', 'ness', ' as', ' she', ' sigh', 's', ' with', ' content', 'ment', '.']","[' grass', '.', ' A', ' warm', ' breeze', ' r', 'ipples', ' through', ' the', ' blades', ',', ' leaves', ',', ' and', ' crab', 'like', ' petals']",1.0,"water, her fingers trailing through the coolness as she sighs with contentment."," grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover",tensor([[0.8428]]),8,"[tensor([[0.7694]]), tensor([[0.8025]]), tensor([[0.7810]]), tensor([[0.7906]]), tensor([[0.8086]]), tensor([[0.8090]]), tensor([[0.8108]]), tensor([[0.8428]]), tensor([[0.8420]]), tensor([[0.8415]]), tensor([[0.8289]]), tensor([[0.8316]]), tensor([[0.8363]])]",9,40
430,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,12,21,"'t how babies were made, but why. The mechanics I understood—my older brother Jesse had filled me","[""'t"", ' how', ' babies', ' were', ' made', ',', ' but']","['it', ""'s"", ' how', ' they', ' are', ' loved', ' that', ' truly', ' matters', '.']","[' why', '.', ' The', ' mechanics', ' I', ' understood', '—', 'my', ' older', ' brother']",1.0,it's how they are loved that truly matters., why. The mechanics I understood—my older brother Jesse had filled me,tensor([[0.8003]]),3,"[tensor([[0.7659]]), tensor([[0.7770]]), tensor([[0.8003]]), tensor([[0.7929]]), tensor([[0.7860]]), tensor([[0.7924]]), tensor([[0.7831]]), tensor([[0.7831]]), tensor([[0.7808]])]",11,27
452,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,12,38,"'t how babies were made, but why. The mechanics I understood—my older brother Jesse had filled me in—although at the time I was sure he'd heard half of it wrong.","[""'t"", ' how', ' babies', ' were', ' made', ',', ' but', ' why', '.', ' The', ' mechanics', ' I', ' understood', '—', 'my', ' older', ' brother', ' Jesse', ' had']","['ta', 'ught', ' me', ',', ' years', ' before', ',', ' how', ' to', ' put', ' a', ' condom', ' on', ' a', ' banana', '.', ' But', ' the', ' why']","[' filled', ' me', ' in', '—', 'although', ' at', ' the', ' time', ' I', ' was', ' sure', ' he', ""'d"", ' heard', ' half', ' of', ' it', ' wrong', '.']",1.0,"taught me, years before, how to put a condom on a banana. But the why of it, the emotional machinery that made babies happen, was a mystery to me.", filled me in—although at the time I was sure he'd heard half of it wrong.,tensor([[0.8374]]),5,"[tensor([[0.7232]]), tensor([[0.7473]]), tensor([[0.8325]]), tensor([[0.8129]]), tensor([[0.8374]]), tensor([[0.8115]]), tensor([[0.8253]]), tensor([[0.8304]]), tensor([[0.8363]]), tensor([[0.8082]]), tensor([[0.8029]]), tensor([[0.8158]]), tensor([[0.7986]]), tensor([[0.8207]]), tensor([[0.8180]]), tensor([[0.7898]]), tensor([[0.7935]]), tensor([[0.7950]]), tensor([[0.7996]]), tensor([[0.7972]]), tensor([[0.7953]]), tensor([[0.8055]]), tensor([[0.8003]]), tensor([[0.7824]]), tensor([[0.7851]]), tensor([[0.7874]]), tensor([[0.7956]]), tensor([[0.7905]]), tensor([[0.7903]]), tensor([[0.8017]])]",11,48
745,gpt-3.5-turbo,Game of Thrones Prologue Excerpt ,15,37, dark around them.  “The wildlings are dead.” “Do the dead frighten you?” Ser Waymar Royce asked with just the hint of a smile.  Gared,"[' dark', ' around', ' them', '.', ' ', ' “', 'The', ' wild', 'lings', ' are', ' dead', '.”']","['That', ' is', ' the', ' question', ':', ' Whether', "" '"", 't', 'is', ' nob', 'ler', ' in', ' the', ' mind', ' to', ' suffer', ' The', ' sl', 'ings', ' and', ' arrows', ' of', ' outrageous', ' fortune', ',']","[' “', 'Do', ' the', ' dead', ' fright', 'en', ' you', '?”', ' Ser', ' Way', 'mar', ' Roy', 'ce', ' asked', ' with', ' just', ' the', ' hint', ' of', ' a', ' smile', '.', ' ', ' G', 'ared']",0.96,"That is the question: Whether 'tis nobler in the mind to suffer The slings and arrows of outrageous fortune, Or to take arms against a sea of troubles, And by opposing end them?", “Do the dead frighten you?” Ser Waymar Royce asked with just the hint of a smile.  Gared,tensor([[0.7921]]),8,"[tensor([[0.7500]]), tensor([[0.7621]]), tensor([[0.7615]]), tensor([[0.7543]]), tensor([[0.7589]]), tensor([[0.7703]]), tensor([[0.7753]]), tensor([[0.7921]]), tensor([[0.7901]]), tensor([[0.7915]]), tensor([[0.7863]]), tensor([[0.7838]]), tensor([[0.7854]]), tensor([[0.7893]]), tensor([[0.7761]]), tensor([[0.7800]]), tensor([[0.7842]]), tensor([[0.7850]]), tensor([[0.7850]]), tensor([[0.7823]]), tensor([[0.7839]]), tensor([[0.7831]]), tensor([[0.7842]]), tensor([[0.7882]]), tensor([[0.7857]]), tensor([[0.7872]]), tensor([[0.7916]]), tensor([[0.7908]]), tensor([[0.7887]]), tensor([[0.7882]]), tensor([[0.7898]]), tensor([[0.7890]]), tensor([[0.7901]]), tensor([[0.7879]])]",14,50
1548,gpt-3.5-turbo,The Cabin at the End of the World ,17,27," the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clo","[' the', ' yellow', 'ing', ' l', 'agoon', ' of', ' ankle', '-high', ' grass', '.', ' A', ' warm', ' breeze']","['rust', 'led', ' the', ' leaves', ',', ' carrying', ' with', ' it', ' the', ' sweet', ' scent', ' of', ' blo', 'oming']","[' r', 'ipples', ' through', ' the', ' blades', ',', ' leaves', ',', ' and', ' crab', 'like', ' petals', ' of', ' clo']",0.8571428571428571,"rustled the leaves, carrying with it the sweet scent of blooming flowers."," ripples through the blades, leaves, and crablike petals of clo",tensor([[0.8580]]),12,"[tensor([[0.7730]]), tensor([[0.7691]]), tensor([[0.7845]]), tensor([[0.8082]]), tensor([[0.8221]]), tensor([[0.8254]]), tensor([[0.8223]]), tensor([[0.8289]]), tensor([[0.8271]]), tensor([[0.8399]]), tensor([[0.8397]]), tensor([[0.8580]]), tensor([[0.8560]])]",16,42
1999,gpt-3.5-turbo,The Firm ,20,34," Y. McDeere, at least not on paper. He had the brains, the ambition, the good looks. And he was hungry; with his background, he","[' Y', '.', ' Mc', 'De', 'ere', ',', ' at', ' least', ' not', ' on', ' paper', '.', ' He', ' had', ' the', ' brains']","['and', ' the', ' talent', ',', ' but', ' he', ' also', ' had', ' the', ' ambition', ' and', ' the', ' drive', ' to', ' succeed', '.']","[',', ' the', ' ambition', ',', ' the', ' good', ' looks', '.', ' And', ' he', ' was', ' hungry', ';', ' with', ' his', ' background']",0.875,"and the talent, but he also had the ambition and the drive to succeed.",", the ambition, the good looks. And he was hungry; with his background, he",tensor([[0.9170]]),12,"[tensor([[0.7564]]), tensor([[0.7966]]), tensor([[0.7839]]), tensor([[0.8310]]), tensor([[0.8299]]), tensor([[0.8410]]), tensor([[0.8611]]), tensor([[0.8817]]), tensor([[0.8847]]), tensor([[0.9166]]), tensor([[0.9159]]), tensor([[0.9170]]), tensor([[0.9100]]), tensor([[0.9115]]), tensor([[0.9038]])]",19,50
