,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
283,gpt-3.5-turbo,The Corrections by Jonathan Franzen ,1,26,The madness of an autumn prairie cold front coming through. You could feel it: something terrible was going to happen. The sun low,"['The', 'madness', 'of', 'an', 'autumn', 'prairie', 'cold', 'front', 'coming', 'through', '.', 'You', 'could']","['feel', 'it', ':', 'something', 'terrible', 'was', 'going', 'to', 'happen', '.', 'The', 'sun', 'low']","['feel', 'it', ':', 'something', 'terrible', 'was', 'going', 'to', 'happen', '.', 'The', 'sun', 'low']",0.0,0,25
1848,gpt-3.5-turbo,The Firm ,1,20,The senior partner studied the resume for the hundredth time and again found nothing he disliked about Mitchell Y. McDeere,"['The', 'senior', 'partner', 'studied', 'the', 'resume', 'for']","['a', 'moment', ',', 'then', 'looked', 'up', 'at', 'the', 'young', 'lawyer', 'and', 'said', ',']","['the', 'hundredth', 'time', 'and', 'again', 'found', 'nothing', 'he', 'disliked', 'about', 'Mitchell', 'Y.', 'McDeere']",1.0,0,19
266,gpt-3.5-turbo,The Corrections by Jonathan Franzen ,9,26,"coming through. You could feel it: something terrible was going to happen. The sun low in the sky, a minor light,","['coming', 'through', '.', 'You', 'could', 'feel', 'it', ':']","['coming', 'through', '.', 'You', 'could', 'feel', 'it', ':', 'the', 'sense', 'of', 'possibility', ',', 'the', 'promise', 'of', 'discovery', ',']","['something', 'terrible', 'was', 'going', 'to', 'happen', '.', 'The', 'sun', 'low', 'in', 'the', 'sky', ',', 'a', 'minor', 'light', ',']",0.9444444444444444,8,33
1692,gpt-3.5-turbo,The Bedwetter ,10,39,a parent. But most children learn to swear by mimicking moments when a parent loses self-control. That is typically followed by the parent stressing that such words are bad and shouldn’t be repeated outside,"['a', 'parent', '.', 'But', 'most', 'children', 'learn', 'to', 'swear', 'by', 'mimicking', 'moments', 'when', 'a', 'parent', 'loses', 'self', '-']","['control', 'and', 'blurts', 'out', 'a', 'string', 'of', 'expletives', '.']","['control', '.', 'That', 'is', 'typically', 'followed', 'by', 'the', 'parent']",0.8888888888888888,9,35
350,gpt-3.5-turbo,The Corrections by Jonathan Franzen ,11,40,". You could feel it: something terrible was going to happen. The sun low in the sky, a minor light, a cooling star. Gust after gust of disorder. Trees restless, temperatures falling,","['.', 'You', 'could', 'feel', 'it', ':', 'something', 'terrible', 'was', 'going', 'to', 'happen', '.', 'The']","['air', 'was', 'thick', 'with', 'foreboding', ',', 'and', 'the', 'tension', 'was', 'palpable', '.']","['sun', 'low', 'in', 'the', 'sky', ',', 'a', 'minor', 'light', ',', 'a', 'cooling']",0.9166666666666666,10,35
553,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,16,32,"made, but why. The mechanics I understood—my older brother Jesse had filled me in—although at the time I was sure he'd heard half of it","['made', ',', 'but', 'why', '.', 'The', 'mechanics', 'I', 'understood', '—', 'my', 'older', 'brother', 'Jesse', 'had']","['made', ',', 'but', 'why', '.', 'The', 'mechanics', 'I', 'understood', '—', 'my', 'older', 'brother', 'Jesse', 'had', 'explained', 'it']","['filled', 'me', 'in', '—', 'although', 'at', 'the', 'time', 'I', 'was', 'sure', 'he', ""'d"", 'heard', 'half', 'of', 'it']",0.9411764705882352,15,46
1450,gpt-3.5-turbo,The Cabin at the End of the World ,16,35,"into the yellowing lagoon of ankle-high grass. A warm breeze ripples through the blades, leaves, and crablike petals of clover flowers. She studies the front yard, watching for","['into', 'the', 'yellowing', 'lagoon', 'of', 'ankle', '-', 'high', 'grass', '.', 'A', 'warm', 'breeze', 'ripples']","['through', 'the', 'air', ',', 'carrying', 'with', 'it', 'the', 'scent', 'of', 'wildflowers', 'and', 'the', 'promise', 'of', 'a', 'new', 'day', '.', '""']","['through', 'the', 'blades', ',', 'leaves', ',', 'and', 'crablike', 'petals', 'of', 'clover', 'flowers', '.', 'She', 'studies', 'the', 'front', 'yard', ',', 'watching']",0.8,15,48
566,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,19,37,why. The mechanics I understood—my older brother Jesse had filled me in—although at the time I was sure he'd heard half of it wrong. Other kids my age were busy,"['why', '.', 'The', 'mechanics', 'I', 'understood', '—', 'my', 'older', 'brother', 'Jesse', 'had', 'filled', 'me', 'in', '—']","['but', 'the', 'emotions', 'were', 'like', 'Greek', 'to', 'me', '.']","['although', 'at', 'the', 'time', 'I', 'was', 'sure', 'he', ""'d""]",1.0,18,42
570,gpt-3.5-turbo,My Sister's Keeper Jodi Picoult ,20,29,. The mechanics I understood—my older brother Jesse had filled me in—although at the time I was sure he'd heard half of it wrong,"['.', 'The', 'mechanics', 'I', 'understood', '—', 'my']","['.', 'The', 'mechanics', 'I', 'understood', '—', 'my', 'body', 'was', 'just', 'a', 'shell', ',', 'after', 'all', ',', 'and', 'I', 'was', 'the', 'one', 'who']","['older', 'brother', 'Jesse', 'had', 'filled', 'me', 'in', '—', 'although', 'at', 'the', 'time', 'I', 'was', 'sure', 'he', ""'d"", 'heard', 'half', 'of', 'it', 'wrong']",1.0,19,47
1018,gpt-3.5-turbo,The Codex by Douglas Preston ,22,35,"gates of the Broadbent compound. Philip, irritated, was knocking the dottle out of his pipe on one of the gateposts while Vernon gave the buzzer a couple of vigorous presses. The","['gates', 'of', 'the', 'Broadbent', 'compound', '.', 'Philip']","['gazed', 'out', 'at', 'the', 'sprawling', 'estate', ',', 'his', 'heart', 'pounding', 'with', 'anticipation', '.', 'He', 'knew', 'that', 'beyond', 'those', 'gates', 'lay', 'a', 'world', 'of', 'mystery', 'and', 'adventure', ',', 'waiting']","[',', 'irritated', ',', 'was', 'knocking', 'the', 'dottle', 'out', 'of', 'his', 'pipe', 'on', 'one', 'of', 'the', 'gateposts', 'while', 'Vernon', 'gave', 'the', 'buzzer', 'a', 'couple', 'of', 'vigorous', 'presses', '.', 'The']",0.9285714285714286,21,55
