,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1928,gpt-3.5-turbo,"The Dead Romantics
Ashley Poston",1,27,"The GhostwriterEVERY GOOD STORY has a few secrets.
At least, that’s what I’ve been told. Sometimes they’re secrets about love","['The', 'GhostwriterEVERY', 'GOOD', 'STORY', 'has', 'a']","['beginning', ',', 'a', 'middle', ',', 'and', 'an', 'end', ',', 'but', 'not', 'necessarily', 'in', 'that', 'order', '.']","['few', 'secrets', '.', '\n', 'At', 'least', ',', 'that', '’s', 'what', 'I', '’ve', 'been', 'told', '.', 'Sometimes']",1.0,"['beginning,', 'a', 'middle,', 'and', 'an', 'end,', 'but', 'not', 'necessarily', 'in', 'that', 'order.']","few secrets.
At least, that’s what I’ve been told. Sometimes they’re secrets about love",tensor([[0.8391]]),12,"[tensor([[0.7772]]), tensor([[0.7809]]), tensor([[0.7793]]), tensor([[0.7841]]), tensor([[0.7963]]), tensor([[0.7964]]), tensor([[0.8034]]), tensor([[0.8144]]), tensor([[0.8250]]), tensor([[0.8348]]), tensor([[0.8374]]), tensor([[0.8391]]), tensor([[0.8310]])]",0,21
1688,gpt-3.5-turbo,"Electric Idol 
by Katee Robert",2,37,"
Another night, another party I desperately don’t want to attend.
I try not to clutch my sickeningly sweet drink as I drift around the room’s perimeter. As long as I","['\n', 'Another', 'night', ',', 'another', 'party', 'I', 'desperately', 'do', 'n’t', 'want', 'to', 'attend', '.']","['But', 'I', 'have', 'to', 'put', 'on', 'a', 'smile', 'and', 'pretend', 'like', 'I', ""'m"", 'having', 'the', 'time', 'of', 'my', 'life', '.']","['\n', 'I', 'try', 'not', 'to', 'clutch', 'my', 'sickeningly', 'sweet', 'drink', 'as', 'I', 'drift', 'around', 'the', 'room', '’s', 'perimeter', '.', 'As']",0.85,"['But', 'I', 'have', 'to', 'put', 'on', 'a', 'smile', 'and', 'pretend', 'like', ""I'm"", 'having', 'the', 'time', 'of', 'my', 'life.']","
I try not to clutch my sickeningly sweet drink as I drift around the room’s perimeter. As long as I",tensor([[0.8306]]),18,"[tensor([[0.7875]]), tensor([[0.8129]]), tensor([[0.8272]]), tensor([[0.8283]]), tensor([[0.8178]]), tensor([[0.8142]]), tensor([[0.8049]]), tensor([[0.8166]]), tensor([[0.8095]]), tensor([[0.8138]]), tensor([[0.8190]]), tensor([[0.8202]]), tensor([[0.8198]]), tensor([[0.8184]]), tensor([[0.8278]]), tensor([[0.8233]]), tensor([[0.8256]]), tensor([[0.8306]]), tensor([[0.8192]])]",1,34
247,gpt-3.5-turbo,Ocean Echo,2,29,"1
Tennalhin Halkana arrived at the party fashionably late, which might havemeant something if he’d been invited in the first place. Tennal often set out","['1', '\n', 'Tennalhin', 'Halkana', 'arrived', 'at', 'the', 'party', 'fashionably', 'late']","[',', 'wearing', 'a', 'stunning', 'gown', 'that', 'turned', 'heads', 'and', 'left', 'everyone', 'in', 'awe', 'of', 'her', 'elegance', 'and', 'style', '.']","[',', 'which', 'might', 'havemeant', 'something', 'if', 'he', '’d', 'been', 'invited', 'in', 'the', 'first', 'place', '.', 'Tennal', 'often', 'set', 'out']",0.9473684210526316,"[',', 'wearing', 'a', 'stunning', 'gown', 'that', 'turned', 'heads', 'and', 'left', 'everyone', 'in', 'awe', 'of', 'her', 'elegance', 'and', 'style.']",", which might havemeant something if he’d been invited in the first place. Tennal often set out",tensor([[0.8054]]),2,"[tensor([[0.7653]]), tensor([[0.8054]]), tensor([[0.7778]]), tensor([[0.7932]]), tensor([[0.7715]]), tensor([[0.7375]]), tensor([[0.7428]]), tensor([[0.7547]]), tensor([[0.7627]]), tensor([[0.7618]]), tensor([[0.7680]]), tensor([[0.7718]]), tensor([[0.7822]]), tensor([[0.7581]]), tensor([[0.7621]]), tensor([[0.7535]]), tensor([[0.7543]]), tensor([[0.7537]]), tensor([[0.7449]])]",1,29
585,gpt-3.5-turbo,"YOU MADE A FOOL OF DEATH WITH YOUR BEAUTY: A NOVEL
Akwaeke Emezi",3,34,"the first person Feyi had fucked since the accident.
They hooked up in a bathroom at a Memorial Day house party
in Bushwick, with Feyi’s glass of prosecco spilling","['the', 'first', 'person', 'Feyi', 'had', 'fucked', 'since', 'the', 'accident', '.', '\n', 'They', 'hooked', 'up', 'in', 'a', 'bathroom']","['at', 'a', 'party', ',', 'and', 'it', 'was', 'a', 'mistake', '.']","['at', 'a', 'Memorial', 'Day', 'house', 'party', '\n', 'in', 'Bushwick', ',']",0.8,"['at', 'a', 'party,', 'and', 'it', 'was', 'a', 'mistake.']","at a Memorial Day house party
in Bushwick, with Feyi’s glass of prosecco spilling",tensor([[0.8468]]),8,"[tensor([[0.7845]]), tensor([[0.7679]]), tensor([[0.7814]]), tensor([[0.8383]]), tensor([[0.8412]]), tensor([[0.8422]]), tensor([[0.8462]]), tensor([[0.8468]]), tensor([[0.8270]])]",2,28
1843,gpt-3.5-turbo,"The Dead Romantics
Ashley Poston",6,22,"a few secrets.
At least, that’s what I’ve been told. Sometimes they’re secrets about love","['a', 'few', 'secrets', '.', '\n', 'At', 'least', ',', 'that']","['is', 'what', 'I', 'tell', 'myself', '.']","['’s', 'what', 'I', '’ve', 'been', 'told']",0.6666666666666666,"['is', 'what', 'I', 'tell', 'myself.']",’s what I’ve been told. Sometimes they’re secrets about love,tensor([[0.8367]]),5,"[tensor([[0.7449]]), tensor([[0.7793]]), tensor([[0.7840]]), tensor([[0.7879]]), tensor([[0.8367]]), tensor([[0.8351]])]",5,19
102,gpt-3.5-turbo,"TANKED: AN EASTSIDE BREWERY NOVEL
Mia Hopkins",7,21,"ABOUT IT. I am getting wing-manned.
Wing Man and his buddy, Bad Haircut, work","['ABOUT', 'IT', '.', 'I', 'am']","['not', 'bound', 'to', 'please', 'thee', 'with', 'my', 'answers', '.']","['getting', 'wing', '-', 'manned', '.', '\n', 'Wing', 'Man', 'and']",1.0,"['not', 'bound', 'to', 'please', 'thee', 'with', 'my', 'answers.']","getting wing-manned.
Wing Man and his buddy, Bad Haircut, work",tensor([[0.7828]]),7,"[tensor([[0.7816]]), tensor([[0.7285]]), tensor([[0.7684]]), tensor([[0.7690]]), tensor([[0.7777]]), tensor([[0.7776]]), tensor([[0.7828]]), tensor([[0.7824]]), tensor([[0.7797]])]",6,19
1404,gpt-3.5-turbo,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",10,27,"third
Thursday of every third month, but that was just about
the only thing that never changed. They never met in
the","['third', '\n', 'Thursday', 'of', 'every', 'third', 'month', ',']","['that', 'is', 'the', 'day', 'when', 'the', 'magic', 'happens', 'and', 'dreams', 'come', 'true', '.']","['but', 'that', 'was', 'just', 'about', '\n', 'the', 'only', 'thing', 'that', 'never', 'changed', '.']",0.8461538461538461,"['that', 'is', 'the', 'day', 'when', 'the', 'magic', 'happens', 'and', 'dreams', 'come', 'true.']","but that was just about
the only thing that never changed. They never met in
the",tensor([[0.7667]]),2,"[tensor([[0.7589]]), tensor([[0.7667]]), tensor([[0.7493]]), tensor([[0.7554]]), tensor([[0.7468]]), tensor([[0.7355]]), tensor([[0.7407]]), tensor([[0.7487]]), tensor([[0.7447]]), tensor([[0.7499]]), tensor([[0.7566]]), tensor([[0.7550]]), tensor([[0.7486]])]",9,29
773,gpt-3.5-turbo,SOMETHING FABULOUS,10,20,"
That was what they said about His Grace, Valentinian Gervase Lorimer Layton, Duke of Malvern, Marquess","['\n', 'That', 'was', 'what', 'they', 'said', 'about', 'His', 'Grace', ',']","['but', 'it', 'was', 'not', 'true', '.']","['Valentinian', 'Gervase', 'Lorimer', 'Layton', ',', 'Duke']",1.0,"['but', 'it', 'was', 'not', 'true.']","Valentinian Gervase Lorimer Layton, Duke of Malvern, Marquess",tensor([[0.7551]]),2,"[tensor([[0.7517]]), tensor([[0.7551]]), tensor([[0.7382]]), tensor([[0.7407]]), tensor([[0.7243]]), tensor([[0.6902]])]",9,24
802,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",10,23,"Journey”

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in","['Journey', '”', '\n\n', 'THINGS', 'WERE', 'HEATING', 'UP', 'WITH']","['the', 'sun', ';', 'it', 'was', 'going', 'to', 'be', 'a', 'scorcher', '.']","['NO', 'POSSIBILITY', 'OF', 'COOLING', 'DOWN', '.', 'Not', 'this', 'time', '.', 'She']",1.0,"['the', 'sun;', 'it', 'was', 'going', 'to', 'be', 'a', 'scorcher.']",NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in,tensor([[0.8247]]),10,"[tensor([[0.7691]]), tensor([[0.7744]]), tensor([[0.7960]]), tensor([[0.7960]]), tensor([[0.8111]]), tensor([[0.8113]]), tensor([[0.8119]]), tensor([[0.8148]]), tensor([[0.8110]]), tensor([[0.8247]])]",9,27
1720,gpt-3.5-turbo,"Electric Idol 
by Katee Robert",13,29,"to attend.
I try not to clutch my sickeningly sweet drink as I drift around the room’s perimeter. As long as I keep on the","['to', 'attend', '.', '\n', 'I', 'try', 'not', 'to', 'clutch', 'my']","['ideas', ';', 'I', 'try', 'to', 'let', 'them', 'flow', '.', 'If', 'I', ""'m"", 'not', 'inspired', ',', 'I', 'wo', ""n't"", 'write']","['sickeningly', 'sweet', 'drink', 'as', 'I', 'drift', 'around', 'the', 'room', '’s', 'perimeter', '.', 'As', 'long', 'as', 'I', 'keep', 'on', 'the']",0.9473684210526316,"['ideas;', 'I', 'try', 'to', 'let', 'them', 'flow.', 'If', ""I'm"", 'not', 'inspired,', 'I', ""won't"", 'write.']",sickeningly sweet drink as I drift around the room’s perimeter. As long as I keep on the,tensor([[0.8194]]),10,"[tensor([[0.7815]]), tensor([[0.7647]]), tensor([[0.7786]]), tensor([[0.7848]]), tensor([[0.7892]]), tensor([[0.7986]]), tensor([[0.7913]]), tensor([[0.8087]]), tensor([[0.8182]]), tensor([[0.8194]]), tensor([[0.8173]]), tensor([[0.8046]]), tensor([[0.8094]]), tensor([[0.7990]]), tensor([[0.7889]])]",12,40
