,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
842,gpt-3.5-turbo,Famous Quotes,0,3,"""To practice any art, no matter how well or badly, is a way to make your soul grow. So do it.","['""', 'To', 'practice', 'any']","['""', 'To', 'practice', 'any', 'art', ',', 'no', 'matter', 'how', 'well', 'or', 'badly', ',', 'is', 'a', 'way', 'to', 'make', 'your', 'soul', 'grow', '.']","['art', ',', 'no', 'matter', 'how', 'well', 'or', 'badly', ',', 'is', 'a', 'way', 'to', 'make', 'your', 'soul', 'grow', '.', 'So', 'do', 'it', '.']",0.3636363636363636,"['""To', 'practice', 'any', 'art,', 'no', 'matter', 'how', 'well', 'or', 'badly,', 'is', 'a', 'way', 'to', 'make', 'your', 'soul', 'grow.""', '-', 'Kurt', 'Vonnegut']","art, no matter how well or badly, is a way to make your soul grow. So do it.",tensor([[0.9500]]),20,"[tensor([[0.7677]]), tensor([[0.7868]]), tensor([[0.7949]]), tensor([[0.7941]]), tensor([[0.8504]]), tensor([[0.8298]]), tensor([[0.8428]]), tensor([[0.8520]]), tensor([[0.8595]]), tensor([[0.8622]]), tensor([[0.8721]]), tensor([[0.8676]]), tensor([[0.8690]]), tensor([[0.8729]]), tensor([[0.8791]]), tensor([[0.8784]]), tensor([[0.8909]]), tensor([[0.9253]]), tensor([[0.9499]]), tensor([[0.9500]]), tensor([[0.9161]]), tensor([[0.9264]])]",-1,24
265,gpt-3.5-turbo,Famous Quotes,0,3,"When we strive to become better than we are, everything around us becomes better, too. ","['When', 'we', 'strive', 'to', 'become', 'better']","['than', 'we', 'are', ',', 'everything', 'around', 'us', 'becomes', 'better', 'too', '.']","['than', 'we', 'are', ',', 'everything', 'around', 'us', 'becomes', 'better', ',', 'too']",0.1818181818181818,"['than', 'we', 'are,', 'everything', 'around', 'us', 'becomes', 'better', 'too.']","than we are, everything around us becomes better, too.",tensor([[0.9960]]),10,"[tensor([[0.7558]]), tensor([[0.7912]]), tensor([[0.8292]]), tensor([[0.8616]]), tensor([[0.8929]]), tensor([[0.9035]]), tensor([[0.9055]]), tensor([[0.9182]]), tensor([[0.9808]]), tensor([[0.9960]])]",-1,15
555,gpt-3.5-turbo,Famous Quotes,0,3,Work hard at work worth doing.  ,"['Work', 'hard', 'at', 'work']","['and', 'never', 'give', 'up']","['worth', 'doing', '.', ' ']",1.0,"['and', 'never', 'give', 'up', 'on', 'your', 'dreams.']",worth doing.  ,tensor([[0.8351]]),2,"[tensor([[0.8076]]), tensor([[0.8351]]), tensor([[0.7959]]), tensor([[0.7761]]), tensor([[0.8084]]), tensor([[0.8105]]), tensor([[0.8237]]), tensor([[0.8146]])]",-1,6
130,gpt-3.5-turbo,Famous Quotes,0,5,The best ideas emerge when very different perspectives meet. ,"['The', 'best', 'ideas', 'emerge']","['from', 'the', 'clash', 'of', 'different', 'perspectives']","['when', 'very', 'different', 'perspectives', 'meet', '.']",1.0,"['from', 'the', 'clash', 'of', 'different', 'perspectives.']",when very different perspectives meet.,tensor([[0.9184]]),7,"[tensor([[0.7946]]), tensor([[0.8196]]), tensor([[0.8231]]), tensor([[0.8240]]), tensor([[0.8401]]), tensor([[0.8656]]), tensor([[0.9184]])]",-1,8
784,gpt-3.5-turbo,Famous Quotes,0,3,You are a match for your mountain. ,"['You', 'are', 'a']","['quote', 'generating', 'bot', '.']","['match', 'for', 'your', 'mountain']",1.0,"['quote', 'generating', 'bot.']",match for your mountain.,tensor([[0.8109]]),4,"[tensor([[0.7614]]), tensor([[0.7885]]), tensor([[0.7651]]), tensor([[0.8109]])]",-1,5
893,gpt-3.5-turbo,Famous Quotes,0,5,"Smile, it is the key that fits the lock of everybodyâ€™s heart. ","['Smile', ',', 'it', 'is']","['the', 'key', 'that', 'fits', 'the', 'lock', 'of', 'everybody', ""'s"", 'heart', '.']","['the', 'key', 'that', 'fits', 'the', 'lock', 'of', 'everybodyâ€', '™', 's', 'heart']",0.3636363636363636,"['the', 'key', 'that', 'fits', 'the', 'lock', 'of', ""everybody's"", 'heart.']",the key that fits the lock of everybodyâ€™s heart.,tensor([[0.9928]]),10,"[tensor([[0.7861]]), tensor([[0.8036]]), tensor([[0.8667]]), tensor([[0.8783]]), tensor([[0.9076]]), tensor([[0.9128]]), tensor([[0.9215]]), tensor([[0.9293]]), tensor([[0.9659]]), tensor([[0.9928]])]",-1,13
272,gpt-3.5-turbo,Famous Quotes,0,4,Creativity is allowing yourself to make mistakes. Art is knowing which ones to keep. ,"['Creativity', 'is', 'allowing']","['yourself', 'to', 'make', 'mistakes', '.', 'Art', 'is', 'knowing', 'which', 'ones', 'to', 'keep', '.']","['yourself', 'to', 'make', 'mistakes', '.', 'Art', 'is', 'knowing', 'which', 'ones', 'to', 'keep', '.']",0.0,"['yourself', 'to', 'make', 'mistakes.', 'Art', 'is', 'knowing', 'which', 'ones', 'to', 'keep.']",yourself to make mistakes. Art is knowing which ones to keep.,tensor([[1.0000]]),12,"[tensor([[0.7902]]), tensor([[0.8515]]), tensor([[0.8340]]), tensor([[0.8532]]), tensor([[0.9181]]), tensor([[0.9378]]), tensor([[0.9487]]), tensor([[0.9663]]), tensor([[0.9763]]), tensor([[0.9856]]), tensor([[0.9827]]), tensor([[1.0000]])]",-1,14
737,gpt-3.5-turbo,Famous Quotes,0,2,Carry good cheer in the night.,"['Carry', 'good', 'cheer']","['with', 'you', ',', 'for']","['in', 'the', 'night', '.']",1.0,"['with', 'you,', 'for', 'it', 'is', 'contagious.']",in the night.,tensor([[0.7988]]),2,"[tensor([[0.7729]]), tensor([[0.7988]]), tensor([[0.7922]]), tensor([[0.7821]]), tensor([[0.7740]]), tensor([[0.7756]]), tensor([[0.7909]])]",-1,5
449,gpt-3.5-turbo,Famous Quotes,0,1,What would you attempt if you knew you could not fail?  ,"['What', 'would', 'you']","['do', 'if', 'you', 'were', ""n't"", 'afraid', '?']","['attempt', 'if', 'you', 'knew', 'you', 'could', 'not']",0.7142857142857143,"['do', 'if', 'you', ""weren't"", 'afraid?']",attempt if you knew you could not fail?  ,tensor([[0.8553]]),6,"[tensor([[0.7708]]), tensor([[0.7812]]), tensor([[0.8127]]), tensor([[0.8102]]), tensor([[0.8294]]), tensor([[0.8553]])]",-1,8
575,gpt-3.5-turbo,Famous Quotes,0,3,Life's most urgent question is: What are you doing for others? ,"['Life', ""'s"", 'most', 'urgent', 'question', 'is', ':']","['What', 'are', 'you', 'doing', 'for', 'others', '?']","['What', 'are', 'you', 'doing', 'for', 'others', '?']",0.0,"['What', 'are', 'you', 'doing', 'for', 'others?']",What are you doing for others?,tensor([[1.]]),7,"[tensor([[0.7821]]), tensor([[0.8125]]), tensor([[0.8118]]), tensor([[0.8323]]), tensor([[0.8676]]), tensor([[0.9066]]), tensor([[1.]])]",-1,12
