,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
355,gpt-3.5-turbo,2007 State of the Union Address George W. Bush ,2,32,"you very much. And tonight, I have a high privilege and distinct honor of my own--as the first President to begin the State of the Union message with","['you', 'very', 'much', '.', 'And', 'tonight', ',', 'I', 'have', 'a']","['message', 'for', 'the', 'men', 'and', 'women', 'who', 'will', 'keep', 'the', 'peace', ',', 'members', 'of', 'the', 'American', 'Armed', 'Forces', ':', 'Many', 'of', 'you']","['high', 'privilege', 'and', 'distinct', 'honor', 'of', 'my', 'own', '--', 'as', 'the', 'first', 'President', 'to', 'begin', 'the', 'State', 'of', 'the', 'Union', 'message', 'with']",0.9545454545454546,1,32
1318,gpt-3.5-turbo,1801 State of the Union Address ,4,40,the Senate and House of Representatives: It is a circumstance of sincere gratification to me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars,"['the', 'Senate', 'and', 'House', 'of', 'Representatives', ':', 'It', 'is', 'a', 'circumstance', 'of']","['sincere', 'gratification', 'to', 'me', 'that', 'on', 'meeting', 'the', 'great', 'council', 'of', 'our', 'nation', ',', 'I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on', 'behalf', 'of', 'our', 'country', ',', 'that']","['sincere', 'gratification', 'to', 'me', 'that', 'on', 'meeting', 'the', 'great', 'council', 'of', 'our', 'nation', 'I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on', 'grounds', 'of', 'reasonable', 'certainty', 'that', 'the', 'wars']",0.25,3,42
17,gpt-3.5-turbo,1929 State of the Union Address ,9,37,"The Constitution requires that the President ""shall, from time to time, give to the Congress information of the state of the Union, and recommend to their consideration such measures as he shall judge","['The', 'Constitution', 'requires', 'that', 'the', 'President', '""', 'shall', ',', 'from']","['time', 'to', 'time', ',', 'give', 'to', 'the', 'Congress', 'information', 'of', 'the', 'State', 'of', 'the', 'Union', '.', '""']","['time', 'to', 'time', ',', 'give', 'to', 'the', 'Congress', 'information', 'of', 'the', 'state', 'of', 'the', 'Union', ',', 'and']",0.1764705882352941,8,34
1585,gpt-3.5-turbo,1961 State of the Union Address ,12,24,: It is a pleasure to return from whence I came. You are among my oldest friends in Washington--and this House,"[':', 'It', 'is', 'a', 'pleasure', 'to', 'return', 'from', 'whence']","['I', 'came', ',', 'and', 'to', 'report', 'to', 'my', 'fellow', 'Americans', 'that', 'their', 'state', 'of', 'the']","['I', 'came', '.', 'You', 'are', 'among', 'my', 'oldest', 'friends', 'in', 'Washington', '--', 'and', 'this', 'House']",0.8666666666666667,11,34
1222,gpt-3.5-turbo,1801 State of the Union Address ,15,28,of sincere gratification to me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the,"['of', 'sincere', 'gratification', 'to', 'me', 'that', 'on', 'meeting', 'the', 'great', 'council']","['of', 'our', 'nation', ',', 'I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on', 'the', 'grounds', 'of', 'reasonable', 'certainty']","['of', 'our', 'nation', 'I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on', 'grounds', 'of', 'reasonable', 'certainty', 'that', 'the']",0.2352941176470588,14,41
1714,gpt-3.5-turbo,2000 State of the Union address ,18,35,": We are fortunate to be alive at this moment in history. Never before has our Nation enjoyed, at once, so much prosperity and social progress with so little internal crisis and","[':', 'We', 'are', 'fortunate', 'to', 'be', 'alive', 'at', 'this', 'moment', 'in', 'history', '.', 'Never', 'before', 'has']","['there', 'been', 'such', 'potential', 'for', 'progress', 'and', 'innovation', '.']","['our', 'Nation', 'enjoyed', ',', 'at', 'once', ',', 'so', 'much']",1.0,17,41
1270,gpt-3.5-turbo,1801 State of the Union Address ,19,30,me that on meeting the great council of our nation I am able to announce to them on grounds of reasonable certainty that the wars and troubles which have for,"['me', 'that', 'on', 'meeting', 'the', 'great']","['me', 'that', 'on', 'meeting', 'the', 'great', 'and', 'weighty', 'matters', 'which', 'have', 'occupied', 'the', 'public', 'councils', ',', 'I', 'feel', 'much', 'satisfaction', 'in', 'being', 'able', 'to']","['council', 'of', 'our', 'nation', 'I', 'am', 'able', 'to', 'announce', 'to', 'them', 'on', 'grounds', 'of', 'reasonable', 'certainty', 'that', 'the', 'wars', 'and', 'troubles', 'which', 'have', 'for']",1.0,18,47
246,gpt-3.5-turbo,2007 State of the Union Address George W. Bush ,20,37,"--as the first President to begin the State of the Union message with these words: Madam Speaker In his day, the late Congressman Thomas D'Alesandro, Jr. from Baltimore, Maryland, saw Presidents","['--', 'as', 'the', 'first', 'President', 'to']","['--as', 'the', 'first', 'President', 'to', 'have', 'served', 'in', 'both', 'the', 'Texas', 'National', 'Guard', 'and', 'the', 'United', 'States', 'Air', 'Force', '.']","['begin', 'the', 'State', 'of', 'the', 'Union', 'message', 'with', 'these', 'words', ':', 'Madam', 'Speaker', 'In', 'his', 'day', ',', 'the', 'late', 'Congressman']",0.95,19,44
1507,gpt-3.5-turbo,1961 State of the Union Address ,30,37,"in Washington--and this House is my oldest home. It was here, more than 14 years ago, that I first took the oath of Federal office. It was here, for 14","['in', 'Washington', '--', 'and', 'this', 'House', 'is', 'my', 'oldest', 'home', '.', 'It', 'was', 'here', ',', 'more', 'than', '14']","['in', 'Washington', '--', 'and', 'this', 'House', 'is', 'my', 'oldest', 'home', '.', 'It', 'was', 'here', ',', 'more', 'than', '14', 'years']","['years', 'ago', ',', 'that', 'I', 'first', 'took', 'the', 'oath', 'of', 'Federal', 'office', '.', 'It', 'was', 'here', ',', 'for', '14']",0.7894736842105263,29,65
1031,gpt-3.5-turbo,1790 State of the Union Address George Washington ,36,34,public affairs. The abundant fruits of another year have blessed our country with plenty and with the means of a flourishing commerce. The progress of public credit is witnessed by a considerable,"['public', 'affairs', '.', 'The', 'abundant', 'fruits', 'of']","['public', 'affairs', '.', 'The', 'abundant', 'fruits', 'of', 'our', 'labor', 'and', 'the', 'blessings', 'of', 'liberty', 'are', 'the', 'rewards', 'of', 'our', 'collective', 'efforts', 'and', 'unwavering', 'dedication', 'to', 'the', 'principles']","['another', 'year', 'have', 'blessed', 'our', 'country', 'with', 'plenty', 'and', 'with', 'the', 'means', 'of', 'a', 'flourishing', 'commerce', '.', 'The', 'progress', 'of', 'public', 'credit', 'is', 'witnessed', 'by', 'a', 'considerable']",0.925925925925926,35,68
