,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1,gpt-3.5-turbo,Demon Copperhead by Barbara Kingsolver ,1,24,"First, I got myself born. A decent crowd was on hand to watch, and they’ve always given me that much","['First', ',', 'I', 'got', 'myself', 'born', '.', 'A', 'decent', 'crowd']","['gathered', 'to', 'watch', '.', 'They', 'were', 'hoping', 'for', 'a', 'better', 'show', '.']","['was', 'on', 'hand', 'to', 'watch', ',', 'and', 'they', '’ve', 'always', 'given', 'me']",1.0,"['gathered', 'to', 'watch.', 'They', 'were', 'hoping', 'for', 'a', 'better', 'show.']","was on hand to watch, and they’ve always given me that much",tensor([[0.8546]]),6,"[tensor([[0.7429]]), tensor([[0.7387]]), tensor([[0.7710]]), tensor([[0.8145]]), tensor([[0.8382]]), tensor([[0.8546]]), tensor([[0.8227]]), tensor([[0.8255]]), tensor([[0.8288]]), tensor([[0.8117]]), tensor([[0.7858]])]",0,21
1463,gpt-3.5-turbo,The Fraud by Zadie Smith ,1,38,"A filthy boy stood on the doorstep. He might be scrubbed of all that dirt, eventually - but not of so many orange freckles. No more than fourteen, with skinny, unstable legs like","['A', 'filthy', 'boy', 'stood', 'on', 'the', 'doorstep', '.', 'He', 'might', 'be', 'scrubbed', 'of', 'all', 'that', 'dirt', ',']","['but', 'he', 'would', 'still', 'be', 'a', 'filthy', 'boy', '.']","['eventually', '-', 'but', 'not', 'of', 'so', 'many', 'orange', 'freckles']",1.0,"['but', 'he', 'would', 'still', 'be', 'a', 'filthy', 'boy.']","eventually - but not of so many orange freckles. No more than fourteen, with skinny, unstable legs like",tensor([[0.8411]]),2,"[tensor([[0.7992]]), tensor([[0.8411]]), tensor([[0.8272]]), tensor([[0.7801]]), tensor([[0.8045]]), tensor([[0.8193]]), tensor([[0.8294]]), tensor([[0.8199]]), tensor([[0.8266]])]",0,25
1532,gpt-3.5-turbo,The Fraud by Zadie Smith ,1,29,"A filthy boy stood on the doorstep. He might be scrubbed of all that dirt, eventually - but not of so many orange freckles. No more","['A', 'filthy', 'boy', 'stood', 'on', 'the', 'doorstep', '.', 'He', 'might', 'be']","['the', 'child', 'of', 'a', 'beggar', ';', 'he', 'might', 'be', 'the', 'victim', 'of', 'a', 'cruel', 'father', 'or', 'mother', '.']","['scrubbed', 'of', 'all', 'that', 'dirt', ',', 'eventually', '-', 'but', 'not', 'of', 'so', 'many', 'orange', 'freckles', '.', 'No', 'more']",0.9444444444444444,"['the', 'child', 'of', 'a', 'beggar;', 'he', 'might', 'be', 'the', 'victim', 'of', 'a', 'cruel', 'father', 'or', 'mother.']","scrubbed of all that dirt, eventually - but not of so many orange freckles. No more",tensor([[0.7865]]),1,"[tensor([[0.7865]]), tensor([[0.7778]]), tensor([[0.7336]]), tensor([[0.7491]]), tensor([[0.7622]]), tensor([[0.7749]]), tensor([[0.7671]]), tensor([[0.7732]]), tensor([[0.7712]]), tensor([[0.7640]]), tensor([[0.7664]]), tensor([[0.7697]]), tensor([[0.7727]]), tensor([[0.7826]]), tensor([[0.7808]]), tensor([[0.7803]]), tensor([[0.7847]])]",0,28
766,gpt-3.5-turbo,Covenant of Water ,2,30,"is twelve years old, and she will be married in the morning. Mother and daughter lie on the mat, their wet cheeks glued together.  “","['is', 'twelve', 'years', 'old', ',', 'and', 'she', 'will', 'be', 'married', 'in', 'the']","['spring', '.']","['morning', '.']",0.5,['spring.'],"morning. Mother and daughter lie on the mat, their wet cheeks glued together.  “",tensor([[0.7696]]),2,"[tensor([[0.7693]]), tensor([[0.7696]])]",1,14
1706,gpt-3.5-turbo,Bright Lights Big Christmas ,2,22,Clare Tolliver couldn’t remember a time when the smell of a Fraser fir tree didn’t make her smile. Tollivers,"['Clare', 'Tolliver', 'could', 'n’t', 'remember', 'a', 'time', 'when', 'the', 'smell', 'of']","['freshly', 'baked', 'bread', 'did', ""n't"", 'make', 'her', 'feel', 'warm', 'and', 'nostalgic']","['a', 'Fraser', 'fir', 'tree', 'did', 'n’t', 'make', 'her', 'smile', '.', 'Tollivers']",0.8181818181818182,"['freshly', 'baked', 'bread', ""didn't"", 'make', 'her', 'feel', 'warm', 'and', 'nostalgic.']",a Fraser fir tree didn’t make her smile. Tollivers,tensor([[0.8306]]),8,"[tensor([[0.7561]]), tensor([[0.7645]]), tensor([[0.7566]]), tensor([[0.7498]]), tensor([[0.7939]]), tensor([[0.8023]]), tensor([[0.8275]]), tensor([[0.8306]]), tensor([[0.8249]]), tensor([[0.8270]]), tensor([[0.8179]])]",1,22
1535,gpt-3.5-turbo,The Fraud by Zadie Smith ,3,37,"boy stood on the doorstep. He might be scrubbed of all that dirt, eventually - but not of so many orange freckles. No more than fourteen, with skinny, unstable legs like a","['boy', 'stood', 'on', 'the', 'doorstep', '.', 'He', 'might', 'be', 'scrubbed', 'of', 'all', 'that', 'dirt', ',']","['but', 'he', 'was', 'still', 'a', 'boy', ',', 'and', 'he', 'was', 'still', 'a', 'wizard', ',', 'and', 'he', 'was', 'still', 'a', 'hero', ',', 'and']","['eventually', '-', 'but', 'not', 'of', 'so', 'many', 'orange', 'freckles', '.', 'No', 'more', 'than', 'fourteen', ',', 'with', 'skinny', ',', 'unstable', 'legs', 'like', 'a']",1.0,"['but', 'he', 'was', 'still', 'a', 'boy,', 'and', 'he', 'was', 'still', 'a', 'wizard,', 'and', 'he', 'was', 'still', 'a', 'hero,', 'and', 'he', 'was', 'still', 'Harry', 'Potter.']","eventually - but not of so many orange freckles. No more than fourteen, with skinny, unstable legs like a",tensor([[0.8414]]),2,"[tensor([[0.7991]]), tensor([[0.8414]]), tensor([[0.8287]]), tensor([[0.8009]]), tensor([[0.8119]]), tensor([[0.8216]]), tensor([[0.8109]]), tensor([[0.8112]]), tensor([[0.8119]]), tensor([[0.8112]]), tensor([[0.8154]]), tensor([[0.8226]]), tensor([[0.7997]]), tensor([[0.8087]]), tensor([[0.8097]]), tensor([[0.8102]]), tensor([[0.8142]]), tensor([[0.8156]]), tensor([[0.7913]]), tensor([[0.8000]]), tensor([[0.8004]]), tensor([[0.8004]]), tensor([[0.8044]]), tensor([[0.8088]]), tensor([[0.7967]])]",2,38
1665,gpt-3.5-turbo,Bright Lights Big Christmas ,3,31,"Tolliver couldn’t remember a time when the smell of a Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree,","['Tolliver', 'could', 'n’t', 'remember', 'a']","['time', 'when', 'he', 'had', 'been', 'so', 'happy', ',', 'and', 'he', 'knew', 'that', 'the', 'reason', 'he', 'was', 'happy', 'was', 'that', 'he', 'was', 'doing', 'something', 'worth', 'doing', '.']","['time', 'when', 'the', 'smell', 'of', 'a', 'Fraser', 'fir', 'tree', 'did', 'n’t', 'make', 'her', 'smile', '.', 'Tollivers', 'had', 'been', 'growing', 'this', 'particular', 'variety', 'of', 'Christmas', 'tree', ',']",0.9230769230769232,"['time', 'when', 'he', 'had', 'been', 'so', 'happy,', 'and', 'he', 'knew', 'that', 'the', 'reason', 'he', 'was', 'happy', 'was', 'that', 'he', 'was', 'doing', 'something', 'worth', 'doing.']","time when the smell of a Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree,",tensor([[0.7867]]),4,"[tensor([[0.7425]]), tensor([[0.7387]]), tensor([[0.7718]]), tensor([[0.7867]]), tensor([[0.7811]]), tensor([[0.7703]]), tensor([[0.7753]]), tensor([[0.7771]]), tensor([[0.7783]]), tensor([[0.7772]]), tensor([[0.7682]]), tensor([[0.7638]]), tensor([[0.7728]]), tensor([[0.7645]]), tensor([[0.7667]]), tensor([[0.7668]]), tensor([[0.7779]]), tensor([[0.7787]]), tensor([[0.7745]]), tensor([[0.7733]]), tensor([[0.7761]]), tensor([[0.7775]]), tensor([[0.7830]]), tensor([[0.7834]]), tensor([[0.7837]])]",2,32
1170,gpt-3.5-turbo,Payback in Death ,4,40,"either kidnapped the sun or decided screw the ransom and killed it dead.  For two glorious weeks, before its abduction or demise, it had blasted heat and light so the sea below the villa in Greece","['either', 'kidnapped', 'the', 'sun', 'or', 'decided', 'screw', 'the', 'ransom', 'and', 'killed', 'it', 'dead', '.', ' ', 'For', 'two', 'glorious', 'weeks']","[',', 'the', 'world', 'was', 'a', 'dark', 'and', 'cold', 'place', ',', 'and', 'people', 'had', 'to', 'rely', 'on', 'artificial', 'light', 'to', 'survive', '.']","[',', 'before', 'its', 'abduction', 'or', 'demise', ',', 'it', 'had', 'blasted', 'heat', 'and', 'light', 'so', 'the', 'sea', 'below', 'the', 'villa', 'in', 'Greece']",0.9523809523809524,"[',', 'the', 'world', 'was', 'a', 'dark', 'and', 'cold', 'place,', 'and', 'people', 'had', 'to', 'rely', 'on', 'artificial', 'light', 'to', 'survive.']",", before its abduction or demise, it had blasted heat and light so the sea below the villa in Greece",tensor([[0.8328]]),8,"[tensor([[0.7341]]), tensor([[0.7832]]), tensor([[0.7929]]), tensor([[0.7715]]), tensor([[0.7936]]), tensor([[0.8078]]), tensor([[0.8239]]), tensor([[0.8328]]), tensor([[0.8184]]), tensor([[0.8177]]), tensor([[0.8276]]), tensor([[0.8104]]), tensor([[0.8143]]), tensor([[0.8096]]), tensor([[0.7981]]), tensor([[0.7984]]), tensor([[0.8087]]), tensor([[0.8264]]), tensor([[0.8284]]), tensor([[0.8070]])]",3,42
1264,gpt-3.5-turbo,Starling House by Alix Harrow,5,26,"a house I’ve never seen. I mean, pretty much nobody has. Logan Caldwell claims he ding-dong-ditched the place","['a', 'house', 'I', '’ve', 'never', 'seen', '.', 'I', 'mean']","['a', 'house', 'I', '’ve', 'never', 'seen', '.', 'I', 'mean', ',', 'it', '’s', 'like', 'a', 'metaphor', 'for', 'my']","[',', 'pretty', 'much', 'nobody', 'has', '.', 'Logan', 'Caldwell', 'claims', 'he', 'ding', '-', 'dong', '-', 'ditched', 'the', 'place']",1.0,"['a', 'house', 'I’ve', 'never', 'seen.', 'I', 'mean,', 'it’s', 'like', 'a', 'metaphor', 'for', 'my', 'life.']",", pretty much nobody has. Logan Caldwell claims he ding-dong-ditched the place",tensor([[0.8105]]),8,"[tensor([[0.7878]]), tensor([[0.7652]]), tensor([[0.7728]]), tensor([[0.7795]]), tensor([[0.8073]]), tensor([[0.8031]]), tensor([[0.8020]]), tensor([[0.8105]]), tensor([[0.7973]]), tensor([[0.7929]]), tensor([[0.7934]]), tensor([[0.7993]]), tensor([[0.7965]]), tensor([[0.7967]]), tensor([[0.7967]])]",4,29
1716,gpt-3.5-turbo,Bright Lights Big Christmas ,6,32,"remember a time when the smell of a Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree, in this particular patch","['remember', 'a', 'time', 'when', 'the', 'smell', 'of', 'a']","['bonfire', 'brought', 'people', 'together', ',', 'and', 'the', 'crackling', 'flames', 'warmed', 'their', 'souls', '.']","['Fraser', 'fir', 'tree', 'did', 'n’t', 'make', 'her', 'smile', '.', 'Tollivers', 'had', 'been', 'growing']",1.0,"['bonfire', 'brought', 'people', 'together,', 'and', 'the', 'crackling', 'flames', 'warmed', 'their', 'souls.']","Fraser fir tree didn’t make her smile. Tollivers had been growing this particular variety of Christmas tree, in this particular patch",tensor([[0.7713]]),3,"[tensor([[0.7372]]), tensor([[0.7414]]), tensor([[0.7713]]), tensor([[0.7506]]), tensor([[0.7402]]), tensor([[0.7337]]), tensor([[0.7375]]), tensor([[0.7530]]), tensor([[0.7550]]), tensor([[0.7587]]), tensor([[0.7688]]), tensor([[0.7569]])]",5,25
