,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
337,gpt-3.5-turbo,English Standard Bible,1,40,"GENESIS
The Creation of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep","['GENESIS', '\n', 'The', 'Creation', 'of', 'the', 'World', '\n', '1']","['In', 'the', 'beginning', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.']","['In', 'the', 'abeginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth']",0.2727272727272727,"['In', 'the', 'beginning', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth.']","In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep",tensor([[0.8886]]),10,"[tensor([[0.7454]]), tensor([[0.7649]]), tensor([[0.7846]]), tensor([[0.7813]]), tensor([[0.8196]]), tensor([[0.8462]]), tensor([[0.8577]]), tensor([[0.8788]]), tensor([[0.8872]]), tensor([[0.8886]]), tensor([[0.8858]])]",0,19
388,gpt-3.5-turbo,English Standard Bible,2,35,"
The Creation of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the","['\n', 'The', 'Creation', 'of', 'the', 'World', '\n', '1', 'In', 'the', 'abeginning', ',', 'God', 'created', 'the']","['heaven', 'and', 'the', 'earth', '.']","['heavens', 'and', 'the', 'earth', '.']",0.2,"['heaven', 'and', 'the', 'earth.']","heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the",tensor([[0.8730]]),5,"[tensor([[0.7548]]), tensor([[0.8177]]), tensor([[0.8619]]), tensor([[0.8441]]), tensor([[0.8730]])]",1,20
24,gpt-3.5-turbo,Christian Standard Bible ,3,29,"
1 In the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the","['\n', '1', 'In', 'the', 'beginning', 'God', 'created']","['the', 'heavens', 'and', 'the', 'earth', '.']","['the', 'heavens', 'and', 'the', 'earth', '.']",0.0,"['the', 'heavens', 'and', 'the', 'earth.']","the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the",tensor([[0.9030]]),6,"[tensor([[0.7487]]), tensor([[0.7972]]), tensor([[0.8675]]), tensor([[0.8941]]), tensor([[0.8868]]), tensor([[0.9030]])]",2,14
3,gpt-3.5-turbo,Christian Standard Bible ,5,35,"In the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God","['In', 'the', 'beginning', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2', 'Now']","['the', 'earth', 'was', 'formless', 'and', 'empty', ',', 'darkness', 'was', 'over', 'the', 'surface', 'of', 'the', 'deep', ',', 'and', 'the', 'Spirit', 'of', 'God']","['the', 'earth', 'was', 'formless', 'and', 'empty', ',', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and', 'the', 'Spirit', 'of', 'God']",0.1904761904761904,"['the', 'earth', 'was', 'formless', 'and', 'empty,', 'darkness', 'was', 'over', 'the', 'surface', 'of', 'the', 'deep,', 'and', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'waters.']","the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God",tensor([[0.9782]]),21,"[tensor([[0.7427]]), tensor([[0.7797]]), tensor([[0.8224]]), tensor([[0.8530]]), tensor([[0.9052]]), tensor([[0.9191]]), tensor([[0.9209]]), tensor([[0.9488]]), tensor([[0.9481]]), tensor([[0.9336]]), tensor([[0.9489]]), tensor([[0.9477]]), tensor([[0.9521]]), tensor([[0.9542]]), tensor([[0.9567]]), tensor([[0.9605]]), tensor([[0.9598]]), tensor([[0.9725]]), tensor([[0.9725]]), tensor([[0.9782]]), tensor([[0.9782]]), tensor([[0.9657]]), tensor([[0.9670]]), tensor([[0.9714]]), tensor([[0.9760]])]",4,38
816,gpt-3.5-turbo,King James Bible,6,31,"the heaven and the earth.
2And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of","['the', 'heaven', 'and', 'the', 'earth']","['shall', 'pass', 'away', ',', 'but', 'my', 'words', 'shall', 'not', 'pass', 'away', '.']","['.', '\n', '2And', 'the', 'earth', 'was', 'without', 'form', ',', 'and', 'void', ';']",1.0,"['shall', 'pass', 'away,', 'but', 'my', 'words', 'shall', 'not', 'pass', 'away.']",".
2And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of",tensor([[0.7952]]),10,"[tensor([[0.7532]]), tensor([[0.7585]]), tensor([[0.7506]]), tensor([[0.7779]]), tensor([[0.7779]]), tensor([[0.7828]]), tensor([[0.7871]]), tensor([[0.7931]]), tensor([[0.7898]]), tensor([[0.7952]]), tensor([[0.7946]])]",5,21
57,gpt-3.5-turbo,Christian Standard Bible ,6,23,"the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the","['the', 'beginning', 'God', 'created', 'the', 'heavens']","['and', 'the', 'earth', '.']","['and', 'the', 'earth', '.']",0.0,"['and', 'the', 'earth.']","and the earth. 
2 Now the earth was formless and empty, darkness covered the",tensor([[0.8603]]),4,"[tensor([[0.7477]]), tensor([[0.7989]]), tensor([[0.7974]]), tensor([[0.8603]])]",5,14
322,gpt-3.5-turbo,English Standard Bible,9,27,"1 In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over","['1', 'In', 'the', 'abeginning', ',', 'God', 'created']","['the', 'heavens', 'and', 'the', 'earth', '.']","['the', 'heavens', 'and', 'the', 'earth', '.']",0.0,"['the', 'heavens', 'and', 'the', 'earth.']","the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over",tensor([[0.9074]]),6,"[tensor([[0.7619]]), tensor([[0.7922]]), tensor([[0.8670]]), tensor([[0.8939]]), tensor([[0.8854]]), tensor([[0.9074]])]",8,20
118,gpt-3.5-turbo,Christian Standard Bible ,9,39,"created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters","['created', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2', 'Now', 'the', 'earth', 'was', 'formless', 'and', 'empty', ',']","['and', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', '.']","['darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths', ',', 'and']",0.3,"['and', 'darkness', 'covered', 'the', 'surface', 'of', 'the', 'watery', 'depths.']","darkness covered the surface of the watery depths, and the Spirit of God was hovering over the surface of the waters",tensor([[0.9445]]),10,"[tensor([[0.7379]]), tensor([[0.7654]]), tensor([[0.8366]]), tensor([[0.8718]]), tensor([[0.8951]]), tensor([[0.9216]]), tensor([[0.9187]]), tensor([[0.9192]]), tensor([[0.9388]]), tensor([[0.9445]])]",8,34
205,gpt-3.5-turbo,English Standard Bible,10,40,"In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over","['In', 'the', 'abeginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2', 'The', 'earth', 'was', 'bwithout', 'form', 'and']","['void', ',', 'and', 'darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep', '.', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over']","['void', ',', 'and', 'darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep', '.', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over']",0.0,"['void,', 'and', 'darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep.', 'And', 'the', 'Spirit', 'of', 'God', 'was', 'hovering', 'over', 'the', 'face', 'of', 'the', 'waters.']","void, and darkness was over the face of the deep. And the Spirit of God was hovering over",tensor([[1.]]),19,"[tensor([[0.7676]]), tensor([[0.8653]]), tensor([[0.8739]]), tensor([[0.8863]]), tensor([[0.9126]]), tensor([[0.9167]]), tensor([[0.9279]]), tensor([[0.9319]]), tensor([[0.9332]]), tensor([[0.9340]]), tensor([[0.9382]]), tensor([[0.9464]]), tensor([[0.9502]]), tensor([[0.9672]]), tensor([[0.9643]]), tensor([[0.9776]]), tensor([[0.9777]]), tensor([[0.9965]]), tensor([[1.]]), tensor([[0.9964]]), tensor([[0.9950]]), tensor([[0.9949]]), tensor([[0.9945]]), tensor([[0.9739]])]",9,48
630,gpt-3.5-turbo,Amplified Bible,11,39,"created [by forming from nothing] the heavens and the earth. 
2The earth was formless and void or a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that","['created', '[', 'by', 'forming', 'from', 'nothing', ']', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n']","['I', 'have', 'not', 'failed', '.', 'I', ""'ve"", 'just', 'found', '10,000', 'ways', 'that', 'wo', ""n't"", 'work', '.']","['2The', 'earth', 'was', 'formless', 'and', 'void', 'or', 'a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness', 'was', 'upon']",1.0,"['I', 'have', 'not', 'failed.', ""I've"", 'just', 'found', '10,000', 'ways', 'that', ""won't"", 'work.']","2The earth was formless and void or a waste and emptiness, and darkness was upon the face of the deep [primeval ocean that",tensor([[0.7769]]),2,"[tensor([[0.7497]]), tensor([[0.7769]]), tensor([[0.7636]]), tensor([[0.7471]]), tensor([[0.7315]]), tensor([[0.7487]]), tensor([[0.7541]]), tensor([[0.7617]]), tensor([[0.7618]]), tensor([[0.7595]]), tensor([[0.7599]]), tensor([[0.7560]]), tensor([[0.7647]])]",10,39
