,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
376,gpt-3.5-turbo,English Standard Bible,2,28,"
The Creation of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and","['\n', 'The', 'Creation', 'of', 'the', 'World', '\n', '1', 'In', 'the']","['beginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.']","['abeginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.']",0.1,1,20
469,gpt-3.5-turbo,New Living Translation Bible,2,39,"In the beginning God created the heavens and the earth.
2 The earth was formless and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the","['In', 'the', 'beginning', 'God', 'created', 'the', 'heavens', 'and', 'the']","['earth', '.']","['earth', '.']",0.0,1,11
888,gpt-3.5-turbo,King James Bible,3,28,"beginning God created the heaven and the earth.
2And the earth was without form, and void; and darkness was upon the face of the","['beginning', 'God', 'created', 'the', 'heaven', 'and', 'the', 'earth', '.', '\n', '2And', 'the', 'earth', 'was']","['without', 'form', ',', 'and', 'void', ';', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the']","['without', 'form', ',', 'and', 'void', ';', 'and', 'darkness', 'was', 'upon', 'the', 'face', 'of', 'the']",0.0,2,29
461,gpt-3.5-turbo,New Living Translation Bible,3,35,"the beginning God created the heavens and the earth.
2 The earth was formless and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the","['the', 'beginning', 'God', 'created', 'the', 'heavens', 'and']","['the', 'earth', '.']","['the', 'earth', '.']",0.0,2,11
883,gpt-3.5-turbo,King James Bible,4,31,"God created the heaven and the earth.
2And the earth was without form, and void; and darkness was upon the face of the deep. And the","['God', 'created', 'the', 'heaven', 'and', 'the', 'earth', '.']","['""', 'And', 'God', 'said', ',', 'Let', 'there', 'be', 'light', ':', 'and', 'there', 'was', 'light', '.', '""']","['\n', '2And', 'the', 'earth', 'was', 'without', 'form', ',', 'and', 'void', ';', 'and', 'darkness', 'was', 'upon', 'the']",0.9375,3,26
773,gpt-3.5-turbo,Amplified Bible,6,25,"beginning God (Elohim) created [by forming from nothing] the heavens and the earth. 
2The earth was formless and void","['beginning', 'God', '(', 'Elohim', ')', 'created', '[', 'by', 'forming', 'from']","['the', 'clay', 'of', 'the', 'ground', ']', 'the', 'heavens', 'and', 'the', 'earth', '.']","['nothing', ']', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2The', 'earth', 'was']",0.75,5,26
755,gpt-3.5-turbo,Amplified Bible,8,34,"(Elohim) created [by forming from nothing] the heavens and the earth. 
2The earth was formless and void or a waste and emptiness, and darkness was upon the","['(', 'Elohim', ')', 'created', '[', 'by', 'forming', 'from', 'nothing', ']', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n']","['""', 'And', 'God', 'said', ',', ""'"", 'Let', 'there', 'be', 'light', ',', ""'"", 'and', 'there', 'was', 'light', '.']","['2The', 'earth', 'was', 'formless', 'and', 'void', 'or', 'a', 'waste', 'and', 'emptiness', ',', 'and', 'darkness', 'was', 'upon', 'the']",0.8823529411764706,7,40
211,gpt-3.5-turbo,English Standard Bible,10,40,"In the abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over","['In', 'the', 'abeginning', ',', 'God', 'created']","['the', 'heavens', 'and', 'the', 'earth', '.']","['the', 'heavens', 'and', 'the', 'earth', '.']",0.0,9,20
217,gpt-3.5-turbo,English Standard Bible,12,34,"abeginning, God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep. And the Spirit of","['abeginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.']","['""', 'In', 'the', 'beginning', ',', 'God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.', '""']","['\n', '2', 'The', 'earth', 'was', 'bwithout', 'form', 'and', 'void', ',', 'and', 'darkness', 'was', 'over']",1.0,11,34
391,gpt-3.5-turbo,English Standard Bible,14,40,"God created the heavens and the earth. 
2 The earth was bwithout form and void, and darkness was over the face of the deep. And the Spirit of God was hovering over the face of the","['God', 'created', 'the', 'heavens', 'and', 'the', 'earth', '.', '\n', '2', 'The', 'earth', 'was', 'bwithout', 'form', 'and', 'void']","['and', 'darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep', '.']","[',', 'and', 'darkness', 'was', 'over', 'the', 'face', 'of', 'the', 'deep']",0.2,13,39
