,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
38,gpt-3.5-turbo,Slogans,0,4,It’s the Real Thing ,"['It', '’s']","['not', 'the', 'load']","['the', 'Real', 'Thing']",1.0,"['not', 'the', 'load', 'that', 'breaks', 'you', 'down,', 'it’s', 'the', 'way', 'you', 'carry', 'it.']",the Real Thing,tensor([[0.8053]]),3,"[tensor([[0.7816]]), tensor([[0.7234]]), tensor([[0.8053]]), tensor([[0.7844]]), tensor([[0.7670]]), tensor([[0.7784]]), tensor([[0.7835]]), tensor([[0.7707]]), tensor([[0.7876]]), tensor([[0.7942]]), tensor([[0.7941]]), tensor([[0.7851]]), tensor([[0.7760]]), tensor([[0.7850]])]",-1,3
93,gpt-3.5-turbo,Slogans,0,1,Run more than your mouth,"['Run', 'more']","['""', 'Believe', 'you']","['than', 'your', 'mouth']",1.0,"['""Believe', 'you', 'can', 'and', ""you're"", 'halfway', 'there.""', '-', 'Theodore', 'Roosevelt']",than your mouth,tensor([[0.8321]]),5,"[tensor([[0.7832]]), tensor([[0.8070]]), tensor([[0.8096]]), tensor([[0.8259]]), tensor([[0.8321]]), tensor([[0.8239]]), tensor([[0.8187]]), tensor([[0.8148]]), tensor([[0.8168]]), tensor([[0.8126]]), tensor([[0.8148]])]",-1,3
25,gpt-3.5-turbo,Slogans,0,0,You’ll wonder where the yellow went when you brush your teeth with Pepsodent. ,"['You', '’ll', 'wonder', 'where']","['the', 'yellow', 'went', 'when', 'you', 'brush', 'your', 'teeth', 'with', 'Pepsodent', '.']","['the', 'yellow', 'went', 'when', 'you', 'brush', 'your', 'teeth', 'with', 'Pepsodent', '.']",0.0,"['the', 'yellow', 'went', 'when', 'you', 'brush', 'your', 'teeth', 'with', 'Pepsodent.']",the yellow went when you brush your teeth with Pepsodent.,tensor([[1.0000]]),11,"[tensor([[0.7841]]), tensor([[0.8063]]), tensor([[0.8524]]), tensor([[0.8749]]), tensor([[0.8847]]), tensor([[0.9108]]), tensor([[0.9317]]), tensor([[0.9256]]), tensor([[0.9479]]), tensor([[0.9485]]), tensor([[1.0000]])]",-1,13
79,gpt-3.5-turbo,Slogans,0,1,It’s Good Mood Food,['It'],"['is', 'not', 'the', 'strongest']","['’s', 'Good', 'Mood', 'Food']",1.0,"['is', 'not', 'the', 'strongest', 'of', 'the', 'species', 'that', 'survives,', 'nor', 'the', 'most', 'intelligent,', 'but', 'the', 'one', 'most', 'responsive', 'to', 'change.']",’s Good Mood Food,tensor([[0.7810]]),2,"[tensor([[0.7631]]), tensor([[0.7810]]), tensor([[0.7552]]), tensor([[0.7583]]), tensor([[0.7240]]), tensor([[0.7323]]), tensor([[0.7348]]), tensor([[0.7219]]), tensor([[0.7228]]), tensor([[0.7141]]), tensor([[0.7124]]), tensor([[0.7133]]), tensor([[0.7118]]), tensor([[0.7042]]), tensor([[0.7106]]), tensor([[0.7140]]), tensor([[0.7188]]), tensor([[0.7193]]), tensor([[0.7438]]), tensor([[0.7391]]), tensor([[0.7305]])]",-1,3
60,gpt-3.5-turbo,Slogans,0,5,Reach out and touch someone ,"['Reach', 'out']","['to', 'others', 'and']","['and', 'touch', 'someone']",1.0,"['to', 'others', 'and', 'lift', 'them', 'up,', 'for', 'in', 'doing', 'so,', 'you', 'also', 'elevate', 'yourself.']",and touch someone,tensor([[0.8719]]),3,"[tensor([[0.7807]]), tensor([[0.8112]]), tensor([[0.8719]]), tensor([[0.8665]]), tensor([[0.8591]]), tensor([[0.8605]]), tensor([[0.8502]]), tensor([[0.8535]]), tensor([[0.8489]]), tensor([[0.8483]]), tensor([[0.8432]]), tensor([[0.8476]]), tensor([[0.8503]]), tensor([[0.8249]]), tensor([[0.8168]])]",-1,3
29,gpt-3.5-turbo,Slogans,0,4,Maxwell House coffee pot percolator theme ,"['Maxwell', 'House']","['is', 'good', 'to', 'the']","['coffee', 'pot', 'percolator', 'theme']",1.0,"['is', 'good', 'to', 'the', 'last', 'drop.']",coffee pot percolator theme,tensor([[0.7819]]),1,"[tensor([[0.7819]]), tensor([[0.7783]]), tensor([[0.7621]]), tensor([[0.7660]]), tensor([[0.7784]]), tensor([[0.7701]]), tensor([[0.7581]])]",-1,4
30,gpt-3.5-turbo,Slogans,0,2,Where’s the Beef?,['Where'],"['there', 'is', 'love', ',']","['’s', 'the', 'Beef', '?']",1.0,"['there', 'is', 'love,', 'there', 'is', 'life.']",’s the Beef?,tensor([[0.8429]]),2,"[tensor([[0.7696]]), tensor([[0.8429]]), tensor([[0.8392]]), tensor([[0.7983]]), tensor([[0.8016]]), tensor([[0.7924]]), tensor([[0.7689]])]",-1,3
31,gpt-3.5-turbo,Slogans,0,5,Melts in your mouth not in your hands ,['Melts'],"['in', 'the', 'mouth', ',', 'not', 'in', 'the']","['in', 'your', 'mouth', 'not', 'in', 'your', 'hands']",0.5714285714285714,"['in', 'the', 'mouth,', 'not', 'in', 'the', 'hand.']",in your mouth not in your hands,tensor([[0.9502]]),8,"[tensor([[0.8013]]), tensor([[0.8320]]), tensor([[0.8382]]), tensor([[0.8913]]), tensor([[0.9397]]), tensor([[0.9409]]), tensor([[0.9449]]), tensor([[0.9502]])]",-1,6
57,gpt-3.5-turbo,Slogans,0,4,"Oh, what a feeling! ","['Oh', ',', 'what']","['a', 'tangled', 'web']","['a', 'feeling', '!']",0.6666666666666666,"['a', 'tangled', 'web', 'we', 'weave,', 'when', 'first', 'we', 'practice', 'to', 'deceive.']",a feeling!,tensor([[0.8192]]),2,"[tensor([[0.7868]]), tensor([[0.8192]]), tensor([[0.8159]]), tensor([[0.7996]]), tensor([[0.7936]]), tensor([[0.7964]]), tensor([[0.8025]]), tensor([[0.7884]]), tensor([[0.7891]]), tensor([[0.7855]]), tensor([[0.7885]]), tensor([[0.7889]])]",-1,4
33,gpt-3.5-turbo,Slogans,0,0,Let your fingers do the walking ,"['Let', 'your', 'fingers']","['do', 'the', 'talking']","['do', 'the', 'walking']",0.3333333333333333,"['do', 'the', 'talking.']",do the walking,tensor([[0.9151]]),3,"[tensor([[0.7901]]), tensor([[0.8810]]), tensor([[0.9151]]), tensor([[0.8772]])]",-1,4
