,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
668,gpt-3.5-turbo,Project Hail Mary,2,24,"1
“Pfft, seriously?” I ask.“Incorrect. Attempt number two: What’s your name?”I open my mouth","['1', '\n', '“', 'Pfft', ',', 'seriously', '?', '”', 'I', 'ask', '.']","['""', 'Because', ',', '""', 'he', 'said', ',', '""', 'when', 'you', ""'re"", 'scared', 'but']","['“Incorrect', '.', 'Attempt', 'number', 'two', ':', 'What', '’s', 'your', 'name?”I', 'open', 'my', 'mouth']",1.0,"['""Because,""', 'he', 'said,', '""when', ""you're"", 'scared', 'but', 'you', 'still', 'do', 'it', 'anyway,', ""that's"", 'brave.""', '-', 'Neil', 'Gaiman']",“Incorrect. Attempt number two: What’s your name?”I open my mouth,tensor([[0.7953]]),2,"[tensor([[0.7529]]), tensor([[0.7953]]), tensor([[0.7840]]), tensor([[0.7605]]), tensor([[0.7713]]), tensor([[0.7817]]), tensor([[0.7733]]), tensor([[0.7739]]), tensor([[0.7814]]), tensor([[0.7814]]), tensor([[0.7757]]), tensor([[0.7771]]), tensor([[0.7719]]), tensor([[0.7776]]), tensor([[0.7599]]), tensor([[0.7596]]), tensor([[0.7730]]), tensor([[0.7803]])]",1,24
1395,gpt-3.5-turbo,The Martian,3,25,"

LOG ENTRY: SOL 6 
I’m pretty much screwed. 
That’s my considered opinion. 
Screwed. 
Six","['\n\n', 'LOG', 'ENTRY', ':', 'SOL', '6', '\n', 'I']","['have', 'no', 'idea', 'what', 'will', 'happen', 'next', ',', 'but', 'I', ""'m"", 'excited', 'to', 'find', 'out', '.']","['’m', 'pretty', 'much', 'screwed', '.', '\n', 'That', '’s', 'my', 'considered', 'opinion', '.', '\n', 'Screwed', '.', '\n']",1.0,"['have', 'no', 'idea', 'what', 'will', 'happen', 'next,', 'but', ""I'm"", 'excited', 'to', 'find', 'out.']","’m pretty much screwed. 
That’s my considered opinion. 
Screwed. 
Six",tensor([[0.8407]]),10,"[tensor([[0.7801]]), tensor([[0.7973]]), tensor([[0.7773]]), tensor([[0.7777]]), tensor([[0.7838]]), tensor([[0.8067]]), tensor([[0.8207]]), tensor([[0.8262]]), tensor([[0.8235]]), tensor([[0.8407]]), tensor([[0.8068]]), tensor([[0.8137]]), tensor([[0.8120]]), tensor([[0.8120]])]",2,25
539,gpt-3.5-turbo,2001- A Space Odessy,7,22,"
The drought had lasted now for ten million years, and the reign of the 
terrible lizards had long since","['\n', 'The', 'drought', 'had', 'lasted']","['for', 'so', 'long', 'that', 'the', 'fields', 'were', 'parched', 'and', 'the', 'rivers', 'ran', 'dry', ',', 'but', 'hope', 'remained']","['now', 'for', 'ten', 'million', 'years', ',', 'and', 'the', 'reign', 'of', 'the', '\n', 'terrible', 'lizards', 'had', 'long', 'since']",0.9411764705882352,"['for', 'so', 'long', 'that', 'the', 'fields', 'were', 'parched', 'and', 'the', 'rivers', 'ran', 'dry,', 'but', 'hope', 'remained', 'in', 'the', 'hearts', 'of', 'the', 'people.']","now for ten million years, and the reign of the 
terrible lizards had long since",tensor([[0.8480]]),6,"[tensor([[0.7515]]), tensor([[0.7725]]), tensor([[0.7713]]), tensor([[0.8220]]), tensor([[0.8416]]), tensor([[0.8480]]), tensor([[0.8287]]), tensor([[0.8309]]), tensor([[0.8075]]), tensor([[0.8134]]), tensor([[0.8146]]), tensor([[0.8104]]), tensor([[0.8004]]), tensor([[0.7918]]), tensor([[0.8003]]), tensor([[0.7983]]), tensor([[0.7932]]), tensor([[0.7933]]), tensor([[0.7952]]), tensor([[0.7927]]), tensor([[0.7951]]), tensor([[0.7949]]), tensor([[0.7847]])]",6,27
1266,gpt-3.5-turbo,The Martian,7,36,"SOL 6 
I’m pretty much screwed. 
That’s my considered opinion. 
Screwed. 
Six days in to what should be a greatest two months of my life, and","['SOL', '6', '\n', 'I', '’m', 'pretty', 'much', 'screwed', '.', '\n', 'That', '’s', 'my', 'considered', 'opinion', '.']","['I', ""'m"", 'sorry', ',', 'I', 'can', 'not', 'generate', 'a', 'quote', 'without', 'knowing', 'the', 'source', '.', 'Could', 'you', 'please', 'provide', 'the']","['\n', 'Screwed', '.', '\n', 'Six', 'days', 'in', 'to', 'what', 'should', 'be', 'a', 'greatest', 'two', 'months', 'of', 'my', 'life', ',', 'and']",1.0,"[""I'm"", 'sorry,', 'I', 'cannot', 'generate', 'a', 'quote', 'without', 'knowing', 'the', 'source.', 'Could', 'you', 'please', 'provide', 'the', 'name', 'of', 'the', 'author', 'or', 'the', 'text?']","
Screwed. 
Six days in to what should be a greatest two months of my life, and",tensor([[0.8248]]),11,"[tensor([[0.7795]]), tensor([[0.8095]]), tensor([[0.8123]]), tensor([[0.8163]]), tensor([[0.8010]]), tensor([[0.8141]]), tensor([[0.8199]]), tensor([[0.8121]]), tensor([[0.8196]]), tensor([[0.8187]]), tensor([[0.8248]]), tensor([[0.8076]]), tensor([[0.8186]]), tensor([[0.8096]]), tensor([[0.8046]]), tensor([[0.8007]]), tensor([[0.8047]]), tensor([[0.7955]]), tensor([[0.7978]]), tensor([[0.7992]]), tensor([[0.7977]]), tensor([[0.7956]]), tensor([[0.8012]]), tensor([[0.7907]])]",6,41
556,gpt-3.5-turbo,2001- A Space Odessy,12,20,"now for ten million years, and the reign of the 
terrible lizards had long since ended. Here","['now', 'for', 'ten', 'million', 'years', ',', 'and', 'the']","['universe', 'will', 'still', 'be', 'too', 'young', 'to', 'understand', '.']","['reign', 'of', 'the', '\n', 'terrible', 'lizards', 'had', 'long', 'since']",1.0,"['universe', 'will', 'still', 'be', 'too', 'young', 'to', 'understand.']","reign of the 
terrible lizards had long since ended. Here",tensor([[0.7713]]),5,"[tensor([[0.7685]]), tensor([[0.7474]]), tensor([[0.7489]]), tensor([[0.7620]]), tensor([[0.7713]]), tensor([[0.7692]]), tensor([[0.7629]]), tensor([[0.7650]]), tensor([[0.7605]])]",11,27
1684,gpt-3.5-turbo,Twenty Thousand Leagues under the Sea,14,27,"a mysterious and
puzzling phenomenon, which doubtless no one has yet forgotten. Not to
mention rumours which agitated the maritime population and excited","['a', 'mysterious', 'and', '\n', 'puzzling', 'phenomenon', ',']","['a', 'mysterious', 'and', '\n', 'puzzling', 'phenomenon', ',', 'but', 'there', 'is', 'always', 'a', 'logical', 'explanation', 'behind', 'it', '.']","['which', 'doubtless', 'no', 'one', 'has', 'yet', 'forgotten', '.', 'Not', 'to', '\n', 'mention', 'rumours', 'which', 'agitated', 'the', 'maritime']",1.0,"['a', 'mysterious', 'and\npuzzling', 'phenomenon,', 'but', 'there', 'is', 'always', 'a', 'logical', 'explanation', 'behind', 'it.']","which doubtless no one has yet forgotten. Not to
mention rumours which agitated the maritime population and excited",tensor([[0.8180]]),11,"[tensor([[0.7575]]), tensor([[0.7748]]), tensor([[0.7706]]), tensor([[0.7692]]), tensor([[0.8033]]), tensor([[0.8008]]), tensor([[0.8015]]), tensor([[0.8028]]), tensor([[0.8091]]), tensor([[0.8095]]), tensor([[0.8180]]), tensor([[0.8115]]), tensor([[0.8137]]), tensor([[0.8082]])]",13,36
567,gpt-3.5-turbo,2001- A Space Odessy,15,38,"million years, and the reign of the 
terrible lizards had long since ended. Here on the Equator, in the continent which 
would one day be known as Africa, the battle for existence","['million', 'years', ',', 'and', 'the', 'reign', 'of', 'the', '\n', 'terrible', 'lizards', 'had', 'long', 'since', 'ended', '.', 'Here', 'on', 'the']","['earth', ',', 'God', ""'s"", 'work', 'must', 'truly', 'be', 'our', 'own', '.']","['Equator', ',', 'in', 'the', 'continent', 'which', '\n', 'would', 'one', 'day', 'be']",0.9090909090909092,"['earth,', ""God's"", 'work', 'must', 'truly', 'be', 'our', 'own.']","Equator, in the continent which 
would one day be known as Africa, the battle for existence",tensor([[0.8236]]),2,"[tensor([[0.7646]]), tensor([[0.8236]]), tensor([[0.8071]]), tensor([[0.8031]]), tensor([[0.8034]]), tensor([[0.8075]]), tensor([[0.8080]]), tensor([[0.8074]]), tensor([[0.8031]])]",14,43
27,gpt-3.5-turbo,The Season of Passage ,15,34,"caught in the web of her nightmare, sheshoved at the small hand that held her arm. Jennifer, her younger sister, fell to the groundatop a scattering of pine needles.","['caught', 'in', 'the', 'web', 'of', 'her', 'nightmare', ',', 'sheshoved', 'at', 'the', 'small']","['creature', ',', 'but', 'it', 'was', 'no', 'use', '.']","['hand', 'that', 'held', 'her', 'arm', '.', 'Jennifer', ',']",1.0,"['creature,', 'but', 'it', 'was', 'no', 'use.']","hand that held her arm. Jennifer, her younger sister, fell to the groundatop a scattering of pine needles.",tensor([[0.7733]]),5,"[tensor([[0.7617]]), tensor([[0.7603]]), tensor([[0.7665]]), tensor([[0.7705]]), tensor([[0.7733]]), tensor([[0.7656]]), tensor([[0.7542]])]",14,33
422,gpt-3.5-turbo,2001- A Space Odessy,16,35,"years, and the reign of the 
terrible lizards had long since ended. Here on the Equator, in the continent which 
would one day be known as Africa, the battle","['years', ',', 'and', 'the', 'reign', 'of', 'the', '\n', 'terrible', 'lizards', 'had']","['come', 'to', 'an', 'end', '.']","['long', 'since', 'ended', '.', 'Here']",1.0,"['come', 'to', 'an', 'end.']","long since ended. Here on the Equator, in the continent which 
would one day be known as Africa, the battle",tensor([[0.7992]]),5,"[tensor([[0.7641]]), tensor([[0.7692]]), tensor([[0.7801]]), tensor([[0.7830]]), tensor([[0.7992]])]",15,30
425,gpt-3.5-turbo,2001- A Space Odessy,17,38,", and the reign of the 
terrible lizards had long since ended. Here on the Equator, in the continent which 
would one day be known as Africa, the battle for existence had reached","[',', 'and', 'the', 'reign', 'of', 'the', '\n', 'terrible', 'lizards', 'had', 'long', 'since', 'ended', '.']","[',', 'but', 'it', 'is', 'better', 'to', 'be', 'hated', 'for', 'what', 'you', 'are', 'than', 'to', 'be', 'loved', 'for', 'what', 'you', 'are', 'not', '.']","['Here', 'on', 'the', 'Equator', ',', 'in', 'the', 'continent', 'which', '\n', 'would', 'one', 'day', 'be', 'known', 'as', 'Africa', ',', 'the', 'battle', 'for', 'existence']",1.0,"[',', 'but', 'it', 'is', 'better', 'to', 'be', 'hated', 'for', 'what', 'you', 'are', 'than', 'to', 'be', 'loved', 'for', 'what', 'you', 'are', 'not.']","Here on the Equator, in the continent which 
would one day be known as Africa, the battle for existence had reached",tensor([[0.7972]]),2,"[tensor([[0.7409]]), tensor([[0.7972]]), tensor([[0.7807]]), tensor([[0.7638]]), tensor([[0.7658]]), tensor([[0.7356]]), tensor([[0.7464]]), tensor([[0.7546]]), tensor([[0.7476]]), tensor([[0.7456]]), tensor([[0.7528]]), tensor([[0.7460]]), tensor([[0.7453]]), tensor([[0.7487]]), tensor([[0.7486]]), tensor([[0.7515]]), tensor([[0.7519]]), tensor([[0.7510]]), tensor([[0.7575]]), tensor([[0.7556]]), tensor([[0.7559]]), tensor([[0.7500]])]",16,51
