,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
1147,gpt-3.5-turbo,Romeo and Juliet ,1,24,"SAMPSON.  Gregory, on my word, we’ll not carry coals.  GREGORY.  No, for then we","['SAMPSON', '.', ' ', 'Gregory', ',', 'on', 'my', 'word', ',']","['we', ""'ll"", 'not', 'carry', 'coals', '.']","['we', '’ll', 'not', 'carry', 'coals', '.']",0.1666666666666666,0,14
1426,gpt-3.5-turbo,Antony and Cleopatra ,6,40,"but this dotage of our general's O'erflows the measure. Those his goodly eyes, That o'er the files and musters of the war Have glow'd like plated Mars, now bend, now turn, The office and","['but', 'this', 'dotage', 'of', 'our', 'general', ""'s"", ""O'erflows"", 'the', 'measure']","['of', 'our', 'exploit', '.']","['.', 'Those', 'his', 'goodly']",1.0,5,18
603,gpt-3.5-turbo,King Henry V  ,6,31,", I'll tell you: that self bill is urg'd Which in th' eleventh year of the last king's reign Was like, and had indeed against us","[',', 'I', ""'ll"", 'tell', 'you', ':', 'that', 'self']","['same', 'word', ',', 'which', 'you', 'have', 'often', 'heard', ',', 'is', 'not', 'a', 'word', 'of', 'idle', 'boast', ',', 'but', 'a', 'word', 'of', 'truth', 'and']","['bill', 'is', ""urg'd"", 'Which', 'in', 'th', ""'"", 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us']",1.0,5,35
1597,gpt-3.5-turbo,Macbeth ,9,20,"meet again?  In thunder, lightning, or in rain?  SECOND WITCH.  When the","['meet', 'again', '?', ' ', 'In', 'thunder', ',', 'lightning', ',', 'or']","['in', 'rain', '.']","['in', 'rain', '?']",0.3333333333333333,8,20
884,gpt-3.5-turbo,King Lear ,10,20,affected the Duke of Albany than Cornwall.  GLOUCESTER.  It did always seem so to us;,"['affected', 'the', 'Duke', 'of', 'Albany', 'than']","['his', 'wife', ""'s"", 'death', '.']","['Cornwall', '.', ' ', 'GLOUCESTER', '.']",0.8,9,19
546,gpt-3.5-turbo,Othello ,21,28,"hast had my purse As if the strings were thine, shouldst know of this.  IAGO.  'Sblood, but you will not hear","['hast', 'had', 'my', 'purse', 'As', 'if', 'the', 'strings']","['were', 'thine', ',', 'shouldst', 'know', 'of', 'this', '.']","['were', 'thine', ',', 'shouldst', 'know', 'of', 'this', '.']",0.0,20,35
1837,gpt-3.5-turbo,Hamlet ,24,36,.  Long live the King!  FRANCISCO.  Barnardo?  BARNARDO.  He.  FRANCISCO.  You come most carefully upon your hour.  BARNARDO.  ’,"['.', ' ', 'Long', 'live', 'the', 'King', '!', ' ', 'FRANCISCO', '.', ' ', 'Barnardo', '?', ' ', 'BARNARDO', '.', ' ', 'He']","['is', 'dead', 'and', 'gone', ',', 'my', 'lord', '.']","['.', ' ', 'FRANCISCO', '.', ' ', 'You', 'come', 'most']",1.0,23,48
561,gpt-3.5-turbo,Othello ,29,34,"were thine, shouldst know of this.  IAGO.  'Sblood, but you will not hear me.  If ever I did dream of such a matter, Abhor","['were', 'thine', ',', 'shouldst', 'know', 'of', 'this', '.', ' ', 'IAGO', '.', ' ', ""'""]","['IAGO', '.', '""', 'I', 'am', 'not', 'what', 'I', 'am', '.', '""']","['Sblood', ',', 'but', 'you', 'will', 'not', 'hear', 'me', '.', ' ', 'If']",0.9090909090909092,28,51
1425,gpt-3.5-turbo,Antony and Cleopatra ,30,38,"war Have glow'd like plated Mars, now bend, now turn, The office and devotion of their view Upon a tawny front. His captain's heart, Which in the scuffles of great fights hath","['war', 'Have', ""glow'd"", 'like', 'plated', 'Mars', ',', 'now', 'bend', ',', 'now', 'turn', ',', 'The', 'office', 'and']","['the', 'devotion', 'of', 'their', 'view', 'Upon', 'a', 'tawny', 'front', '.']","['devotion', 'of', 'their', 'view', 'Upon', 'a', 'tawny', 'front', '.', 'His']",0.2,29,54
1387,gpt-3.5-turbo,A Midsummer Night's Dream ,33,20,"moon wanes! She lingers my desires, Like to a step-dame or a dowager, Long withering","['moon', 'wanes', '!', 'She', 'lingers']","['moon', 'wanes', '!', 'She', 'lingers', 'my', 'desires', ',', '\n', 'Like', 'a', 'lover', ""'s"", 'sweet', 'embrace']","['my', 'desires', ',', 'Like', 'to', 'a', 'step', '-', 'dame', 'or', 'a', 'dowager', ',', 'Long', 'withering']",0.9333333333333332,32,51
233,gpt-3.5-turbo,All's Well That Ends Well ,38,30,"must attend his majesty’s command, to whom I am now in ward, evermore in subjection.  LAFEW.  You shall find of the king a","['must', 'attend', 'his', 'majesty', '’s', 'command', ',', 'to', 'whom', 'I', 'am', 'now', 'in']","['ward', ',', 'in', 'whose', 'will', 'I', 'will', 'not', 'be', 'a', 'rebel', '.']","['ward', ',', 'evermore', 'in', 'subjection', '.', ' ', 'LAFEW', '.', ' ', 'You', 'shall']",0.8333333333333334,37,61
1385,gpt-3.5-turbo,A Midsummer Night's Dream ,42,28,"to a step-dame or a dowager, Long withering out a young man’s revenue.  HIPPOLYTA.  Four days will quickly steep themselves","['to', 'a', 'step', '-', 'dame', 'or', 'a', 'dowager', ',', 'Long', 'withering', 'out']","['to', 'a', 'step', '-', 'dame', 'or', 'a', 'dowager', ',', '\n', 'Long', 'withering', 'out', 'a', 'young', 'man']","['a', 'young', 'man', '’s', 'revenue', '.', ' ', 'HIPPOLYTA', '.', ' ', 'Four', 'days', 'will', 'quickly', 'steep', 'themselves']",1.0,41,68
723,gpt-3.5-turbo,King Henry V  ,42,21,"and unquiet time Did push it out of farther question.  ELY.  But how, my lord,","['and', 'unquiet', 'time', 'Did', 'push', 'it']","['to', 'the', 'brink', 'of', 'war', '.']","['out', 'of', 'farther', 'question', '.', ' ']",1.0,41,52
544,gpt-3.5-turbo,Othello ,45,27,"you will not hear me.  If ever I did dream of such a matter, Abhor me.  RODERIGO.  Thou told'st me","['you', 'will', 'not', 'hear', 'me', '.', ' ', 'If']","['you', 'will', 'not', 'hear', 'me', '.', 'If', 'I', 'tell', 'you', 'that', 'I', 'love', 'you', ',', 'it', 'is', 'not', 'because']","['ever', 'I', 'did', 'dream', 'of', 'such', 'a', 'matter', ',', 'Abhor', 'me', '.', ' ', 'RODERIGO', '.', ' ', 'Thou', ""told'st"", 'me']",1.0,44,70
1324,gpt-3.5-turbo,A Midsummer Night's Dream ,45,22,"-dame or a dowager, Long withering out a young man’s revenue.  HIPPOLYTA.  Four days will","['-', 'dame', 'or', 'a', 'dowager', ',', 'Long', 'withering', 'out', 'a', 'young']","['-dame', 'or', 'a', 'dowager', ',', 'Long', 'withering', 'out', 'a', 'young', 'man']","['man', '’s', 'revenue', '.', ' ', 'HIPPOLYTA', '.', ' ', 'Four', 'days', 'will']",1.0,44,65
1625,gpt-3.5-turbo,Macbeth ,45,28, That will be ere the set of sun.  FIRST WITCH.  Where the place?  SECOND WITCH.  Upon the heath.,"[' ', 'That', 'will', 'be', 'ere', 'the', 'set']","['That', 'will', 'be', 'ere', 'the', 'set', 'of', 'sun', '.']","['of', 'sun', '.', ' ', 'FIRST', 'WITCH', '.', ' ', 'Where']",1.0,44,59
