,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
1572,gpt-3.5-turbo,The Aim Was Song,4,37,"to blow it right
The wind once blew itself untaught,
And did its loudest day and night
In any rough place where it caught.
Man came to tell it what was","['to', 'blow', 'it', 'right', '\n', 'The', 'wind', 'once', 'blew', 'itself', 'untaught', ',', '\n', 'And']","['to', 'blow', 'it', 'right', ',', '\n', 'The', 'wind', 'once', 'blew', 'itself', 'untaught', ',', '\n', 'And', 'in', 'that', 'blowing', 'did', 'ignite', ',', '\n', 'A']","['did', 'its', 'loudest', 'day', 'and', 'night', '\n', 'In', 'any', 'rough', 'place', 'where', 'it', 'caught', '.', '\n', 'Man', 'came', 'to', 'tell', 'it', 'what', 'was']",1.0,3,39
1738,gpt-3.5-turbo,Ode on Melancholy,5,35,"go not to Lethe, neither twist
Wolf's-bane, tight-rooted, for its poisonous wine;
Nor suffer thy pale forehead to be kiss'd
By nightshade, ruby","['go', 'not', 'to', 'Lethe', ',']","['go', 'not', 'to', 'Lethe', ',', 'neither', 'twist', '\n', ""Wolf's"", '-', 'bane', ',', 'tight', '-', 'rooted', ',', 'for', 'its', 'poisonous', 'wine']","['neither', 'twist', '\n', ""Wolf's"", '-', 'bane', ',', 'tight', '-', 'rooted', ',', 'for', 'its', 'poisonous', 'wine', ';', '\n', 'Nor', 'suffer', 'thy']",0.5,4,28
1396,gpt-3.5-turbo,The Aim Was Song,5,21,"blow it right
The wind once blew itself untaught,
And did its loudest day and night
In","['blow', 'it', 'right', '\n', 'The']","['""', 'blow', 'it', 'right', 'out', 'of', 'the', 'water', '.', '""']","['wind', 'once', 'blew', 'itself', 'untaught', ',', '\n', 'And', 'did', 'its']",1.0,4,18
657,gpt-3.5-turbo,Porphyria’s Lover,5,20,"in to-night,
The sullen wind was soon awake,
It tore the elm-tops","['in', 'to', '-', 'night', ',', '\n', 'The', 'sullen']","['storm', '\n', 'Gathers', 'overhead']","['wind', 'was', 'soon', 'awake']",1.0,4,15
197,gpt-3.5-turbo,The Angel,7,35,"What can it mean?
And that I was a maiden Queen
Guarded by an Angel mild:
Witless woe was ne’er beguiled!
And I wept both night and day","['What', 'can', 'it', 'mean', '?', '\n', 'And', 'that', 'I', 'was', 'a', 'maiden', 'Queen', '\n', 'Guarded']","['by', 'an', 'Angel', 'mild', ':', '\n', 'Witless', 'woe', 'was', ""ne'er"", 'beguiled', '!']","['by', 'an', 'Angel', 'mild', ':', '\n', 'Witless', 'woe', 'was', 'ne’er', 'beguiled', '!']",0.0833333333333333,6,32
1203,gpt-3.5-turbo,Snow in the Suburbs,7,26,"
Bent every twig with it;
Every fork like a white web-foot;
Every street and pavement mute:
Some","['\n', 'Bent', 'every', 'twig', 'with']","['the', 'weight', 'of', 'snow', '.']","['it', ';', '\n', 'Every', 'fork']",1.0,6,15
1777,gpt-3.5-turbo,THE SIEGE OF KAZAN,8,22,"
And their stagnant waters smell of blood:
I said in my heart, with horse and man,
","['\n', 'And', 'their', 'stagnant', 'waters']","['And', 'their', 'stagnant', 'waters', 'became', 'a', 'breeding', 'ground', 'for', 'despair', 'and', 'hopelessness', '.']","['smell', 'of', 'blood', ':', '\n', 'I', 'said', 'in', 'my', 'heart', ',', 'with', 'horse']",1.0,7,24
940,gpt-3.5-turbo,"Long, Too Long America",8,30,"Traveling roads all even and peaceful you learn'd from joys and prosperity only,
But now, ah now, to learn from crises of anguish, advancing,","['Traveling', 'roads', 'all', 'even', 'and', 'peaceful', 'you', ""learn'd"", 'from']","['Traveling', 'roads', 'all', 'even', 'and', 'peaceful', 'you', ""learn'd"", 'from', 'those', 'whose', 'hearts', 'were', 'with', 'you', ',', 'and', 'who', 'would', 'not', 'sell']","['joys', 'and', 'prosperity', 'only', ',', '\n', 'But', 'now', ',', 'ah', 'now', ',', 'to', 'learn', 'from', 'crises', 'of', 'anguish', ',', 'advancing', ',']",1.0,7,36
147,gpt-3.5-turbo,The Angel,8,31,"can it mean?
And that I was a maiden Queen
Guarded by an Angel mild:
Witless woe was ne’er beguiled!
And I wept both","['can', 'it', 'mean', '?', '\n', 'And', 'that', 'I', 'was', 'a', 'maiden']","['fair', 'and', 'pure', ',', '\n', 'Untouched', 'by', 'sorrow', 'and', 'by', 'sin', ""'s"", 'allure', '.']","['Queen', '\n', 'Guarded', 'by', 'an', 'Angel', 'mild', ':', '\n', 'Witless', 'woe', 'was', 'ne’er', 'beguiled']",1.0,7,31
1218,gpt-3.5-turbo,Snow in the Suburbs,8,24,"Bent every twig with it;
Every fork like a white web-foot;
Every street and pavement mute:
","['Bent', 'every', 'twig', 'with', 'it', ';', '\n', 'Every']","['branch', 'was', 'weighted', 'with', 'it', '.']","['fork', 'like', 'a', 'white', 'web', '-']",1.0,7,20
1446,gpt-3.5-turbo,The Aim Was Song,8,23,"
The wind once blew itself untaught,
And did its loudest day and night
In any rough place where it","['\n', 'The', 'wind', 'once', 'blew', 'itself', 'untaught', ',', '\n']","['And', 'whispered', 'secrets', 'in', 'my', 'ear', ',', '\n', 'Of', 'melodies', 'that', 'ca', ""n't"", 'be']","['And', 'did', 'its', 'loudest', 'day', 'and', 'night', '\n', 'In', 'any', 'rough', 'place', 'where', 'it']",0.8571428571428571,7,29
1244,gpt-3.5-turbo,Snow in the Suburbs,14,33,"
Every fork like a white web-foot;
Every street and pavement mute:
Some flakes have lost their way, and grope back upward when
Meeting those","['\n', 'Every', 'fork', 'like', 'a']","['branch', ',', 'every', 'branch', 'like', 'a', 'tree', ',', 'every', 'tree', 'like', 'a', 'forest', '.']","['white', 'web', '-', 'foot', ';', '\n', 'Every', 'street', 'and', 'pavement', 'mute', ':', '\n', 'Some']",1.0,13,31
1113,gpt-3.5-turbo,Acrostic,14,34,",
Reading with attentive eye
Its enticing history,
Never think that hours of play
Are your only HOLIDAY,
And that in a HOUSE of joy
Lessons","[',', '\n', 'Reading', 'with', 'attentive', 'eye', '\n', 'Its', 'enticing']","['rhyme', 'and', 'rhythm', ',', 'I', 'ca', ""n't"", 'deny', '.']","['history', ',', '\n', 'Never', 'think', 'that', 'hours', 'of', 'play']",1.0,13,30
