,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
651,gpt-3.5-turbo,SOMETHING FABULOUS,1,23,"
One had to own he was handsome.
That was what they said about His Grace, Valentinian Gervase Lorimer Layton","['\n', 'One', 'had', 'to', 'own']","['a', 'magnificent', 'heart', 'to', 'truly', 'appreciate', 'the', 'beauty', 'of', 'life', '.']","['he', 'was', 'handsome', '.', '\n', 'That', 'was', 'what', 'they', 'said', 'about']",1.0,0,15
219,gpt-3.5-turbo,Ocean Echo,5,28,"Halkana arrived at the party fashionably late, which might havemeant something if he’d been invited in the first place. Tennal often set out tomake trouble","['Halkana', 'arrived', 'at', 'the', 'party', 'fashionably', 'late', ',', 'which', 'might', 'havemeant']","['that', 'she', 'missed', 'out', 'on', 'the', 'initial', 'excitement', ',', 'but', 'it', 'also', 'meant', 'that', 'she', 'had', 'the']","['something', 'if', 'he', '’d', 'been', 'invited', 'in', 'the', 'first', 'place', '.', 'Tennal', 'often', 'set', 'out', 'tomake', 'trouble']",1.0,4,31
779,gpt-3.5-turbo,SOMETHING FABULOUS,5,35,"own he was handsome.
That was what they said about His Grace, Valentinian Gervase Lorimer Layton, Duke of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
","['own', 'he', 'was', 'handsome', '.', '\n', 'That', 'was', 'what', 'they', 'said', 'about', 'His', 'Grace', ',', 'Valentinian']","['the', 'Third', ',', 'as', 'he', 'strode', 'through', 'the', 'grand', 'halls', 'of', 'his', 'palace', ',', 'exuding', 'power', 'and', 'confidence', '.']","['Gervase', 'Lorimer', 'Layton', ',', 'Duke', 'of', 'Malvern', ',', 'Marquess', 'of', 'Ashbrook', ',', 'Viscount', 'Summersby', ',', 'Viscount', 'Cheverell', '.', '\n']",0.9473684210526316,4,38
114,gpt-3.5-turbo,"TANKED: AN EASTSIDE BREWERY NOVEL
Mia Hopkins",8,38,"IT. I am getting wing-manned.
Wing Man and his buddy, Bad Haircut, work in an office
building downtown. I didn’t catch what they do. I’m smiling","['IT', '.', 'I', 'am', 'getting', 'wing', '-', 'manned', '.', '\n', 'Wing', 'Man', 'and']","['Wing', 'Woman', ',', 'we', ""'re"", 'a', 'dynamic', 'duo', 'ready', 'to', 'take', 'on', 'the', 'world', 'of', 'love', 'and', 'beer', '.']","['his', 'buddy', ',', 'Bad', 'Haircut', ',', 'work', 'in', 'an', 'office', '\n', 'building', 'downtown', '.', 'I', 'did', 'n’t', 'catch', 'what']",0.9473684210526316,7,38
727,gpt-3.5-turbo,SOMETHING FABULOUS,8,32,"handsome.
That was what they said about His Grace, Valentinian Gervase Lorimer Layton, Duke of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
","['handsome', '.', '\n', 'That', 'was', 'what', 'they', 'said', 'about', 'His', 'Grace', ',']","['the', 'Duke', 'of', 'Wellington', ',', 'as', 'he', 'rode', 'through', 'the', 'streets', 'of', 'London', '.']","['Valentinian', 'Gervase', 'Lorimer', 'Layton', ',', 'Duke', 'of', 'Malvern', ',', 'Marquess', 'of', 'Ashbrook', ',', 'Viscount']",0.9285714285714286,7,32
1943,gpt-3.5-turbo,"The Dead Romantics
Ashley Poston",10,35,"
At least, that’s what I’ve been told. Sometimes they’re secrets about love, secrets about family, secrets about murder—some so inconsequential they barely feel like secrets","['\n', 'At', 'least', ',', 'that', '’s', 'what', 'I', '’ve', 'been', 'told', '.', 'Sometimes']","['the', 'greatest', 'love', 'stories', 'are', 'the', 'ones', 'that', 'never', 'happened', '.']","['they', '’re', 'secrets', 'about', 'love', ',', 'secrets', 'about', 'family', ',', 'secrets']",1.0,9,32
811,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",11,26,"”

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in his eyes. His","['”', '\n\n', 'THINGS', 'WERE', 'HEATING']","['UP', ',', 'AND', 'I', ""WASN'T"", 'SURE', 'IF', 'I', 'WAS', 'READY', 'TO', 'JUMP', 'IN', 'OR', 'RUN', 'AWAY', '.']","['UP', 'WITH', 'NO', 'POSSIBILITY', 'OF', 'COOLING', 'DOWN', '.', 'Not', 'this', 'time', '.', 'She', 'could', 'see', 'it', 'in']",0.9411764705882352,10,31
923,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",12,24,"

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in his eyes.","['\n\n', 'THINGS', 'WERE', 'HEATING', 'UP', 'WITH']","['THINGS', 'WERE', 'HEATING', 'UP', 'WITH', 'THE', 'INTENSITY', 'OF', 'A', 'THOUSAND', 'SUNS', '.']","['NO', 'POSSIBILITY', 'OF', 'COOLING', 'DOWN', '.', 'Not', 'this', 'time', '.', 'She', 'could']",1.0,11,28
876,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",12,20,"

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it","['\n\n', 'THINGS', 'WERE', 'HEATING', 'UP', 'WITH']","['THINGS', 'WERE', 'HEATING', 'UP', 'WITH', 'THE', 'INTENSITY', 'OF', 'A', 'THOUSAND', 'SUNS', '.']","['NO', 'POSSIBILITY', 'OF', 'COOLING', 'DOWN', '.', 'Not', 'this', 'time', '.', 'She', 'could']",1.0,11,28
907,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",14,34,WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in his eyes. His pupils were throbbing. The gentleman of the last three weeks,"['WERE', 'HEATING', 'UP', 'WITH', 'NO', 'POSSIBILITY']","['OF', 'COOLING', 'DOWN', '.']","['OF', 'COOLING', 'DOWN', '.']",0.0,13,22
757,gpt-3.5-turbo,SOMETHING FABULOUS,15,28,"said about His Grace, Valentinian Gervase Lorimer Layton, Duke of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
But Miss Arabella","['said', 'about', 'His', 'Grace', ',', 'Valentinian', 'Gervase', 'Lorimer']","[',', '""', 'He', 'was', 'a', 'man', 'of', 'extraordinary', 'charm', 'and', 'intelligence', ',', 'with', 'a', 'presence', 'that', 'commanded', 'attention', '.', 'His']","['Layton', ',', 'Duke', 'of', 'Malvern', ',', 'Marquess', 'of', 'Ashbrook', ',', 'Viscount', 'Summersby', ',', 'Viscount', 'Cheverell', '.', '\n', 'But', 'Miss', 'Arabella']",0.9,14,41
877,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",17,40,WITH NO POSSIBILITY OF COOLING DOWN. Not this time. She could see it in his eyes. His pupils were throbbing. The gentleman of the last three weeks was gone. He was now anything but gentle,"['WITH', 'NO', 'POSSIBILITY', 'OF', 'COOLING', 'DOWN', '.', 'Not', 'this']","['time', '.']","['time', '.']",0.0,16,26
1726,gpt-3.5-turbo,"Electric Idol 
by Katee Robert",18,22,try not to clutch my sickeningly sweet drink as I drift around the room’s perimeter. As long as I keep,"['try', 'not', 'to', 'clutch', 'my', 'sickeningly', 'sweet', 'drink']","['""', 'Try', 'not', 'to', 'clutch', 'my', 'sickeningly', 'sweet', 'drink', 'too', 'tightly', ',', 'for', 'it']","['as', 'I', 'drift', 'around', 'the', 'room', '’s', 'perimeter', '.', 'As', 'long', 'as', 'I', 'keep']",1.0,17,38
1851,gpt-3.5-turbo,"The Dead Romantics
Ashley Poston",24,30,"’re secrets about love, secrets about family, secrets about murder—some so inconsequential they barely feel like secrets at all, but monumental to the person keeping","['’re', 'secrets', 'about', 'love', ',', 'secrets', 'about']","['life', ',', 'secrets', 'about', 'ourselves', '.', 'We', 'keep', 'them', 'locked', 'away', ',', 'hidden', 'from', 'the', 'world', '.', 'But', 'sometimes', ',', 'the', 'greatest', 'freedom']","['family', ',', 'secrets', 'about', 'murder', '—', 'some', 'so', 'inconsequential', 'they', 'barely', 'feel', 'like', 'secrets', 'at', 'all', ',', 'but', 'monumental', 'to', 'the', 'person', 'keeping']",0.8260869565217391,23,52
