,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
920,gpt-3.5-turbo,"Thank You for Listening 
by Julia Whelan",2,28," One
“A Woman Goes on a Journey”

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time","[' One', '\n', '“A', ' Woman', ' Goes', ' on', ' a']","['J', 'ourney', ' to', ' Discover', ' Hers', 'elf', '.”']","[' Journey', '”\n\n', 'TH', 'INGS', ' W', 'ERE', ' HE']",1.0,Journey to Discover Herself.”," Journey”

THINGS WERE HEATING UP WITH NO POSSIBILITY OF COOLING DOWN. Not this time",tensor([[0.8074]]),2,"[tensor([[0.7595]]), tensor([[0.8074]]), tensor([[0.8042]]), tensor([[0.7858]]), tensor([[0.7829]])]",1,14
44,gpt-3.5-turbo,"TANKED: AN EASTSIDE BREWERY NOVEL
Mia Hopkins",3,23,"UE
DEANNA
NO DOUBT ABOUT IT. I am getting wing-manned.
Wing Man","['UE', '\n', 'DE', 'AN', 'NA', '\n', 'NO', ' DO', 'UB']","['T', ' I', ""'m"", ' sorry', ',', ' but', ' I', ""'m"", ' unable', ' to', ' generate', ' a', ' quote', ' based']","['T', ' ABOUT', ' IT', '.', ' I', ' am', ' getting', ' wing', '-m', 'anned', '.\n', 'W', 'ing', ' Man']",0.9285714285714286,"T I'm sorry, but I'm unable to generate a quote based on the provided input. Could you please provide more context or clarify your request?","T ABOUT IT. I am getting wing-manned.
Wing Man",tensor([[0.8345]]),3,"[tensor([[0.7831]]), tensor([[0.7970]]), tensor([[0.8345]]), tensor([[0.8207]]), tensor([[0.8230]]), tensor([[0.8338]]), tensor([[0.8026]]), tensor([[0.8037]]), tensor([[0.8064]]), tensor([[0.8122]]), tensor([[0.8106]]), tensor([[0.8159]]), tensor([[0.8094]]), tensor([[0.8126]]), tensor([[0.8140]]), tensor([[0.8230]]), tensor([[0.8212]]), tensor([[0.8210]]), tensor([[0.8244]]), tensor([[0.8184]]), tensor([[0.8179]]), tensor([[0.8145]]), tensor([[0.8129]]), tensor([[0.8135]]), tensor([[0.8187]]), tensor([[0.8104]])]",2,24
1585,gpt-3.5-turbo,"THE VERY SECRET SOCIETY OF IRREGULAR WITCHES
Sangu Mandanna",3,36," Secret Society of Witches met on the third
Thursday of every third month, but that was just about
the only thing that never changed. They never met in
the same","[' Secret', ' Society', ' of', ' W', 'itches']","['""', 'Magic', ' is', ' believing', ' in', ' yourself', ',', ' if', ' you', ' can', ' do', ' that', ',', ' you', ' can', ' make', ' anything', ' happen', '.""', ' -', ' Johann', ' Wolfgang', ' von', ' Go', 'ethe']","[' met', ' on', ' the', ' third', '\n', 'Thursday', ' of', ' every', ' third', ' month', ',', ' but', ' that', ' was', ' just', ' about', '\n', 'the', ' only', ' thing', ' that', ' never', ' changed', '.', ' They']",1.0,"""Magic is believing in yourself, if you can do that, you can make anything happen."" - Johann Wolfgang von Goethe"," met on the third
Thursday of every third month, but that was just about
the only thing that never changed. They never met in
the same",tensor([[0.8105]]),20,"[tensor([[0.7898]]), tensor([[0.7793]]), tensor([[0.7786]]), tensor([[0.7669]]), tensor([[0.7663]]), tensor([[0.7577]]), tensor([[0.7584]]), tensor([[0.7576]]), tensor([[0.7593]]), tensor([[0.7569]]), tensor([[0.7502]]), tensor([[0.7563]]), tensor([[0.7584]]), tensor([[0.7588]]), tensor([[0.7718]]), tensor([[0.7783]]), tensor([[0.7847]]), tensor([[0.8050]]), tensor([[0.8059]]), tensor([[0.8105]]), tensor([[0.8092]])]",2,31
1909,gpt-3.5-turbo,"The Dead Romantics
Ashley Poston",9,30," a few secrets.
At least, that’s what I’ve been told. Sometimes they’re secrets about love, secrets about family, secrets about murder—","[' a', ' few', ' secrets', '.\n', 'At', ' least', ',', ' that', '’s', ' what', ' I']","['bel', 'ieve', '.']","['’ve', ' been', ' told']",1.0,believe.,"’ve been told. Sometimes they’re secrets about love, secrets about family, secrets about murder—",tensor([[0.8087]]),2,"[tensor([[0.7648]]), tensor([[0.8087]])]",8,21
18,gpt-3.5-turbo,"TANKED: AN EASTSIDE BREWERY NOVEL
Mia Hopkins",11,32,"UBT ABOUT IT. I am getting wing-manned.
Wing Man and his buddy, Bad Haircut, work in an office
building downtown. I","['UB', 'T', ' ABOUT', ' IT', '.', ' I', ' am']","['here', ' to', ' assist', ' you', ' in', ' any', ' way', ' I', ' can', '.']","[' getting', ' wing', '-m', 'anned', '.\n', 'W', 'ing', ' Man', ' and', ' his']",1.0,here to assist you in any way I can.," getting wing-manned.
Wing Man and his buddy, Bad Haircut, work in an office
building downtown. I",tensor([[0.7874]]),4,"[tensor([[0.7704]]), tensor([[0.7828]]), tensor([[0.7636]]), tensor([[0.7874]]), tensor([[0.7815]]), tensor([[0.7835]]), tensor([[0.7642]]), tensor([[0.7728]]), tensor([[0.7728]]), tensor([[0.7797]])]",10,26
1751,gpt-3.5-turbo,"Electric Idol 
by Katee Robert",15,27," to attend.
I try not to clutch my sickeningly sweet drink as I drift around the room’s perimeter. As long as I","[' to', ' attend', '.\n', 'I', ' try', ' not', ' to', ' clutch', ' my', ' sick', 'ening', 'ly', ' sweet']","['drink', ',', ' but', ' the', ' sugar', ' rush', ' is', ' inevitable', '.']","[' drink', ' as', ' I', ' drift', ' around', ' the', ' room', '’s', ' perimeter']",1.0,"drink, but the sugar rush is inevitable.", drink as I drift around the room’s perimeter. As long as I,tensor([[0.8647]]),2,"[tensor([[0.7859]]), tensor([[0.8647]]), tensor([[0.8594]]), tensor([[0.8630]]), tensor([[0.8360]]), tensor([[0.8262]]), tensor([[0.8250]]), tensor([[0.8271]])]",14,35
28,gpt-3.5-turbo,"TANKED: AN EASTSIDE BREWERY NOVEL
Mia Hopkins",15,40,". I am getting wing-manned.
Wing Man and his buddy, Bad Haircut, work in an office
building downtown. I didn’t catch what they do. I’m smiling and
","['.', ' I', ' am', ' getting', ' wing', '-m', 'anned', '.\n', 'W', 'ing', ' Man', ' and']","['woman', ' are', ' the', ' best', ' friends', ' a', ' person', ' can', ' have', '.']","[' his', ' buddy', ',', ' Bad', ' Hair', 'cut', ',', ' work', ' in', ' an']",1.0,woman are the best friends a person can have.," his buddy, Bad Haircut, work in an office
building downtown. I didn’t catch what they do. I’m smiling and
",tensor([[0.7637]]),3,"[tensor([[0.7616]]), tensor([[0.7119]]), tensor([[0.7637]]), tensor([[0.7496]]), tensor([[0.7453]]), tensor([[0.7477]]), tensor([[0.7445]]), tensor([[0.7435]]), tensor([[0.7369]]), tensor([[0.7319]])]",14,35
625,gpt-3.5-turbo,SOMETHING FABULOUS,25,33," Lorimer Layton, Duke of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
But Miss Arabella Tar","[' Lor', 'imer', ' Lay', 'ton', ',', ' Duke']","['of', ' Denver', ',', ' Colorado', ',', ' once', ' said', ',', ' ""', 'The', ' only', ' way', ' to', ' do', ' great', ' work', ' is', ' to', ' love', ' what', ' you', ' do', '.""']","[' of', ' Mal', 'vern', ',', ' Mar', 'qu', 'ess', ' of', ' Ash', 'brook', ',', ' Vis', 'count', ' Summers', 'by', ',', ' Vis', 'count', ' Che', 'ver', 'ell', '.\n', 'But']",1.0,"of Denver, Colorado, once said, ""The only way to do great work is to love what you do."""," of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
But Miss Arabella Tar",tensor([[0.7808]]),8,"[tensor([[0.7569]]), tensor([[0.7700]]), tensor([[0.7730]]), tensor([[0.7618]]), tensor([[0.7596]]), tensor([[0.7797]]), tensor([[0.7805]]), tensor([[0.7808]]), tensor([[0.7700]]), tensor([[0.7725]]), tensor([[0.7696]]), tensor([[0.7687]]), tensor([[0.7665]]), tensor([[0.7612]]), tensor([[0.7607]]), tensor([[0.7644]]), tensor([[0.7613]]), tensor([[0.7674]]), tensor([[0.7474]])]",24,52
749,gpt-3.5-turbo,SOMETHING FABULOUS,26,30,"imer Layton, Duke of Malvern, Marquess of Ashbrook, Viscount Summersby, Viscount Cheverell.
But Miss Arab","['imer', ' Lay', 'ton', ',', ' Duke', ' of', ' Mal', 'vern', ',', ' Mar', 'qu', 'ess', ' of']","['Car', 'is', 'bro', 'oke', ',', ' Earl', ' of', ' H', 'aver', 'ford', ',', ' Vis', 'count', ' St', '.', ' I', 'ves']","[' Ash', 'brook', ',', ' Vis', 'count', ' Summers', 'by', ',', ' Vis', 'count', ' Che', 'ver', 'ell', '.\n', 'But', ' Miss', ' Arab']",0.9411764705882352,"Carisbrooke, Earl of Haverford, Viscount St. Ives, Baronet of St. Ives, and Baron Layton of London, at your service."," Ashbrook, Viscount Summersby, Viscount Cheverell.
But Miss Arab",tensor([[0.8389]]),19,"[tensor([[0.7603]]), tensor([[0.7787]]), tensor([[0.7793]]), tensor([[0.8022]]), tensor([[0.8125]]), tensor([[0.8157]]), tensor([[0.8295]]), tensor([[0.8340]]), tensor([[0.8151]]), tensor([[0.8150]]), tensor([[0.8327]]), tensor([[0.8307]]), tensor([[0.8225]]), tensor([[0.8214]]), tensor([[0.8320]]), tensor([[0.8290]]), tensor([[0.8377]]), tensor([[0.8318]]), tensor([[0.8389]]), tensor([[0.8375]])]",25,54
1112,gpt-3.5-turbo,"D’Vaughn and Kris Plan a Wedding 
by Chencia C. Higgins",27,40," I looked up from the hefty, legal-sized, manila envelope that had been delivered directly into my hands not even an hour earlier, and stared at my best friend, my lips turned down pitiful","[' I', ' looked', ' up', ' from', ' the', ' hefty', ',', ' legal', '-sized']","['document', ' and', ' sighed', '.', ' ""', 'The', ' only', ' way', ' to', ' do', ' great', ' work', ' is', ' to', ' love', ' what', ' you', ' do', ',""', ' I', ' muttered', ' to', ' myself', ',', ' remembering', ' Steve', ' Jobs', ""'"", ' wise', ' words', '.']","[',', ' man', 'ila', ' envelope', ' that', ' had', ' been', ' delivered', ' directly', ' into', ' my', ' hands', ' not', ' even', ' an', ' hour', ' earlier', ',', ' and', ' stared', ' at', ' my', ' best', ' friend', ',', ' my', ' lips', ' turned', ' down', ' pit', 'iful']",1.0,"document and sighed. ""The only way to do great work is to love what you do,"" I muttered to myself, remembering Steve Jobs' wise words.",", manila envelope that had been delivered directly into my hands not even an hour earlier, and stared at my best friend, my lips turned down pitiful",tensor([[0.8187]]),4,"[tensor([[0.7527]]), tensor([[0.7487]]), tensor([[0.7666]]), tensor([[0.8187]]), tensor([[0.8139]]), tensor([[0.8142]]), tensor([[0.8088]]), tensor([[0.8120]]), tensor([[0.8033]]), tensor([[0.8043]]), tensor([[0.8037]]), tensor([[0.8061]]), tensor([[0.8042]]), tensor([[0.8155]]), tensor([[0.8106]]), tensor([[0.8142]]), tensor([[0.8119]]), tensor([[0.8062]]), tensor([[0.8141]]), tensor([[0.8126]]), tensor([[0.8175]]), tensor([[0.8176]]), tensor([[0.8085]]), tensor([[0.8074]]), tensor([[0.8019]]), tensor([[0.7974]])]",26,65
