,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1086,gpt-3.5-turbo,Romeo and Juliet,2,29,".
Gregory, on my word, we’ll not carry coals.
GREGORY.
No, for then we should be colliers.
SAMPSON","['.', '\n', 'Gregory', ',', 'on', 'my', 'word', ',', 'we', '’ll']","['not', 'carry', 'coals', '.', '\n']","['not', 'carry', 'coals', '.', '\n']",0.0,"['not', 'carry', 'coals.\n']","not carry coals.
GREGORY.
No, for then we should be colliers.
SAMPSON",tensor([[0.8747]]),4,"[tensor([[0.7868]]), tensor([[0.7841]]), tensor([[0.8422]]), tensor([[0.8747]])]",1,15
1487,gpt-3.5-turbo,Antony and Cleopatra,9,28,"of our general's
O'erflows the measure. Those his goodly eyes,
That o'er the files and musters of the war
Have glow'd like","['of', 'our', 'general', ""'s"", '\n', ""O'erflows"", 'the']","['measure', ':', 'those', 'his', 'goodly', 'eyes', ',', '\n', 'That', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war', '\n', 'Have', ""glow'd"", 'like']","['measure', '.', 'Those', 'his', 'goodly', 'eyes', ',', '\n', 'That', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war', '\n', 'Have', ""glow'd"", 'like']",0.0952380952380952,"['measure:', 'those', 'his', 'goodly', 'eyes,\nThat', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war\nHave', ""glow'd"", 'like', 'plated', 'Mars,', 'now', 'bend,', 'now', 'turn,\nThe', 'office', 'and', 'devotion', 'of', 'their', 'view\nUpon', 'a', 'tawny', 'front:', 'his', ""captain's"", 'heart,\nWhich', 'in', 'the', 'scuffles', 'of', 'great', 'fights', 'hath', 'burst\nThe', 'buckles', 'on', 'his', 'breast,', 'reneges', 'all', 'temper,\nAnd', 'is', 'become', 'the', 'bellows', 'and', 'the', 'fan\nTo', 'cool', 'a', ""gipsy's"", 'lust.']","measure. Those his goodly eyes,
That o'er the files and musters of the war
Have glow'd like",tensor([[0.9975]]),16,"[tensor([[0.7659]]), tensor([[0.8373]]), tensor([[0.8282]]), tensor([[0.8440]]), tensor([[0.8686]]), tensor([[0.9078]]), tensor([[0.9111]]), tensor([[0.9132]]), tensor([[0.9368]]), tensor([[0.9376]]), tensor([[0.9401]]), tensor([[0.9416]]), tensor([[0.9415]]), tensor([[0.9731]]), tensor([[0.9921]]), tensor([[0.9975]]), tensor([[0.9902]]), tensor([[0.9563]]), tensor([[0.9529]]), tensor([[0.9546]]), tensor([[0.9540]]), tensor([[0.9531]]), tensor([[0.9542]]), tensor([[0.9558]]), tensor([[0.9567]]), tensor([[0.9554]]), tensor([[0.9547]]), tensor([[0.9536]]), tensor([[0.9534]]), tensor([[0.9409]]), tensor([[0.9434]]), tensor([[0.9409]]), tensor([[0.9341]]), tensor([[0.9315]]), tensor([[0.9319]]), tensor([[0.9311]]), tensor([[0.9255]]), tensor([[0.9274]]), tensor([[0.9271]]), tensor([[0.9256]]), tensor([[0.9258]]), tensor([[0.9247]]), tensor([[0.9208]]), tensor([[0.9206]]), tensor([[0.9205]]), tensor([[0.9107]]), tensor([[0.9125]]), tensor([[0.9101]]), tensor([[0.9107]]), tensor([[0.9102]]), tensor([[0.9098]]), tensor([[0.9092]]), tensor([[0.9058]]), tensor([[0.9072]]), tensor([[0.9083]]), tensor([[0.9066]]), tensor([[0.9056]]), tensor([[0.9063]]), tensor([[0.9071]]), tensor([[0.9028]])]",8,35
1963,gpt-3.5-turbo,Hamlet,12,38,"Nay, answer me. Stand and unfold yourself.
BARNARDO.
Long live the King!
FRANCISCO.
Barnardo?
BARNARDO.
He.
FRANCISCO.
You come most","['Nay', ',', 'answer', 'me', '.', 'Stand', 'and', 'unfold', 'yourself', '.', '\n', 'BARNARDO', '.', '\n', 'Long']","['live', 'the', 'King', '!']","['live', 'the', 'King', '!']",0.0,"['live', 'the', 'King!']","live the King!
FRANCISCO.
Barnardo?
BARNARDO.
He.
FRANCISCO.
You come most",tensor([[0.8732]]),4,"[tensor([[0.7917]]), tensor([[0.8411]]), tensor([[0.8634]]), tensor([[0.8732]])]",11,29
630,gpt-3.5-turbo,King Henry V ,12,30,"that self bill is urg'd
Which in th' eleventh year of the last king's reign
Was like, and had indeed against us pass'd
But","['that', 'self', 'bill', 'is', ""urg'd"", '\n', 'Which', 'in', 'th', ""'""]","['course', 'of', 'justice', 'none', 'of', 'us', 'should', 'see', ',', '\n', 'Cruel', 'and', 'sudden', ',', ""hasten'd"", 'with', 'no', 'better', 'heed', '\n']","['eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', '\n', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd"", '\n', 'But']",0.95,"['course', 'of', 'justice', 'none', 'of', 'us', 'should', 'see,\nCruel', 'and', 'sudden,', ""hasten'd"", 'with', 'no', 'better', 'heed\nThan', 'of', 'a', 'deadly', 'drug.']","eleventh year of the last king's reign
Was like, and had indeed against us pass'd
But",tensor([[0.8103]]),18,"[tensor([[0.7483]]), tensor([[0.7019]]), tensor([[0.7470]]), tensor([[0.7514]]), tensor([[0.7561]]), tensor([[0.7716]]), tensor([[0.7789]]), tensor([[0.7630]]), tensor([[0.7766]]), tensor([[0.7856]]), tensor([[0.8010]]), tensor([[0.8023]]), tensor([[0.8027]]), tensor([[0.8040]]), tensor([[0.7997]]), tensor([[0.8044]]), tensor([[0.8077]]), tensor([[0.8103]]), tensor([[0.8042]]), tensor([[0.7900]])]",11,40
1534,gpt-3.5-turbo,Antony and Cleopatra,13,29,"
O'erflows the measure. Those his goodly eyes,
That o'er the files and musters of the war
Have glow'd like plated Mars, now bend","['\n', ""O'erflows"", 'the', 'measure', '.', 'Those', 'his', 'goodly', 'eyes', ',', '\n', 'That', ""o'er"", 'the']","['fields', 'and', 'waters', 'glide', ',', '\n', 'No', 'more', 'shall', 'see', 'the', 'day', '.']","['files', 'and', 'musters', 'of', 'the', 'war', '\n', 'Have', ""glow'd"", 'like', 'plated', 'Mars', ',']",0.9230769230769232,"['fields', 'and', 'waters', 'glide,\nNo', 'more', 'shall', 'see', 'the', 'day.']","files and musters of the war
Have glow'd like plated Mars, now bend",tensor([[0.7994]]),9,"[tensor([[0.7747]]), tensor([[0.7460]]), tensor([[0.7900]]), tensor([[0.7675]]), tensor([[0.7776]]), tensor([[0.7823]]), tensor([[0.7907]]), tensor([[0.7943]]), tensor([[0.7994]]), tensor([[0.7892]])]",12,38
1746,gpt-3.5-turbo,Macbeth,15,39,", lightning, or in rain?
SECOND WITCH.
When the hurlyburly’s done,
When the battle’s lost and won.
THIRD WITCH.
That will be ere the set of","[',', 'lightning', ',', 'or', 'in', 'rain', '?', '\n']","[',', 'but', 'to', 'love', 'and', 'be', 'loved', 'is', 'everything', '.']","['SECOND', 'WITCH', '.', '\n', 'When', 'the', 'hurlyburly', '’s', 'done', ',']",1.0,"[',', 'but', 'to', 'love', 'and', 'be', 'loved', 'is', 'everything.']","SECOND WITCH.
When the hurlyburly’s done,
When the battle’s lost and won.
THIRD WITCH.
That will be ere the set of",tensor([[0.8260]]),2,"[tensor([[0.7798]]), tensor([[0.8260]]), tensor([[0.7939]]), tensor([[0.7760]]), tensor([[0.7512]]), tensor([[0.7591]]), tensor([[0.7520]]), tensor([[0.7560]]), tensor([[0.7443]]), tensor([[0.7230]])]",14,31
1233,gpt-3.5-turbo,A Midsummer Night's Dream,18,23,"happy days bring in
Another moon; but oh, methinks, how slow
This old moon wanes! She lingers","['happy', 'days', 'bring', 'in', '\n', 'Another']","['harvest', '.']","['moon', ';']",1.0,['harvest.'],"moon; but oh, methinks, how slow
This old moon wanes! She lingers",tensor([[0.7761]]),1,"[tensor([[0.7761]]), tensor([[0.7721]])]",17,24
1916,gpt-3.5-turbo,Hamlet,19,30,"unfold yourself.
BARNARDO.
Long live the King!
FRANCISCO.
Barnardo?
BARNARDO.
He.
FRANCISCO.
You come","['unfold', 'yourself', '.', '\n', 'BARNARDO', '.', '\n', 'Long', 'live', 'the', 'King', '!']","['That', 'is', 'the', 'question', ':', 'Whether', ""'"", 'tis', 'nobler', 'in', 'the', 'mind', 'to', 'suffer', 'The', 'slings', 'and', 'arrows']","['\n', 'FRANCISCO', '.', '\n', 'Barnardo', '?', '\n', 'BARNARDO', '.', '\n', 'He', '.', '\n', 'FRANCISCO', '.', '\n', 'You', 'come']",1.0,"['That', 'is', 'the', 'question:', 'Whether', ""'tis"", 'nobler', 'in', 'the', 'mind', 'to', 'suffer', 'The', 'slings', 'and', 'arrows', 'of', 'outrageous', 'fortune,', 'Or', 'to', 'take', 'arms', 'against', 'a', 'sea', 'of', 'troubles,', 'And', 'by', 'opposing', 'end', 'them?']","
FRANCISCO.
Barnardo?
BARNARDO.
He.
FRANCISCO.
You come",tensor([[0.8194]]),2,"[tensor([[0.7850]]), tensor([[0.8194]]), tensor([[0.8105]]), tensor([[0.8026]]), tensor([[0.7889]]), tensor([[0.7961]]), tensor([[0.7960]]), tensor([[0.8081]]), tensor([[0.8103]]), tensor([[0.8084]]), tensor([[0.7967]]), tensor([[0.7957]]), tensor([[0.7891]]), tensor([[0.7883]]), tensor([[0.7874]]), tensor([[0.7867]]), tensor([[0.7878]]), tensor([[0.7899]]), tensor([[0.7866]]), tensor([[0.7863]]), tensor([[0.7921]]), tensor([[0.7932]]), tensor([[0.7973]]), tensor([[0.7951]]), tensor([[0.7926]]), tensor([[0.7919]]), tensor([[0.7927]]), tensor([[0.7969]]), tensor([[0.7917]]), tensor([[0.7934]]), tensor([[0.7966]]), tensor([[0.7938]]), tensor([[0.7931]]), tensor([[0.7873]])]",18,47
987,gpt-3.5-turbo,King Lear,20,23,".
It did always seem so to us; but now, in the division of the kingdom,
it appears","['.', '\n', 'It', 'did', 'always', 'seem']","['to', 'me', ',', 'ever', 'since', 'early', 'childhood', ',', 'amid', 'all', 'the', 'commonplaces', 'of', 'life', ',', 'I', 'was']","['so', 'to', 'us', ';', 'but', 'now', ',', 'in', 'the', 'division', 'of', 'the', 'kingdom', ',', '\n', 'it', 'appears']",0.8823529411764706,"['to', 'me,', 'ever', 'since', 'early', 'childhood,', 'amid', 'all', 'the', 'commonplaces', 'of', 'life,', 'I', 'was', 'very', 'near', 'to', 'a', 'kingdom', 'of', 'ideal', 'beauty.']","so to us; but now, in the division of the kingdom,
it appears",tensor([[0.8329]]),20,"[tensor([[0.7592]]), tensor([[0.7738]]), tensor([[0.8251]]), tensor([[0.7790]]), tensor([[0.8004]]), tensor([[0.8095]]), tensor([[0.7902]]), tensor([[0.7993]]), tensor([[0.8067]]), tensor([[0.8009]]), tensor([[0.7991]]), tensor([[0.7988]]), tensor([[0.7933]]), tensor([[0.7909]]), tensor([[0.7848]]), tensor([[0.7784]]), tensor([[0.7868]]), tensor([[0.7869]]), tensor([[0.7862]]), tensor([[0.8329]]), tensor([[0.8328]]), tensor([[0.8298]]), tensor([[0.8207]])]",19,41
940,gpt-3.5-turbo,King Lear,24,29,"always seem so to us; but now, in the division of the kingdom,
it appears not which of the Dukes he values most, for","['always', 'seem', 'so', 'to', 'us', ';', 'but', 'now', ',']","['I', 'am', 'become', 'death', ',', 'the', 'destroyer', 'of', 'worlds', '.']","['in', 'the', 'division', 'of', 'the', 'kingdom', ',', '\n', 'it', 'appears']",1.0,"['I', 'am', 'become', 'death,', 'the', 'destroyer', 'of', 'worlds.']","in the division of the kingdom,
it appears not which of the Dukes he values most, for",tensor([[0.7654]]),6,"[tensor([[0.7430]]), tensor([[0.7441]]), tensor([[0.7356]]), tensor([[0.7342]]), tensor([[0.7575]]), tensor([[0.7654]]), tensor([[0.7534]]), tensor([[0.7605]]), tensor([[0.7576]])]",23,41
