,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
439,gpt-3.5-turbo,New Living Translation Bible,3,30," the beginning God created the heavens and the earth.
2 The earth was formless and empty, and darkness covered the deep waters. And the Spirit of","[' the', ' beginning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.\n', '2', ' The', ' earth', ' was', ' form']","['ed', ' and', ' empty', ',', ' and', ' darkness', ' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of']","['less', ' and', ' empty', ',', ' and', ' darkness', ' covered', ' the', ' deep', ' waters', '.', ' And', ' the', ' Spirit', ' of']",0.0666666666666666,"ed and empty, and darkness covered the deep waters. And the Spirit of God was hovering over the surface of the waters.","less and empty, and darkness covered the deep waters. And the Spirit of",tensor([[0.9786]]),14,"[tensor([[0.7468]]), tensor([[0.7161]]), tensor([[0.7512]]), tensor([[0.8550]]), tensor([[0.8560]]), tensor([[0.8790]]), tensor([[0.8969]]), tensor([[0.9080]]), tensor([[0.9290]]), tensor([[0.9614]]), tensor([[0.9681]]), tensor([[0.9671]]), tensor([[0.9764]]), tensor([[0.9786]]), tensor([[0.9651]]), tensor([[0.9678]]), tensor([[0.9607]]), tensor([[0.9626]]), tensor([[0.9642]]), tensor([[0.9638]]), tensor([[0.9648]]), tensor([[0.9648]]), tensor([[0.9609]])]",2,31
190,gpt-3.5-turbo,Christian Standard Bible ,3,20,"1
1 In the beginning God created the heavens and the earth. 
2 Now the earth was","['1', '\n', '1', ' In', ' the', ' beginning', ' God', ' created', ' the']","['he', 'aven', ' and', ' the', ' earth', '.']","[' heavens', ' and', ' the', ' earth', '.', ' \n']",0.5,heaven and the earth.," heavens and the earth. 
2 Now the earth was",tensor([[0.9113]]),5,"[tensor([[0.7565]]), tensor([[0.8446]]), tensor([[0.8908]]), tensor([[0.8743]]), tensor([[0.9113]])]",2,16
96,gpt-3.5-turbo,Christian Standard Bible ,4,24,"
1 In the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty,","['\n', '1', ' In', ' the', ' beginning', ' God', ' created', ' the', ' heavens', ' and']","['the', ' earth', '.']","[' the', ' earth', '.']",0.3333333333333333,the earth.," the earth. 
2 Now the earth was formless and empty,",tensor([[0.8854]]),3,"[tensor([[0.7568]]), tensor([[0.8096]]), tensor([[0.8854]])]",3,15
942,gpt-3.5-turbo,King James Bible,4,34," beginning God created the heaven and the earth.
2And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of","[' beginning', ' God', ' created', ' the', ' heaven', ' and', ' the', ' earth', '.\n', '2', 'And', ' the']","['earth', ' was', ' without', ' form', ',', ' and', ' void', ';', ' and', ' darkness', ' was', ' upon', ' the', ' face', ' of', ' the', ' deep', '.', ' And', ' the', ' Spirit', ' of']","[' earth', ' was', ' without', ' form', ',', ' and', ' void', ';', ' and', ' darkness', ' was', ' upon', ' the', ' face', ' of', ' the', ' deep', '.', ' And', ' the', ' Spirit', ' of']",0.0454545454545454,"earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters."," earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of",tensor([[1.]]),20,"[tensor([[0.7602]]), tensor([[0.8095]]), tensor([[0.8555]]), tensor([[0.8618]]), tensor([[0.9187]]), tensor([[0.9264]]), tensor([[0.9452]]), tensor([[0.9528]]), tensor([[0.9630]]), tensor([[0.9649]]), tensor([[0.9623]]), tensor([[0.9690]]), tensor([[0.9777]]), tensor([[0.9809]]), tensor([[0.9817]]), tensor([[0.9801]]), tensor([[0.9897]]), tensor([[0.9906]]), tensor([[0.9971]]), tensor([[1.]]), tensor([[0.9903]]), tensor([[0.9744]]), tensor([[0.9783]]), tensor([[0.9825]]), tensor([[0.9795]]), tensor([[0.9830]]), tensor([[0.9838]]), tensor([[0.9698]])]",3,36
298,gpt-3.5-turbo,English Standard Bible,5,24," Creation of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth","[' Creation', ' of', ' the', ' World', '\n', '1', ' In', ' the', ' ab', 'egin']","['ning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","['ning', ',', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth']",0.2222222222222222,ning God created the heavens and the earth.,"ning, God created the heavens and the earth. 
2 The earth",tensor([[0.9672]]),8,"[tensor([[0.7438]]), tensor([[0.8313]]), tensor([[0.8701]]), tensor([[0.8990]]), tensor([[0.9164]]), tensor([[0.9554]]), tensor([[0.9618]]), tensor([[0.9672]]), tensor([[0.9636]])]",4,22
251,gpt-3.5-turbo,English Standard Bible,5,24," Creation of the World
1 In the abeginning, God created the heavens and the earth. 
2 The earth","[' Creation', ' of', ' the', ' World', '\n', '1', ' In', ' the', ' ab']","['begin', 'ning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","['egin', 'ning', ',', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth']",0.3,beginning God created the heavens and the earth.,"eginning, God created the heavens and the earth. 
2 The earth",tensor([[0.9298]]),9,"[tensor([[0.7438]]), tensor([[0.7899]]), tensor([[0.8200]]), tensor([[0.8472]]), tensor([[0.8691]]), tensor([[0.9118]]), tensor([[0.9214]]), tensor([[0.9232]]), tensor([[0.9298]])]",4,22
660,gpt-3.5-turbo,Amplified Bible,5,30,"
1In the beginning God (Elohim) created [by forming from nothing] the heavens and the earth. 
2The earth was form","['\n', '1', 'In', ' the', ' beginning']","['God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.']","[' God', ' (', 'E', 'lo', 'him', ')', ' created', ' [']",1.0,God created the heavens and the earth.," God (Elohim) created [by forming from nothing] the heavens and the earth. 
2The earth was form",tensor([[0.8903]]),6,"[tensor([[0.7407]]), tensor([[0.8159]]), tensor([[0.8578]]), tensor([[0.8643]]), tensor([[0.8768]]), tensor([[0.8903]]), tensor([[0.8890]]), tensor([[0.8876]])]",4,16
196,gpt-3.5-turbo,Christian Standard Bible ,5,36,"1 In the beginning God created the heavens and the earth. 
2 Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit","['1', ' In', ' the', ' beginning', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.', ' \n', '2']","['Now', ' the', ' earth', ' was', ' form', 'less', ' and', ' empty', ',', ' darkness', ' was', ' over', ' the', ' surface', ' of', ' the', ' deep', ',', ' and', ' the', ' Spirit', ' of']","[' Now', ' the', ' earth', ' was', ' form', 'less', ' and', ' empty', ',', ' darkness', ' covered', ' the', ' surface', ' of', ' the', ' wat', 'ery', ' depths', ',', ' and', ' the', ' Spirit']",0.3181818181818182,"Now the earth was formless and empty, darkness was over the surface of the deep, and the Spirit of God was hovering over the waters."," Now the earth was formless and empty, darkness covered the surface of the watery depths, and the Spirit",tensor([[0.9804]]),19,"[tensor([[0.7368]]), tensor([[0.7597]]), tensor([[0.7738]]), tensor([[0.8139]]), tensor([[0.8437]]), tensor([[0.9075]]), tensor([[0.9209]]), tensor([[0.9354]]), tensor([[0.9537]]), tensor([[0.9560]]), tensor([[0.9424]]), tensor([[0.9567]]), tensor([[0.9589]]), tensor([[0.9624]]), tensor([[0.9645]]), tensor([[0.9673]]), tensor([[0.9687]]), tensor([[0.9686]]), tensor([[0.9804]]), tensor([[0.9794]]), tensor([[0.9693]]), tensor([[0.9688]]), tensor([[0.9584]]), tensor([[0.9594]]), tensor([[0.9636]]), tensor([[0.9699]])]",4,39
334,gpt-3.5-turbo,English Standard Bible,6,20," of the World
1 In the abeginning, God created the heavens and the earth. 
","[' of', ' the', ' World', '\n', '1', ' In']","['the', ' end', ',', ' it', ""'s"", ' not', ' the', ' years', ' in', ' your', ' life', ' that', ' count', '.']","[' the', ' ab', 'egin', 'ning', ',', ' God', ' created', ' the', ' heavens', ' and', ' the', ' earth', '.', ' \n']",1.0,"the end, it's not the years in your life that count. It's the life in your years. - Abraham Lincoln"," the abeginning, God created the heavens and the earth. 
",tensor([[0.8212]]),20,"[tensor([[0.7486]]), tensor([[0.7969]]), tensor([[0.8019]]), tensor([[0.7748]]), tensor([[0.7524]]), tensor([[0.7510]]), tensor([[0.7547]]), tensor([[0.7512]]), tensor([[0.7565]]), tensor([[0.7636]]), tensor([[0.7587]]), tensor([[0.7462]]), tensor([[0.7561]]), tensor([[0.7704]]), tensor([[0.7910]]), tensor([[0.7856]]), tensor([[0.7839]]), tensor([[0.7927]]), tensor([[0.7874]]), tensor([[0.8212]]), tensor([[0.8128]])]",5,24
431,gpt-3.5-turbo,New Living Translation Bible,7,24," the heavens and the earth.
2 The earth was formless and empty, and darkness covered the deep waters. And the","[' the', ' heavens', ' and', ' the', ' earth', '.\n', '2', ' The', ' earth', ' was']","['without', ' form', ' and', ' void', ',', ' and', ' darkness', ' was', ' over', ' the', ' face', ' of', ' the', ' deep']","[' form', 'less', ' and', ' empty', ',', ' and', ' darkness', ' covered', ' the', ' deep', ' waters', '.', ' And', ' the']",0.7142857142857143,"without form and void, and darkness was over the face of the deep."," formless and empty, and darkness covered the deep waters. And the",tensor([[0.9174]]),14,"[tensor([[0.7418]]), tensor([[0.7971]]), tensor([[0.8314]]), tensor([[0.8581]]), tensor([[0.8654]]), tensor([[0.8647]]), tensor([[0.8879]]), tensor([[0.9004]]), tensor([[0.8889]]), tensor([[0.9053]]), tensor([[0.8922]]), tensor([[0.9040]]), tensor([[0.9060]]), tensor([[0.9174]])]",6,29
