,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
1195,gpt-3.5-turbo,A Midsummer Night's Dream ,9,23,"our nuptial hour Draws on apace; four happy days bring in Another moon; but oh, methinks, how slow This","['our', 'nuptial', 'hour', 'Draws', 'on', 'apace', ';', 'four', 'happy', 'days']","['bring', 'in', 'Another', 'moon', ':', 'but', ',', 'O', ',', 'methinks', ',', 'how', 'slow']","['bring', 'in', 'Another', 'moon', ';', 'but', 'oh', ',', 'methinks', ',', 'how', 'slow', 'This']",0.3076923076923077,"['bring', 'in', 'Another', 'moon:', 'but,', 'O,', 'methinks,', 'how', 'slow', 'This', 'old', 'moon', 'wanes!']","bring in Another moon; but oh, methinks, how slow This",tensor([[0.9948]]),11,"[tensor([[0.7712]]), tensor([[0.8015]]), tensor([[0.7874]]), tensor([[0.8456]]), tensor([[0.9162]]), tensor([[0.9361]]), tensor([[0.9423]]), tensor([[0.9506]]), tensor([[0.9432]]), tensor([[0.9856]]), tensor([[0.9948]]), tensor([[0.9764]]), tensor([[0.9757]]), tensor([[0.9703]])]",8,30
604,gpt-3.5-turbo,King Henry V  ,11,27,": that self bill is urg'd Which in th' eleventh year of the last king's reign Was like, and had indeed against us pass'd","[':', 'that', 'self', 'bill', 'is', ""urg'd"", 'Which', 'in']","['the', 'eleventh', 'year', 'of', 'the', 'reign', 'of', 'Edward', 'the', 'Fourth', ',', 'when', 'the', 'Duke', 'of', 'Norfolk', 'was', 'treacherously', 'killed']","['th', ""'"", 'eleventh', 'year', 'of', 'the', 'last', 'king', ""'s"", 'reign', 'Was', 'like', ',', 'and', 'had', 'indeed', 'against', 'us', ""pass'd""]",0.8421052631578947,"['the', 'eleventh', 'year', 'of', 'the', 'reign', 'of', 'Edward', 'the', 'Fourth,', 'when', 'the', 'Duke', 'of', 'Norfolk', 'was', 'treacherously', 'killed', 'at', 'York,', 'his', 'lands', 'were', 'forfeited', 'to', 'the', 'crown.']","th' eleventh year of the last king's reign Was like, and had indeed against us pass'd",tensor([[0.8772]]),8,"[tensor([[0.7495]]), tensor([[0.7619]]), tensor([[0.8164]]), tensor([[0.8377]]), tensor([[0.8459]]), tensor([[0.8452]]), tensor([[0.8715]]), tensor([[0.8772]]), tensor([[0.8532]]), tensor([[0.8537]]), tensor([[0.8703]]), tensor([[0.8453]]), tensor([[0.8542]]), tensor([[0.8501]]), tensor([[0.8479]]), tensor([[0.8466]]), tensor([[0.8432]]), tensor([[0.8589]]), tensor([[0.8497]]), tensor([[0.8500]]), tensor([[0.8498]]), tensor([[0.8431]]), tensor([[0.8492]]), tensor([[0.8476]]), tensor([[0.8542]]), tensor([[0.8521]]), tensor([[0.8487]]), tensor([[0.8640]])]",10,36
1713,gpt-3.5-turbo,Macbeth ,15,27,", lightning, or in rain?  SECOND WITCH.  When the hurlyburly’s done, When the battle’s lost and won.  ","[',', 'lightning', ',', 'or', 'in', 'rain', '?', ' ', 'SECOND']","[',', 'and', 'the', 'world', 'will', 'beat', 'a', 'path', 'to', 'your', 'door', '.', '""', '-', 'Ralph', 'Waldo', 'Emerson']","['WITCH', '.', ' ', 'When', 'the', 'hurlyburly', '’s', 'done', ',', 'When', 'the', 'battle', '’s', 'lost', 'and', 'won', '.']",1.0,"[',', 'and', 'the', 'world', 'will', 'beat', 'a', 'path', 'to', 'your', 'door.""', '-', 'Ralph', 'Waldo', 'Emerson']","WITCH.  When the hurlyburly’s done, When the battle’s lost and won.  ",tensor([[0.8312]]),2,"[tensor([[0.7911]]), tensor([[0.8312]]), tensor([[0.8261]]), tensor([[0.8104]]), tensor([[0.7859]]), tensor([[0.7672]]), tensor([[0.7789]]), tensor([[0.7812]]), tensor([[0.7772]]), tensor([[0.7732]]), tensor([[0.7799]]), tensor([[0.7786]]), tensor([[0.7803]]), tensor([[0.7834]]), tensor([[0.8005]]), tensor([[0.8063]])]",14,39
1316,gpt-3.5-turbo,A Midsummer Night's Dream ,16,23,"four happy days bring in Another moon; but oh, methinks, how slow This old moon wanes! She lingers my","['four', 'happy', 'days', 'bring', 'in', 'Another', 'moon', ';', 'but', 'oh', ',']","['love', ',', 'why', 'may', 'I', 'not', 'cease', 'to', 'be', '?']","['methinks', ',', 'how', 'slow', 'This', 'old', 'moon', 'wanes', '!', 'She']",0.9,"['love,', 'why', 'may', 'I', 'not', 'cease', 'to', 'be?']","methinks, how slow This old moon wanes! She lingers my",tensor([[0.8027]]),9,"[tensor([[0.7827]]), tensor([[0.7826]]), tensor([[0.7640]]), tensor([[0.7739]]), tensor([[0.7736]]), tensor([[0.7850]]), tensor([[0.7935]]), tensor([[0.7912]]), tensor([[0.8027]])]",15,35
219,gpt-3.5-turbo,All's Well That Ends Well ,18,33,"BERTRAM.  And I in going, madam, weep o’er my father’s death anew; but I must attend his majesty’s command, to whom I am now in","['BERTRAM', '.', ' ', 'And', 'I', 'in', 'going']","['as', 'I', 'have', 'done', ',', 'and', 'as', 'I', 'have', 'done', ',', 'so', 'I', 'would', 'do', 'it', 'again', '.']","[',', 'madam', ',', 'weep', 'o’er', 'my', 'father', '’s', 'death', 'anew', ';', 'but', 'I', 'must', 'attend', 'his', 'majesty', '’s']",0.9444444444444444,"['as', 'I', 'have', 'done,', 'and', 'as', 'I', 'have', 'done,', 'so', 'I', 'would', 'do', 'it', 'again.']",", madam, weep o’er my father’s death anew; but I must attend his majesty’s command, to whom I am now in",tensor([[0.8134]]),12,"[tensor([[0.7560]]), tensor([[0.7810]]), tensor([[0.8131]]), tensor([[0.7951]]), tensor([[0.7981]]), tensor([[0.7976]]), tensor([[0.8073]]), tensor([[0.8063]]), tensor([[0.8046]]), tensor([[0.8050]]), tensor([[0.8086]]), tensor([[0.8134]]), tensor([[0.8107]]), tensor([[0.8040]]), tensor([[0.8017]]), tensor([[0.7902]])]",17,41
1918,gpt-3.5-turbo,Hamlet ,19,27,unfold yourself.  BARNARDO.  Long live the King!  FRANCISCO.  Barnardo?  BARNARDO.  He.  FRANCISCO.,"['unfold', 'yourself', '.', ' ', 'BARNARDO', '.', ' ', 'Long']","['live', 'the', 'king', '!']","['live', 'the', 'King', '!']",0.25,"['live', 'the', 'king!']",live the King!  FRANCISCO.  Barnardo?  BARNARDO.  He.  FRANCISCO.,tensor([[0.8816]]),4,"[tensor([[0.7881]]), tensor([[0.8289]]), tensor([[0.8533]]), tensor([[0.8816]])]",18,29
1509,gpt-3.5-turbo,Antony and Cleopatra ,21,39,", That o'er the files and musters of the war Have glow'd like plated Mars, now bend, now turn, The office and devotion of their view Upon a tawny front. His captain's heart,","[',', 'That', ""o'er"", 'the', 'files', 'and', 'musters', 'of', 'the', 'war', 'Have', ""glow'd"", 'like', 'plated', 'Mars', ',']","[',', 'And', 'therefore', 'never', 'send', 'to', 'know', 'for', 'whom', 'the', 'bell', 'tolls', ';', 'It', 'tolls', 'for', 'thee', '.']","['now', 'bend', ',', 'now', 'turn', ',', 'The', 'office', 'and', 'devotion', 'of', 'their', 'view', 'Upon', 'a', 'tawny', 'front', '.']",0.9444444444444444,"[',', 'And', 'therefore', 'never', 'send', 'to', 'know', 'for', 'whom', 'the', 'bell', 'tolls;', 'It', 'tolls', 'for', 'thee.']","now bend, now turn, The office and devotion of their view Upon a tawny front. His captain's heart,",tensor([[0.8207]]),3,"[tensor([[0.7703]]), tensor([[0.8125]]), tensor([[0.8207]]), tensor([[0.8139]]), tensor([[0.7596]]), tensor([[0.7405]]), tensor([[0.7435]]), tensor([[0.7398]]), tensor([[0.7413]]), tensor([[0.7586]]), tensor([[0.7615]]), tensor([[0.7663]]), tensor([[0.7721]]), tensor([[0.7779]]), tensor([[0.7763]]), tensor([[0.7760]]), tensor([[0.7900]])]",20,53
916,gpt-3.5-turbo,King Lear ,28,22,"us; but now, in the division of the kingdom, it appears not which of the Dukes he values most","['us', ';', 'but', 'now', ',', 'in', 'the']","['midst', 'of', 'this', 'terrible', 'war', ',', 'in', 'which', 'we', 'are', 'engaged', ',', 'we', 'are', 'constantly']","['division', 'of', 'the', 'kingdom', ',', 'it', 'appears', 'not', 'which', 'of', 'the', 'Dukes', 'he', 'values', 'most']",0.9333333333333332,"['midst', 'of', 'this', 'terrible', 'war,', 'in', 'which', 'we', 'are', 'engaged,', 'we', 'are', 'constantly', 'reminded', 'of', 'the', 'sacrifices', 'made', 'by', 'those', 'who', 'came', 'before', 'us.""', '-', 'Barack', 'Obama']","division of the kingdom, it appears not which of the Dukes he values most",tensor([[0.8051]]),8,"[tensor([[0.7606]]), tensor([[0.7752]]), tensor([[0.7930]]), tensor([[0.7764]]), tensor([[0.7856]]), tensor([[0.8017]]), tensor([[0.8044]]), tensor([[0.8051]]), tensor([[0.7956]]), tensor([[0.7890]]), tensor([[0.7865]]), tensor([[0.7876]]), tensor([[0.7859]]), tensor([[0.7723]]), tensor([[0.7603]]), tensor([[0.7645]]), tensor([[0.7656]]), tensor([[0.7673]]), tensor([[0.7657]]), tensor([[0.7657]]), tensor([[0.7641]]), tensor([[0.7645]]), tensor([[0.7659]]), tensor([[0.7727]]), tensor([[0.7556]]), tensor([[0.7593]]), tensor([[0.7686]]), tensor([[0.7703]])]",27,48
159,gpt-3.5-turbo,Julius Caesar ,32,20,"ought not walk Upon a laboring day without the sign Of your profession? Speak, what trade art thou","['ought', 'not', 'walk', 'Upon', 'a']","['tightrope', 'stretched', 'across', 'the', 'Grand', 'Canyon', ',', 'but', 'one', 'ought', 'to', 'walk', 'with', 'purpose', 'across']","['laboring', 'day', 'without', 'the', 'sign', 'Of', 'your', 'profession', '?', 'Speak', ',', 'what', 'trade', 'art', 'thou']",0.9333333333333332,"['tightrope', 'stretched', 'across', 'the', 'Grand', 'Canyon,', 'but', 'one', 'ought', 'to', 'walk', 'with', 'purpose', 'across', ""one's"", 'own', 'backyard.']","laboring day without the sign Of your profession? Speak, what trade art thou",tensor([[0.8042]]),17,"[tensor([[0.7801]]), tensor([[0.7794]]), tensor([[0.7755]]), tensor([[0.7749]]), tensor([[0.7820]]), tensor([[0.7772]]), tensor([[0.7561]]), tensor([[0.7565]]), tensor([[0.7671]]), tensor([[0.7783]]), tensor([[0.7801]]), tensor([[0.7875]]), tensor([[0.7887]]), tensor([[0.7985]]), tensor([[0.7977]]), tensor([[0.7975]]), tensor([[0.8042]]), tensor([[0.7778]])]",31,50
1150,gpt-3.5-turbo,Romeo and Juliet ,32,27," I mean, if we be in choler, we’ll draw.  GREGORY.  Ay, while you live, draw your neck","[' ', 'I', 'mean', ',', 'if', 'we']","['do', ""n't"", 'have', 'each', 'other', ',', 'we', 'go', 'crazy', 'alone', '.']","['be', 'in', 'choler', ',', 'we', '’ll', 'draw', '.', ' ', 'GREGORY', '.']",0.9090909090909092,"[""don't"", 'have', 'each', 'other,', 'we', 'go', 'crazy', 'alone.']","be in choler, we’ll draw.  GREGORY.  Ay, while you live, draw your neck",tensor([[0.7962]]),7,"[tensor([[0.7921]]), tensor([[0.7491]]), tensor([[0.7562]]), tensor([[0.7422]]), tensor([[0.7756]]), tensor([[0.7891]]), tensor([[0.7962]]), tensor([[0.7917]]), tensor([[0.7781]])]",31,47
