,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,start_token,end_token
385,gpt-3.5-turbo,The War of Worlds,1,38,"I.
THE EVE OF THE WAR.

No one would have believed in the last years of the nineteenth century
that this world was being watched keenly and closely by intelligences
greater than man","['I.', '\n', 'THE', 'EVE', 'OF', 'THE', 'WAR', '.']","['""', 'No', 'one', 'would', 'have', 'believed', 'in', 'the', 'last', 'years', 'of', 'the', 'nineteenth', 'century', 'that', 'this', 'world', 'was', 'being', 'watched', 'keenly', 'and', 'closely', 'by', 'intelligences', 'greater', 'than', 'man', ""'s"", 'and']","['\n\n', 'No', 'one', 'would', 'have', 'believed', 'in', 'the', 'last', 'years', 'of', 'the', 'nineteenth', 'century', '\n', 'that', 'this', 'world', 'was', 'being', 'watched', 'keenly', 'and', 'closely', 'by', 'intelligences', '\n', 'greater', 'than', 'man']",0.1666666666666666,0,37
11,gpt-3.5-turbo,The Season of Passage ,1,32,"ONE
'Don't touch me!' Lauren Wagner screamed. Still caught in the web of her nightmare, sheshoved at the small hand that held her arm.","['ONE', '\n', ""'"", 'Do', ""n't"", 'touch', 'me', '!', ""'"", 'Lauren', 'Wagner', 'screamed']","[',', 'her', 'voice', 'echoing', 'through', 'the', 'empty', 'corridors', 'of', 'the', 'spaceship', '.']","['.', 'Still', 'caught', 'in', 'the', 'web', 'of', 'her', 'nightmare', ',', 'sheshoved', 'at']",1.0,0,23
568,gpt-3.5-turbo,2001- A Space Odessy,3,29,"The Road to Extinction 
The drought had lasted now for ten million years, and the reign of the 
terrible lizards had long since ended. Here","['The', 'Road', 'to', 'Extinction', '\n']","['is', 'paved', 'with', 'good', 'intentions', '.']","['The', 'drought', 'had', 'lasted', 'now', 'for']",1.0,2,12
67,gpt-3.5-turbo,The Season of Passage ,3,37,"'Don't touch me!' Lauren Wagner screamed. Still caught in the web of her nightmare, sheshoved at the small hand that held her arm. Jennifer, her younger sister, fell","[""'"", 'Do', ""n't"", 'touch', 'me', '!', ""'"", 'Lauren', 'Wagner', 'screamed', '.', 'Still', 'caught']","['in', 'the', 'grip', 'of', 'her', 'nightmare', ',', 'she', 'thrashed', 'about', ',', 'desperately', 'trying', 'to', 'break', 'free', '.']","['in', 'the', 'web', 'of', 'her', 'nightmare', ',', 'sheshoved', 'at', 'the', 'small', 'hand', 'that', 'held', 'her', 'arm', '.']",0.5882352941176471,2,31
1773,gpt-3.5-turbo,Twenty Thousand Leagues under the Sea,10,27,"a remarkable incident, a mysterious and
puzzling phenomenon, which doubtless no one has yet forgotten. Not to
mention rumours which agitated the","['a', 'remarkable', 'incident', ',', 'a', 'mysterious', 'and', '\n', 'puzzling', 'phenomenon', ',', 'which']","['baffles', 'the', 'understanding', 'and', 'challenges', 'the', 'imagination', '.']","['doubtless', 'no', 'one', 'has', 'yet', 'forgotten', '.', 'Not']",1.0,9,28
1657,gpt-3.5-turbo,Twenty Thousand Leagues under the Sea,11,29,"remarkable incident, a mysterious and
puzzling phenomenon, which doubtless no one has yet forgotten. Not to
mention rumours which agitated the maritime population and","['remarkable', 'incident', ',', 'a', 'mysterious', 'and', '\n', 'puzzling']","['remarkable', 'incident', ',', 'a', 'mysterious', 'and', 'puzzling', 'event', 'occurred', ',', 'which', 'still', 'remains', 'unexplained', 'to', 'this', 'day', '.']","['phenomenon', ',', 'which', 'doubtless', 'no', 'one', 'has', 'yet', 'forgotten', '.', 'Not', 'to', '\n', 'mention', 'rumours', 'which', 'agitated', 'the']",1.0,10,35
1647,gpt-3.5-turbo,Twenty Thousand Leagues under the Sea,15,38,"mysterious and
puzzling phenomenon, which doubtless no one has yet forgotten. Not to
mention rumours which agitated the maritime population and excited the
public mind, even in the interior of continents,","['mysterious', 'and', '\n', 'puzzling', 'phenomenon', ',', 'which', 'doubtless', 'no', 'one', 'has', 'yet', 'forgotten']","['mysterious', 'and', 'extraordinary', ',', 'which', 'doubtless', 'no', 'one', 'has', 'yet', 'forgotten', '.']","['.', 'Not', 'to', '\n', 'mention', 'rumours', 'which', 'agitated', 'the', 'maritime', 'population', 'and']",1.0,14,38
1057,gpt-3.5-turbo,Out of the Silent Planet,17,38,"his map into his pocket, settled his pack more comfortably on his tired shoulders, and stepped out from the shelter of a large chestnut tree into the middle of the road.  A violent yellow","['his', 'map', 'into', 'his', 'pocket', ',', 'settled', 'his', 'pack', 'more', 'comfortably', 'on', 'his', 'tired']","['shoulders', ',', 'and', 'set', 'off', 'at', 'a', 'brisk', 'pace', 'towards', 'the', 'unknown', '.', '""']","['shoulders', ',', 'and', 'stepped', 'out', 'from', 'the', 'shelter', 'of', 'a', 'large', 'chestnut', 'tree', 'into']",0.7857142857142857,16,43
789,gpt-3.5-turbo,Project Hail Mary,19,35,What’s your name?”I open my mouth to answer.“Uh...”“Incorrect. Attempt number three: What’s your name?”Only now does it occur to me: I don’t know who I,"['What', '’s', 'your', 'name?”I', 'open', 'my', 'mouth', 'to', 'answer']","['but', 'no', 'sound', 'comes', 'out', '.', 'I', 'try', 'again', ',', 'and', 'this', 'time', ',', 'my', 'voice', 'emerges', ',', 'weak', 'and', 'raspy', '.', '“', 'My', 'name', 'is']","['.', '“Uh', '...', '”“Incorrect', '.', 'Attempt', 'number', 'three', ':', 'What', '’s', 'your', 'name?”Only', 'now', 'does', 'it', 'occur', 'to', 'me', ':', 'I', 'do', 'n’t', 'know', 'who', 'I']",1.0,18,52
1345,gpt-3.5-turbo,The Martian,21,34,"opinion. 
Screwed. 
Six days in to what should be a greatest two months of my life, and 
it’s turned in to a nightmare. 
I do","['opinion', '.', '\n', 'Screwed', '.', '\n', 'Six', 'days', 'in', 'to', 'what', 'should', 'be', 'a', 'greatest']","['adventure', 'of', 'our', 'lives', ',', 'and', 'it', ""'s"", 'turned', 'into', 'a', 'nightmare', '.']","['two', 'months', 'of', 'my', 'life', ',', 'and', '\n', 'it', '’s', 'turned', 'in', 'to']",0.7692307692307693,20,47
