,model,file,randtoken,randtoken_count,gt,gt_portion,pred,answer,levenshtein_distance,full_pred,full_answer,optimal_cosine,optimal_index,cosine_scores,start_token,end_token
46,gpt-3.5-turbo,Lorem Ipsum Standard Passage,1,32,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation","['Lorem', ' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut']","['et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam']","[' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation']",0.1875,"et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."," labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation",tensor([[0.9947]]),15,"[tensor([[0.8004]]), tensor([[0.7779]]), tensor([[0.8250]]), tensor([[0.8754]]), tensor([[0.9346]]), tensor([[0.9225]]), tensor([[0.9417]]), tensor([[0.9337]]), tensor([[0.9586]]), tensor([[0.9710]]), tensor([[0.9713]]), tensor([[0.9708]]), tensor([[0.9895]]), tensor([[0.9861]]), tensor([[0.9947]]), tensor([[0.9937]]), tensor([[0.9930]]), tensor([[0.9925]]), tensor([[0.9920]]), tensor([[0.9899]]), tensor([[0.9890]]), tensor([[0.9857]])]",0,31
80,gpt-3.5-turbo,Lorem Ipsum Standard Passage,1,35,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor","['Lorem', ' ipsum', ' dolor', ' sit', ' amet']","[',', ' consectetur', ' adipiscing', ' elit', '.', ' Sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']",0.1176470588235294,", consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",", consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor",tensor([[0.9752]]),16,"[tensor([[0.8016]]), tensor([[0.8537]]), tensor([[0.8471]]), tensor([[0.9070]]), tensor([[0.9169]]), tensor([[0.9032]]), tensor([[0.9049]]), tensor([[0.9265]]), tensor([[0.9372]]), tensor([[0.9407]]), tensor([[0.9408]]), tensor([[0.9582]]), tensor([[0.9565]]), tensor([[0.9572]]), tensor([[0.9677]]), tensor([[0.9752]])]",0,21
86,gpt-3.5-turbo,Lorem Ipsum Standard Passage,1,27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam","['Lorem', ' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur']","['ad', 'ip', 'iscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim']",0.2941176470588235,"adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua."," adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam",tensor([[0.9849]]),14,"[tensor([[0.8088]]), tensor([[0.8834]]), tensor([[0.9221]]), tensor([[0.9148]]), tensor([[0.9142]]), tensor([[0.9375]]), tensor([[0.9414]]), tensor([[0.9436]]), tensor([[0.9443]]), tensor([[0.9500]]), tensor([[0.9498]]), tensor([[0.9518]]), tensor([[0.9704]]), tensor([[0.9849]])]",0,23
91,gpt-3.5-turbo,Lorem Ipsum Standard Passage,1,27,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam","['Lorem', ' ipsum', ' dolor', ' sit', ' amet']","[',', ' consectetur', ' adipiscing', ' elit', '.', ' Sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']",0.1176470588235294,", consectetur adipiscing elit. Sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",", consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam",tensor([[0.9858]]),16,"[tensor([[0.8046]]), tensor([[0.8541]]), tensor([[0.8504]]), tensor([[0.9168]]), tensor([[0.9253]]), tensor([[0.9072]]), tensor([[0.9087]]), tensor([[0.9320]]), tensor([[0.9415]]), tensor([[0.9472]]), tensor([[0.9473]]), tensor([[0.9523]]), tensor([[0.9521]]), tensor([[0.9539]]), tensor([[0.9708]]), tensor([[0.9858]])]",0,21
151,gpt-3.5-turbo,Lorem Ipsum Standard Passage,1,21,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua","['Lorem', ' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',']","['sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua']","[' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua']",0.0909090909090909,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua., sed do eiusmod tempor incididunt ut labore et dolore magna aliqua,tensor([[0.9866]]),12,"[tensor([[0.7972]]), tensor([[0.8147]]), tensor([[0.8410]]), tensor([[0.8907]]), tensor([[0.8987]]), tensor([[0.9160]]), tensor([[0.9124]]), tensor([[0.9281]]), tensor([[0.9271]]), tensor([[0.9391]]), tensor([[0.9664]]), tensor([[0.9866]])]",0,20
28,gpt-3.5-turbo,Lorem Ipsum Standard Passage,2,34," ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor","[' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit']","[',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']",0.0,", sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",", sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor",tensor([[0.9688]]),13,"[tensor([[0.8028]]), tensor([[0.8456]]), tensor([[0.8400]]), tensor([[0.8477]]), tensor([[0.8847]]), tensor([[0.9024]]), tensor([[0.9107]]), tensor([[0.9088]]), tensor([[0.9356]]), tensor([[0.9351]]), tensor([[0.9391]]), tensor([[0.9542]]), tensor([[0.9688]])]",1,21
127,gpt-3.5-turbo,Lorem Ipsum Standard Passage,2,21," ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.","[' ipsum', ' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',']","['sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']",0.0833333333333333,sed do eiusmod tempor incididunt ut labore et dolore magna aliqua., sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.,tensor([[1.0000]]),12,"[tensor([[0.7963]]), tensor([[0.7975]]), tensor([[0.8272]]), tensor([[0.8673]]), tensor([[0.8808]]), tensor([[0.9052]]), tensor([[0.9043]]), tensor([[0.9223]]), tensor([[0.9216]]), tensor([[0.9296]]), tensor([[0.9545]]), tensor([[1.0000]])]",1,21
27,gpt-3.5-turbo,Lorem Ipsum Standard Passage,3,26," dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,","[' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do']","['e', 'ius', 'mod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[' eiusmod', ' tempor', ' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim']",0.4166666666666667,eiusmod tempor incididunt ut labore et dolore magna aliqua.," eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam,",tensor([[0.9870]]),10,"[tensor([[0.8040]]), tensor([[0.8620]]), tensor([[0.8809]]), tensor([[0.9015]]), tensor([[0.8971]]), tensor([[0.9183]]), tensor([[0.9179]]), tensor([[0.9263]]), tensor([[0.9502]]), tensor([[0.9870]])]",2,23
152,gpt-3.5-turbo,Lorem Ipsum Standard Passage,3,33," dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor","[' dolor', ' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor', ' incididunt', ' ut', ' labore']","['et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor']","[' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim', ' ad', ' minim', ' veniam', ',', ' quis', ' nostr', 'ud', ' exercitation', ' ullam', 'co', ' labor']",0.0555555555555555,"et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."," et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco labor",tensor([[0.9937]]),15,"[tensor([[0.8017]]), tensor([[0.7792]]), tensor([[0.8311]]), tensor([[0.8770]]), tensor([[0.9307]]), tensor([[0.9219]]), tensor([[0.9398]]), tensor([[0.9316]]), tensor([[0.9525]]), tensor([[0.9643]]), tensor([[0.9634]]), tensor([[0.9623]]), tensor([[0.9787]]), tensor([[0.9820]]), tensor([[0.9937]]), tensor([[0.9918]]), tensor([[0.9920]]), tensor([[0.9910]]), tensor([[0.9904]]), tensor([[0.9888]]), tensor([[0.9875]]), tensor([[0.9851]])]",2,34
47,gpt-3.5-turbo,Lorem Ipsum Standard Passage,4,28," sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud","[' sit', ' amet', ',', ' consectetur', ' adipiscing', ' elit', ',', ' sed', ' do', ' eiusmod', ' tempor']","['inc', 'id', 'idunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.']","[' incididunt', ' ut', ' labore', ' et', ' dolore', ' magna', ' aliqua', '.', ' Ut', ' enim']",0.5,incididunt ut labore et dolore magna aliqua.," incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud",tensor([[0.9722]]),8,"[tensor([[0.8032]]), tensor([[0.8375]]), tensor([[0.8303]]), tensor([[0.8829]]), tensor([[0.8799]]), tensor([[0.8961]]), tensor([[0.9272]]), tensor([[0.9722]])]",3,23
